"","cells","mean_max_ptemp","mean_min_ptemp","mean_max_pprec","mean_min_pprec","mean_PDEM","plat"
"1",5881,-252.416379801432,-294.849251302083,187469.815625,102396.4390625,458.666666666667,65.6543866666667
"2",5882,-252.386843167819,-294.93104670598,186898.865985577,103252.660757212,440,65.5332730769231
"3",5883,-252.440452270508,-295.359185791016,188312.93125,105702.1559375,456,65.564472
"4",6047,-252.242909749349,-294.336013793945,183415.143229167,100488.752604167,466.666666666667,65.2879333333333
"5",6048,-252.328140258789,-294.676910400391,185738.375,102241.890625,360,65.4573
"6",6222,-251.752685546875,-295.263885498047,197357.15625,104789.6640625,240,63.8905
"7",6891,-249.554016113281,-293.385803222656,161305.53125,85689.9765625,200,61.4636
"8",6898,-250.006029764811,-293.435073852539,200138.9609375,90664.28125,-160,60.9813
"9",7057,-249.434265136719,-293.273406982422,158492.609375,85070.890625,200,61.3308
"10",7066,-248.978515625,-291.732086181641,192287.640625,92313.9140625,-120,59.9277
"11",7228,-249.590728759766,-292.621795654297,196607.1875,92164.546875,280,60.3145172413793
"12",7391,-248.447807923651,-291.956927142566,155404.964662447,83160.2555050105,279.324894514768,59.9205105485232
"13",7392,-248.496362949425,-291.936011687803,158515.101716549,84040.3838248239,280,59.8913095774648
"14",7394,-249.032150268555,-291.884887695312,188962.203125,91621.875,280,59.5881
"15",7557,-247.84455871582,-291.327789306641,141311.984375,82008.609375,320,59.3558
"16",7558,-248.288955688477,-291.567077636719,158487.703125,85238.625,320,59.4838
"17",7560,-248.59245300293,-291.618255615234,173815.90625,88608.7265625,280,59.3184
"18",7718,-249.065902709961,-288.162445068359,156635.21875,105593.4296875,680,59.4376
"19",7724,-247.809860229492,-291.163421630859,144225.921875,83326.859375,320,59.1611
"20",7726,-248.103397478376,-291.14321812221,162712.577232143,87106.0482142857,280,58.8896114285714
"21",7891,-247.449880981445,-290.474365234375,145816.16875,85900.8796875,480,58.34804
"22",7892,-247.307723999023,-290.258880615234,145324.732421875,86230.6611328125,520,58.1050625
"23",7894,-247.416717529297,-290.403167724609,151189.765625,85507.7265625,440,57.9152
"24",8057,-247.183248637635,-290.092056086034,142684.580825617,86507.6572145062,520,57.9925333333333
"25",8058,-247.158477783203,-290.063537597656,143543.234375,86295.71875,520,57.81595
"26",8059,-246.932080782377,-289.808132465069,141717.001802885,85444.9381009615,481.538461538462,57.4672269230769
"27",8063,-246.758239746094,-289.617146809896,146503.848958333,82113.9322916667,160,57.0541666666667
"28",8224,-246.487365722656,-289.063781738281,136965.765625,85968.296875,520,57.0573
"29",8231,-246.472610473633,-289.111236572266,146624.515625,82145.7578125,-80,56.6882
"30",8385,-246.684204101562,-288.074615478516,132635.078125,91109.5234375,400,57.3064
"31",8389,-246.214263916016,-288.632293701172,133165.484375,86038.3671875,520,56.8434
"32",8390,-246.375183105469,-288.889923095703,135720.515625,85853.3671875,520,56.9431
"33",8391,-246.330245123969,-288.872442739981,138427.884837963,84027.5228587963,480,56.6993925925926
"34",8392,-246.202362060547,-288.682586669922,138143.0859375,83453.33203125,460,56.5304
"35",8393,-246.316117604574,-288.864959716797,141217.65625,82994.2428385417,443.333333333333,56.5328416666667
"36",8397,-246.209213256836,-288.644729614258,146735.7890625,82175.10546875,-40,56.0173
"37",8557,-245.982315063477,-288.348510742188,135762.109375,83085.8515625,440,56.3353
"38",8560,-246.003158569336,-288.331298828125,143562.625,82082.6875,480,55.9134
"39",8726,-245.560760498047,-287.6005859375,142397.1875,81504.921875,400,55.3768
"40",8889,-245.009991189708,-286.969876496688,127521.389266304,79081.5638586956,360,55.3471608695652
"41",8890,-245.030978116122,-286.958841651377,130180.360006313,79258.1594065657,440,55.2430727272727
"42",8891,-244.967559814453,-286.843292236328,131515.296875,79016.1796875,440,55.0832
"43",9051,-244.592727661133,-284.953735351562,125928.953125,74667.15625,600,55.3306
"44",9053,-244.336044311523,-285.765472412109,121097.4296875,75705.0546875,400,54.8784
"45",9066,-244.725952148438,-285.779022216797,142567.765625,78451.8828125,-40,53.4314
"46",9232,-244.712158203125,-285.750305175781,142487.59375,78383.671875,-40,53.1462
"47",9720,-243.214477539062,-283.168975830078,141644.9375,79027.0078125,400,52.7807
"48",9897,-243.22688293457,-282.352081298828,144223.3125,74693.8125,-120,50.9942
"49",10384,-241.687125069754,-280.541891915458,142129.386160714,71878.9933035714,640,50.8868714285714
"50",10385,-241.653645833333,-280.544189453125,140368.296875,74469.9817708333,560,50.7762
"51",10883,-241.003158569336,-278.243896484375,157481.25,71455.875,600,49.2074
"52",10885,-240.855773925781,-278.453308105469,147219,75578.1796875,800,49.2578
"53",11050,-240.892166137695,-278.066589355469,154797.203125,74282.921875,800,49.0477
"54",11213,-241.42903137207,-276.836517333984,190243.875,72877.3203125,760,48.4108
"55",11707,-244.048148091634,-274.564798482259,277986.385416667,49575.0964192708,1220,47.485395
"56",11708,-243.762656181089,-274.722585370464,269742.756552419,53363.8063256048,1278.06451612903,47.5590629032258
"57",11710,-242.47998046875,-274.977966308594,238185.515625,69448.54296875,940,47.3588
"58",11871,-246.325912475586,-274.806793212891,326162.8125,60839.2890625,1680,47.2369
"59",11872,-244.784823463077,-274.232777913411,300834.02827381,43266.8190104167,1440,47.2627714285714
"60",11873,-244.095971679687,-274.422523880005,282569.21328125,50909.7372070312,1160,47.2441825
"61",11874,-243.551823702725,-274.505508422852,269648.207386364,57395.1766690341,1160,47.1196227272727
"62",12045,-240.450988769531,-273.522552490234,204323.25,69271.4609375,560,45.8312
"63",12046,-240.380856965718,-273.464891132556,203426.527549342,69521.6116365132,560,45.7751342105263
"64",12047,-240.464340209961,-273.870269775391,201156.953125,72830.328125,560,45.9024
"65",12211,-240.258616506318,-273.156361144266,203573.146412037,67109.5007716049,560,45.5438185185185
"66",12212,-240.21827424131,-273.13621863641,203464.236798263,68337.4688762116,557.479806138934,45.4498735056543
"67",12213,-240.139335276549,-272.963328781523,204197.893863342,68647.7828286917,440.621761658031,45.2408103626943
"68",12217,-240.428695678711,-273.029388427734,219948.109375,81919.2578125,640,44.765
"69",12379,-240.091198120117,-272.808543701172,205492.331875,68938.560625,444.8,45.049088
"70",12380,-240.138979230608,-272.799961635045,207290.428571429,70709.1819196429,440,44.9433142857143
"71",12381,-240.253102620443,-272.843129475911,211119.890625,74579.796875,840,44.7683666666667
"72",12543,-239.863174438477,-272.162902832031,201153.046875,63528.12109375,560,44.7414
"73",13534,-242.124526977539,-270.087066650391,204384.203125,77863.359375,720,42.0052
