occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,class,order,family,genus,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,lng,lat,paleomodel,paleolng,paleolat,geoplate,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments
516312,occ,,,52249,Pachyrhinosaurus canadensis,,species,66023,Late Campanian,Early Maastrichtian,83.5,66,13943,Chordata,Ornithischia,,Ceratopsidae,Pachyrhinosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-112.99836,49.91576,gp_mid,-68.49,61.09,101,St. Mary River,,,bed,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,
517456,occ,,,52435,Achelousaurus horneri,,species,53955,Late Campanian,,83.5,70.6,14725,Chordata,Ornithischia,,Ceratopsidae,Achelousaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-112.642014,48.970821,gp_mid,-68.53,59.62,101,Two Medicine,Montana,Upper,bed,,,,,,,,"""upper lithofacies suite"", approx. 20 m below Bearpaw Fm.",,siltstone,,,,Y,,,,,,terrestrial indet.,,
517527,occ,,,52462,Agujaceratops mariscalensis,,species,52772,Judithian,,83.5,70.6,14107,Chordata,Ornithischia,,Ceratopsidae,Agujaceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-103.201477,29.174419,gp_mid,-68.73,38.55,101,Aguja,,,bed,,,,,,,,,"""carbonaceous gray claystone""",claystone,gray,,carbonaceous,Y,,,,,,interdistributary bay,,"""deltaic interdistributary marshes"""
517528,occ,,,52463,Agujaceratops mariscalensis,,species,52772,Judithian,,83.5,70.6,14107,Chordata,Ornithischia,,Ceratopsidae,Agujaceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-103.550743,29.251589,gp_mid,-69.08,38.72,101,Aguja,,,bed,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,
517529,occ,,,52464,Agujaceratops mariscalensis,,species,52772,Judithian,,83.5,70.6,14107,Chordata,Ornithischia,,Ceratopsidae,Agujaceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-103.637131,29.225201,gp_mid,-69.18,38.72,101,Aguja,,,bed,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,
517566,occ,,,52487,Styracosaurus albertensis,,species,56144,Late Campanian,,83.5,70.6,17544,Chordata,Ornithischia,,Ceratopsidae,Styracosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.395149,50.747826,gp_mid,-65.56,60.9,101,Dinosaur Park,Belly River,,bed,,Dinosaur Park,42,bottom to top,,,,originally assigned to the Oldman Fm.; stratigraphic position estimated from Fig. 4 in ref 26153,"""a thick layer of light grey clayey sandstone"" w/plant matter",sandstone,gray,,"argillaceous,carbonaceous",Y,,,,,,"""channel""",,
521255,occ,,,14494,Ceratopsidae,,family,38851,Middle Campanian,Late Campanian,83.5,70.6,3313,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-109.5,49.099998,gp_mid,-64.75,58.89,101,Judith River,Montana,Coal Ridge,bed,,,,,,,,Judithian based on fauna,,not reported,,,,,,,,,,terrestrial indet.,,
528344,occ,32247,,53981,Ceratopsidae,,family,38851,Late Campanian,,83.5,70.6,58789,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-108.566193,36.35973,gp_mid,-71.51,46.79,101,Kirtland,,,bed,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,
528345,occ,25847,,53982,Pentaceratops sternbergii,,species,55033,Late Campanian,,83.5,70.6,14580,Chordata,Ornithischia,,Ceratopsidae,Pentaceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-108.226997,36.285702,gp_mid,-71.16,46.63,101,Kirtland,,,bed,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,
533963,occ,33228,,55245,Ceratopsidae,,family,38851,Late Campanian,,83.5,70.6,61988,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-101.400276,25.5,gp_mid,-68.21,34.57,104,Cerro del Pueblo,Difunta,,group of beds,,,,,,,,no details given,,mudstone,,,,Y,,,,,,estuary/bay,,"shallow, extensive brackish water bays, distributary channels"
534621,occ,,,55317,Ceratopsidae,,family,38851,Late Campanian,,83.5,70.6,14800,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.51458,50.739853,gp_mid,-65.7,60.93,101,Dinosaur Park,Belly River,,bed,,,,,,,,"also described as the ""pale beds"" of the Belly River Formation",,not reported,,,,,,,,,,terrestrial indet.,,
534972,occ,18357,,55352,Centrosaurus apertus,,species,63911,Late Campanian,,83.5,70.6,14847,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.507179,50.742241,gp_mid,-65.69,60.93,101,Dinosaur Park,Belly River,,bed,,,,,,,,,,mudstone,,,,Y,,,,,,crevasse splay,,
562859,occ,17762,,58758,Centrosaurus,,genus,38854,Late Campanian,,83.5,70.6,15355,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.468887,50.749981,gp_mid,-65.64,60.92,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to the Oldman Fm.,,sandstone,,,,Y,claystone,blue,,,Y,channel lag,,"""channel base"""
564423,occ,,,58909,Chasmosaurus belli,,species,63914,Late Campanian,,83.5,70.6,12314,Chordata,Ornithischia,,Ceratopsidae,Chasmosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.585434,50.811378,gp_mid,-65.72,61.01,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to the Oldman Fm.\r\n,"""ss. with veg., scattered small bone, clayballs""",sandstone,,,"argillaceous,carbonaceous",Y,,,,,,"""channel""",,"""top of active channel"""
564424,occ,17763,,58910,Centrosaurus apertus,,species,63911,Late Campanian,,83.5,70.6,16982,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.429771,50.756886,gp_mid,-65.59,60.92,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to Oldman Fm.,,not reported,,,,,,,,,,terrestrial indet.,,
564426,occ,,,58912,Chasmosaurus belli,,species,63914,Late Campanian,,83.5,70.6,12314,Chordata,Ornithischia,,Ceratopsidae,Chasmosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.630714,50.800125,gp_mid,-65.79,61.01,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to the Oldman Fm.,"""sandstone, plant matter, claystone""",sandstone,,,"argillaceous,carbonaceous",Y,,,,,,"""channel""",,"""channel top"""
564550,occ,33826,,58945,Centrosaurus apertus,,species,63911,Late Campanian,,83.5,70.6,16982,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.613876,50.789829,gp_mid,-65.77,61,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to the Oldman Fm.,,sandstone,,,,Y,,,,,,coarse channel fill,,
564555,occ,17765,,58950,Centrosaurus apertus,,species,63911,Late Campanian,,83.5,70.6,16982,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.508659,50.732891,gp_mid,-65.7,60.92,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to the Oldman Fm.,,sandstone,,,,Y,,,,,,channel lag,,
564557,occ,17766,,58952,Centrosaurus apertus,,species,63911,Late Campanian,,83.5,70.6,16982,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.465996,50.748852,gp_mid,-65.64,60.92,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to Oldman Fm.,"""sandstone with many clayballs""",sandstone,,,argillaceous,Y,,,,,,"""channel""",,"""low in channel"""
564559,occ,33831,,58954,Chasmosaurus belli,,species,63914,Late Campanian,,83.5,70.6,16982,Chordata,Ornithischia,,Ceratopsidae,Chasmosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.566536,50.733047,gp_mid,-65.77,60.93,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to Oldman Fm.,,not reported,,,,,,,,,,terrestrial indet.,,
564567,occ,,,58962,Centrosaurus apertus,,species,63911,Late Campanian,,83.5,70.6,17197,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.602051,50.820881,gp_mid,-65.73,61.02,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to the Oldman Fm.,,sandstone,"""cross stratification""",,,Y,,,,,,"""channel""",,
565021,occ,32348,,59006,Kosmoceratops,,genus,243366,Late Campanian,,83.5,70.6,59189,Chordata,Ornithischia,,Ceratopsidae,Kosmoceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.609581,50.789944,gp_mid,-65.77,61,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to the Oldman Fm.; bottom 10 m of Dinosaur Park Fm.,,sandstone,,,,Y,,,,,,channel lag,,"""channel base"""
565046,occ,17778,,59011,Ceratopsidae,,family,38851,Late Campanian,,83.5,70.6,16982,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.511971,50.73328,gp_mid,-65.71,60.92,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to the Oldman Fm.,"""sandstone, siltstone, claystone""",sandstone,,,"argillaceous,silty",Y,,,,,,fine channel fill,,
565074,occ,29603,,59014,Chasmosaurus belli,,species,63914,Late Campanian,,83.5,70.6,50005,Chordata,Ornithischia,,Ceratopsidae,Chasmosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.599556,50.819096,gp_mid,-65.73,61.02,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to the Oldman Fm.,,sandstone,"""cross stratification""",,carbonaceous,Y,,,,,,"""channel""",,
565097,occ,33828,,59016,Centrosaurus apertus,,species,63911,Late Campanian,,83.5,70.6,16982,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.39827,50.754902,gp_mid,-65.55,60.91,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to the Oldman Fm.,,not reported,,,,,,,,,,terrestrial indet.,,
565099,occ,,,59018,Centrosaurus apertus,,species,63911,Late Campanian,,83.5,70.6,62887,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.414452,50.748989,gp_mid,-65.58,60.91,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to the Oldman Fm.,,claystone,,,silty,Y,,,,,,"""floodplain""",,
565106,occ,17771,,59025,Centrosaurus apertus,,species,63911,Late Campanian,,83.5,70.6,16982,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.516617,50.746586,gp_mid,-65.7,60.93,101,Dinosaur Park,Belly River,,bed,,,,,Dinosaur Park,1.831,bottom to top,originally assigned to the Oldman Fm.,,sandstone,,,,Y,,,,,,"""channel""",,
565107,occ,15784,,59026,Chasmosaurus belli,,species,63914,Late Campanian,,83.5,70.6,16806,Chordata,Ornithischia,,Ceratopsidae,Chasmosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.509666,50.73679,gp_mid,-65.7,60.92,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to the Oldman Fm.,,sandstone,,,,Y,,,,,,"""channel""",,
565108,occ,17779,,59027,Ceratopsidae,,family,38851,Late Campanian,,83.5,70.6,16982,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.483208,50.740299,gp_mid,-65.67,60.92,101,Dinosaur Park,Belly River,,bed,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,
565132,occ,17772,,59039,Centrosaurus apertus,,species,63911,Late Campanian,,83.5,70.6,16982,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.513313,50.743546,gp_mid,-65.7,60.93,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to the Oldman Fm.,,not reported,,,,,,,,,,"""channel""",,
565157,occ,33827,,59046,Centrosaurus apertus,,species,63911,Late Campanian,,83.5,70.6,19374,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.567169,50.743645,gp_mid,-65.76,60.94,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to the Oldman Fm.,,sandstone,,,,Y,,,,,,channel lag,,"""channel base"""
565158,occ,,,59047,Chasmosaurus belli,,species,63914,Late Campanian,,83.5,70.6,12314,Chordata,Ornithischia,,Ceratopsidae,Chasmosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.571686,50.743309,gp_mid,-65.77,60.95,101,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to the Oldman Fm.; 60 ft. below overlying Pierre Shale,,sandstone,,,,Y,,,,,,channel lag,,"""channel base"""
565495,occ,17780,,59105,Ceratopsidae,,family,38851,Middle Campanian,,83.5,70.6,16982,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.499405,50.762093,gp_mid,-65.66,60.94,101,Oldman,Belly River,,bed,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,
565499,occ,17777,,59109,Centrosaurus apertus,,species,63911,Late Campanian,,83.5,70.6,16982,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.490646,50.747437,gp_mid,-65.67,60.93,101,Dinosaur Park,Belly River,,bed,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,
565500,occ,17774,,59110,Centrosaurus apertus,,species,63911,Late Campanian,,83.5,70.6,16982,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.58017,50.81271,gp_mid,-65.71,61.01,101,Dinosaur Park,Belly River,,bed,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,
565517,occ,17776,,59118,Centrosaurus apertus,,species,63911,Middle Campanian,Late Campanian,83.5,70.6,16982,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.409172,50.74884,gp_mid,-65.57,60.91,101,,Belly River,,bed,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,
565600,occ,17785,,59136,Chasmosaurus russelli,,species,66020,Late Campanian,,83.5,70.6,14101,Chordata,Ornithischia,,Ceratopsidae,Chasmosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.579498,50.794212,gp_mid,-65.73,60.99,101,Dinosaur Park,Belly River,,bed,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,
565874,occ,17868,,59222,Styracosaurus albertensis,,species,56144,Late Campanian,,83.5,70.6,16964,Chordata,Ornithischia,,Ceratopsidae,Styracosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.575905,50.741257,gp_mid,-65.77,60.94,101,Dinosaur Park,Belly River,,bed,,,,,,,,"originally described as coming from ""low in the strata of the Oldman Formation""",,not reported,,,,,,,,,,terrestrial indet.,,
565881,occ,17781,,59228,Ceratopsidae,,family,38851,Late Campanian,,83.5,70.6,16982,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.855988,50.822216,gp_mid,-66.03,61.09,101,Dinosaur Park,Belly River,,bed,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,
574084,occ,18490,,60363,Coronosaurus brinkmani,,species,81008,Late Campanian,,83.5,70.6,17358,Chordata,Ornithischia,,Ceratopsidae,Coronosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.524002,50.747601,gp_mid,-65.71,60.94,101,Oldman,Belly River,,bed,,,,,,,,14.6 m below the contact with the Dinosaur Park Formation (upper part of Oldman),"""fine grained sandstone""",sandstone,fine,,,Y,,,,,,channel lag,,"""paucispecific, channel lag-like deposits that probably accumulated over long (> 10 and probably > 100) years after having been abraided for periods of time (> 10 years) while in a channel"""
574085,occ,,,60364,Coronosaurus brinkmani,,species,81008,Campanian,,83.6,72.1,17358,Chordata,Ornithischia,,Ceratopsidae,Coronosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-112.205559,49.286388,gp_mid,-67.58,59.55,101,Oldman,Belly River,,bed,,,,,,,,approx. 70 m below the dated bentonite (76 Ma) at the Devil's Coulee nesting site,,not reported,,,,,,,,,,channel lag,,"""paucispecific, channel lag-like deposits that probably accumulated over long (> 10 and probably > 100) years after having been abraided for periods of time (> 10 years) while in a channel"""
578255,occ,,,60873,Chasmosaurus belli,,species,63914,Late Campanian,,83.5,70.6,25127,Chordata,Ornithischia,,Ceratopsidae,Chasmosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.614998,50.820831,gp_mid,-65.75,61.03,101,Dinosaur Park,Belly River,,bed,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,
578256,occ,,,60874,Chasmosaurus belli,,species,63914,Middle Campanian,Late Campanian,83.5,70.6,25127,Chordata,Ornithischia,,Ceratopsidae,Chasmosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.608055,50.814999,gp_mid,-65.75,61.02,101,,Belly River,,bed,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,
584095,occ,,,22652,Achelousaurus horneri,,species,53955,Campanian,,83.6,72.1,8729,Chordata,Ornithischia,,Ceratopsidae,Achelousaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-113.75,48.630001,gp_mid,-71.97,59.56,127,Two Medicine,Montana,,bed,,,,,,,,"ETE dating method: time_unit, ETE age comment: . radiometric intage_max, radiometric intage_min","ETE rock type adj: silty, ETE lithology comments: 0",mudstone,,,silty,Y,,,,,,crevasse splay,,"ETE sed env 1: fluvial, ETE sed env 2: crev_splay ETE event: ., ETE env comment: 0"
584108,occ,23382,,22693,Rubeosaurus ovatus,,species,56147,Campanian,,83.6,72.1,33790,Chordata,Ornithischia,,Ceratopsidae,Rubeosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-112.650002,48.966599,gp_mid,-68.36,59.37,101,Two Medicine,Montana,Upper,group of beds,,,,,,,,upper part of formation; specimens from bonebed plus one downslope (MOR 492),"ETE rock type adj: ""drk brn,sandy"", ETE lithology comments: .",siltstone,"bioturbation,red or brown",,sandy,Y,,,,,,lacustrine - small,,"ETE sed env 1: fluvial, ETE sed env 2: ab_chan_fill ETE event: ., ETE env comment: drought\r\n""shallow, vegetated oxbow lakes"""
584109,occ,,,22694,Brachyceratops,,genus,63894,Campanian,,83.6,72.1,17718,Chordata,Ornithischia,,Ceratopsidae,Brachyceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-112.650002,48.966599,gp_mid,-68.36,59.37,101,Two Medicine,Montana,Upper,bed,,,,,,,,"ETE dating method: time_unit, ETE age comment: 0 radiometric intage_min; upper part of formation","ETE rock type adj: ""drk brn,sandy"", ETE lithology comments: .",siltstone,"bioturbation,brown",,"sandy,carbonaceous",Y,,,,,,lacustrine - small,,"ETE sed env 1: fluvial, ETE sed env 2: ab_chan_fill ETE event: ., ETE env comment: drought\r\n""shallow, vegetated oxbow lakes"""
584119,occ,,,59373,Centrosaurinae,,subfamily,53953,Campanian,,83.6,72.1,17718,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-112.642403,48.935501,gp_mid,-68.38,59.34,101,Two Medicine,Montana,,bed,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,
584123,occ,,,59373,Einiosaurus procurvicornis,,species,53954,Campanian,,83.6,72.1,17718,Chordata,Ornithischia,,Ceratopsidae,Einiosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-112.642403,48.935501,gp_mid,-68.38,59.34,101,Two Medicine,Montana,,bed,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,
586547,occ,,,14458,Ceratopsidae,,family,38851,Judithian,,83.5,70.6,17857,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-107.278099,42.854401,gp_mid,-66.6,52.54,101,Mesaverde,,,group of beds,,,,,,,,now dated to upper middle Campanian,"""yellowish to golden channel sandstone...richest fossil-bearing level is within a basal ironstone-cemented pebble conglomerate and throughout the overlying 2 m of more friable, yellowish sanstone. Fossils are seen both as isolated occurrences in massively cross-bedded sandstones and within concentrations of clay-gall stringers along thin bedding planes.""",conglomerate,"ferruginous,pebbly",lithified,,Y,sandstone,"""cross stratification"",yellow",,argillaceous,Y,"""channel""",,
591628,occ,,,62528,Monoclonius,,genus,38857,Late Campanian,,83.5,70.6,18036,Chordata,Ornithischia,,Ceratopsidae,Monoclonius,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-108.46389,36.623611,gp_mid,-71.27,47.01,101,Fruitland,,,bed,,,,,,,,150 ft above base of formation,,,,,,,,,,,,terrestrial indet.,,
591630,occ,18343,,62530,Monoclonius,,genus,38857,Late Campanian,,83.5,70.6,15088,Chordata,Ornithischia,,Ceratopsidae,Monoclonius,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-108.29583,36.701111,gp_mid,-71.04,47.04,101,Kirtland,,,bed,,,,,,,,"40 ft below the Wasatch Conglomerate, uppermost part of formation",,not reported,,,,,,,,,,terrestrial indet.,,
591633,occ,18225,,62533,Ceratopsidae,,family,38851,Late Campanian,,83.5,70.6,18036,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-108.016945,36.324722,gp_mid,-70.91,46.61,101,Fruitland/Kirtland,,,bed,,,,,,,,formation not named,,,,,,,,,,,,terrestrial indet.,,
591681,occ,,,62548,Chasmosaurinae,,subfamily,52773,Late Campanian,,83.5,70.6,18055,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-107.9058,36.1693,gp_mid,-70.86,46.43,101,Kirtland,,,bed,,Kimbe,1,,,,,75 ft above base of formation,,not reported,,,,,,,,,,terrestrial indet.,,
591682,occ,18349,,62549,Pentaceratops,,genus,38859,Late Campanian,,83.5,70.6,15088,Chordata,Ornithischia,,Ceratopsidae,Pentaceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-107.9058,36.1693,gp_mid,-70.86,46.43,101,Kirtland,,,bed,,Kimbe,1,,,,,75 ft above base of formation,,not reported,,,,,,,,,,terrestrial indet.,,
591881,occ,,,62631,Ceratopsidae,,family,38851,Late Campanian,,83.5,70.6,18069,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-151.42778,69.525833,gp_mid,-103.81,86.6,103,Prince Creek,Nanushuk,Kogosukruk Tongue,bed,,,,,,,,,,not reported,,,,,,,,,,crevasse splay,,
602419,occ,,,64094,Pentaceratops,,genus,38859,Late Campanian,,83.5,70.6,18513,Chordata,Ornithischia,,Ceratopsidae,Pentaceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-107.889198,36.1861,gp_mid,-70.84,46.45,101,Kirtland,,,bed,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,
602422,occ,,,64096,Pentaceratops,,genus,38859,Late Campanian,,83.5,70.6,18513,Chordata,Ornithischia,,Ceratopsidae,Pentaceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-108.084198,36.3148,gp_mid,-70.99,46.62,101,Fruitland,,,bed,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,
