"","siteID","AllOut_1","COut_1","COut_all_1","DEM_1","LANDCVI_binary_1","LANDCVI_multiple_1","MGVF_1","MOut_1","MOut_all_1","Relief_1","SLOPE_1","WC_Prec_1","WC_Temp_1","mean_ptemp","mean_pprec","mean_pDEM","mean_psed"
"1",1447,0.419999986886978,0,0.129999995231628,826.456420898438,NA,1,90.75,0.28999999165535,0.28999999165535,307.753234863281,0.154719695448875,39.4135284423828,2.26833462715149,24.8901281124208,8.74446697932918,555.121951219512,3597.14634146341
"2",1448,0.360000014305115,0,0.119999997317791,705.311279296875,NA,3,97,0.239999994635582,0.239999994635582,444.977508544922,0.141662552952766,39.2029304504395,2.22263550758362,28.0086150509971,8.94583711453846,434.285714285714,4486.53571428571
"3",1530,0.800000011920929,0.560000002384186,0.569999992847443,1363.46228027344,NA,3,95.25,0.790000021457672,0.790000021457672,1460.43249511719,0.258570194244385,49.7465286254883,2.26528406143188,26.3083671993679,9.72948540581597,608.888888888889,4164
"4",1870,1,0.850000023841858,1,753.948059082031,NA,1,87.25,0,0.150000005960464,185.588287353516,0.0480313152074814,27.479305267334,4.68221282958984,24.6492914783356,5.78411701389644,1084.38356164384,4028.84474885845
"5",1871,1,0.810000002384186,1,692.675415039062,NA,1,69.7500076293945,0,0.180000007152557,218.815475463867,0.0723277106881142,26.7156829833984,4.52275562286377,26.531454039783,5.33196527201955,932.682926829268,3686.43902439024
"6",1952,1,0.72000002861023,0.930000007152557,929.643127441406,NA,1,85.2499923706055,0.0500000007450581,0.259999990463257,598.56982421875,0.1800187677145,33.0816535949707,5.62536001205444,25.4558980067571,5.79711957275867,1139.16666666667,3930.625
"7",1953,1,0.889999985694885,1,848.218994140625,NA,1,84.2499923706055,0,0,326.199401855469,0.0669811517000198,30.0335655212402,5.64670038223267,24.6130549112956,4.82527967294057,1263.33333333333,3545.5
"8",1954,0.959999978542328,0.52999997138977,0.910000026226044,1104.982421875,NA,1,86.2500076293945,0.0500000007450581,0.430000007152557,650.60693359375,0.0613560490310192,29.6589126586914,4.40191793441772,26.6659012616165,5.75763823830984,914.471544715447,3815.38211382114
"9",2034,0.0199999995529652,0.0199999995529652,0.0199999995529652,1595.60815429688,NA,3,97,0,0,1379.80358886719,0.103430017828941,51.9793510437012,2.80001330375671,26.0130748748779,4.6109766960144,760,4228
"10",2035,0.610000014305115,0.419999986886978,0.550000011920929,1207.40490722656,NA,1,66.2500076293945,0.0799999982118607,0.109999999403954,1167.81359863281,0.261865496635437,29.6714000701904,5.79519033432007,24.7627841713502,6.00076072240613,663.673469387755,4039.32653061224
"11",2037,0.959999978542328,0.600000023841858,0.959999978542328,938.202331542969,1,2,68.7500076293945,0,0,297.761688232422,0.0561737231910229,25.3330554962158,6.1234974861145,25.1955788853657,3.67498151940036,579.277108433735,2933.98795180723
"12",2038,0.689999997615814,0.379999995231628,0.689999997615814,858.51806640625,NA,1,79.5,0.00999999977648258,0.319999992847443,1058.67419433594,0.0971575900912285,29.960376739502,5.50004196166992,24.0751787821452,6.83665789498223,1158.51851851852,4009.92592592593
"13",2040,0.889999985694885,0.310000002384186,0.889999985694885,689.789794921875,NA,1,82,0,0.379999995231628,241.618469238281,0.0300002209842205,26.0320949554443,5.83799076080322,26.8359098434448,4.47742712497711,1130,4228
"14",2041,0.649999976158142,0.0399999991059303,0.589999973773956,806.9677734375,NA,1,93.2499923706055,0.0599999986588955,0.610000014305115,380.385101318359,0.00661900360137224,25.7629680633545,5.76776742935181,26.6674308776855,4.46333646774292,960,4228
"15",2118,0.25,0.209999993443489,0.25,1383.05627441406,NA,1,74.7500076293945,0.0199999995529652,0.0199999995529652,1243.80249023438,0.297184884548187,34.6965675354004,4.89737033843994,24.5687805978875,5.68392732896303,769.473684210526,4148.57894736842
"16",2120,0.209999993443489,0,0.209999993443489,1470.01037597656,1,2,89.0000076293945,0,0,1209.22644042969,0.172495171427727,38.655948638916,6.5059928894043,27.1668249766032,4.1582072575887,1106.66666666667,4228
"17",2121,0.610000014305115,0.189999997615814,0.600000023841858,988.4765625,1,2,90.9999923706055,0.00999999977648258,0.189999997615814,920.699890136719,0.252332836389542,32.5937957763672,6.55415344238281,27.130476482844,4.34321892463555,1046.77966101695,4214.5593220339
"18",2122,0.769999980926514,0.0199999995529652,0.680000007152557,882.369018554688,NA,1,59.5,0.0900000035762787,0.680000007152557,783.072814941406,0.0883231312036514,28.9946060180664,7.04086637496948,26.9161065045525,5.12419220980476,955.294117647059,4197.64705882353
"19",2204,0.340000003576279,0.0799999982118607,0.28999999165535,1277.53967285156,NA,1,75.2500076293945,0.0399999991059303,0.150000005960464,1134.08947753906,0.347390294075012,32.3754692077637,6.10051822662354,25.6496398925781,5.4049107670784,795.666666666667,3727.5
"20",2205,0.449999988079071,0.0700000002980232,0.25,1015.52581787109,1,2,58,0.200000002980232,0.259999990463257,550.491455078125,0.118299148976803,29.9400978088379,7.35405921936035,22.972376699033,7.64678559095963,243.478260869565,4228
"21",2286,0.0599999986588955,0.00999999977648258,0.0599999986588955,2264.83911132812,NA,3,81.4999923706055,0.00999999977648258,0.00999999977648258,1608.4853515625,0.240153968334198,45.3142318725586,3.45701217651367,26.5550942420959,4.41290611028671,1050,3831.5
"22",2292,0.639999985694885,0,0.370000004768372,1030.38110351562,1,2,69.5,0.270000010728836,0.639999985694885,354.152587890625,0.159937471151352,30.9729347229004,7.65152072906494,26.048731803894,4.8627758026123,1100,4228
"23",2372,0.0299999993294477,0.00999999977648258,0.00999999977648258,2703.0400390625,NA,3,94.0000076293945,0.0299999993294477,0.0299999993294477,2145.26025390625,0.22471022605896,33.9979515075684,3.82710313796997,25.1182691256205,8.63340868552526,958.333333333333,3561.95833333333
"24",2455,0.0299999993294477,0.00999999977648258,0.00999999977648258,2033.95129394531,1,2,75.2499923706055,0.0199999995529652,0.0199999995529652,1375.32397460938,0.127634286880493,24.3260593414307,5.85595083236694,25.2781314849854,8.6797993183136,1080,3469.625
"25",2783,0.349999994039536,0.129999995231628,0.200000002980232,1759.10913085938,1,2,88.2499923706055,0.150000005960464,0.150000005960464,1711.97094726562,0.115650050342083,31.8984718322754,6.48170375823975,25.0651035308838,4.29477834701538,1200,3435
"26",2784,0.270000010728836,0.0799999982118607,0.219999998807907,1686.39807128906,1,2,15.75,0.0500000007450581,0.0500000007450581,1645.15856933594,0.10122462362051,23.0482692718506,8.21963977813721,24.7691252390544,4.75482215881348,1128,3486.33333333333
"27",2787,0.100000001490116,0.0500000007450581,0.100000001490116,2035.20959472656,1,3,93.5000076293945,0,0,1916.59619140625,0.326561510562897,34.7800483703613,3.42044377326965,25.6448345184326,6.86785554885864,1040,3435
"28",2866,0.100000001490116,0.0399999991059303,0.0799999982118607,2694.1162109375,1,2,61.7499961853027,0.0199999995529652,0.0199999995529652,1900.80688476562,0.23769411444664,24.9291553497314,6.84388065338135,24.9459349314372,10.083779335022,653.333333333333,4220.33333333333
"29",2867,0.0799999982118607,0,0.0799999982118607,1656.35046386719,1,2,16.5,0,0,1274.71667480469,0.149782761931419,16.4529342651367,11.0055084228516,21.3958174200619,11.054875682382,305.882352941176,4240.20588235294
"30",2947,0,0,0,1986.07861328125,1,2,59.9999923706055,0,0,2105.67041015625,0.278429716825485,28.3963432312012,11.0872488021851,26.5519161224365,2.78762936592102,280,2512
"31",2948,0,0,0,2259.53515625,NA,3,73.5000076293945,0,0,1487.41198730469,0.179385110735893,31.3991775512695,7.55432891845703,24.4839632134689,5.26941750133247,849.122807017544,4032.31578947368
"32",2949,0.00999999977648258,0,0.00999999977648258,1858.56628417969,1,2,32.2500076293945,0,0,2028.06811523438,0.239680424332619,20.0286293029785,10.7178440093994,25.7637055283886,5.72509215241772,907.118644067797,4281.84745762712
"33",3035,0.6700000166893,0.379999995231628,0.6700000166893,1641.48107910156,1,2,5.5,0,0,1258.30834960938,0.217530876398087,20.6087493896484,10.8553867340088,27.1061878204346,9.52795124053955,920,4228
"34",3118,0.270000010728836,0.230000004172325,0.270000010728836,2084.53662109375,1,2,39.9999923706055,0,0,861.793273925781,0.0810595899820328,27.3260650634766,8.73768424987793,27.1061878204346,9.52795124053955,920,4228
"35",3119,0.409999996423721,0.28999999165535,0.409999996423721,2055.09619140625,1,2,17.4999980926514,0,0,1302.09973144531,0.0128282811492682,24.0848903656006,9.64639568328857,27.2099194526672,9.42898881435394,920,4272.125
"36",3120,0.0500000007450581,0.0199999995529652,0.0500000007450581,1859.93310546875,1,2,30.7499980926514,0,0,1429.67492675781,0.20651239156723,31.1826572418213,10.5673027038574,27.1061878204346,9.52795124053955,920,4228
