"","siteID","mean_DEM","mean_prec","mean_temp","counting_colls$Coll_count"
"1",1447,696.849822253716,41.2743904299852,2.85284554667589,14
"2",1448,617.929832458496,39.4538681847709,2.92752962878772,7
"3",1530,916.865668402778,45.4629626803928,2.78148154417674,6
"4",1534,674.596069335938,43.6666679382324,2.36666655540466,1
"5",1706,652.194580078125,30.1666660308838,2.23333334922791,1
"6",1870,689.323069672606,27.5456621004566,4.92469563549512,74
"7",1871,686.916125786014,25.6483735805605,4.52296758279568,10
"8",1950,1264.388671875,45.8333320617676,4.68333339691162,1
"9",1951,939.564331054688,34.6666679382324,5.71666669845581,1
"10",1952,1085.61249796549,34.9930548667908,5.59166666865349,13
"11",1953,832.478200276693,29.7777778307597,5.69027781486511,9
"12",1954,950.836626006336,28.7144306849658,5.29740855170459,32
"13",1955,922.275146484375,26,4.15833330154419,1
"14",2034,2469.9228515625,63.8333320617676,-1.40000009536743,6
"15",2035,1251.64864551778,30.3767006932473,5.65314628518358,39
"16",2037,912.747401961361,25.6315261427178,5.50471886669297,22
"17",2038,806.7523916739,25.9999997880724,6.29104953342014,9
"18",2040,741.98908996582,26.125,6.1708333492279,4
"19",2041,678.556518554688,24.8333339691162,6.09999990463257,2
"20",2118,1368.58017931486,28.5975873344823,6.31710522739511,28
"21",2120,930.812215169271,34.3055559794108,7.30277792612712,2
"22",2121,944.623028254105,29.524010739084,6.76610156237069,12
"23",2122,767.508717256434,27.4460784687715,7.5132352885078,10
"24",2123,920.926330566406,28.4166660308838,6.0750002861023,1
"25",2124,704.231872558594,26.6666660308838,7.53333330154419,1
"26",2204,1245.59195861816,28.1305554072062,7.01006941397985,15
"27",2205,884.512419327446,28.7826092761496,8.08550749654355,4
"28",2285,1301.41259765625,25.3333339691162,7.13333320617676,1
"29",2286,1635.29797363281,38.1041669845581,5.7354166507721,3
"30",2292,1023.82138061523,29.9583339691162,7.25416684150696,2
"31",2372,1395.19186401367,20.3611106872559,7.34444439411163,10
"32",2453,2423.39990234375,27.75,2.40833330154419,1
"33",2454,1524.6865234375,21.5833339691162,7.10833311080933,1
"34",2455,1783.69856262207,22.78125,6.4833334684372,2
"35",2459,1039.61889648438,33.75,8.5,1
"36",2538,1923.42724609375,20.6666660308838,6.31666660308838,1
"37",2620,2172.65307617188,18.0833339691162,4.375,1
"38",2702,1522.58776855469,18.6666660308838,8.48333358764648,1
"39",2703,1874.41149902344,23.75,6.63333320617676,1
"40",2783,2333.74471028646,28.0833333333333,5.85833326975505,2
"41",2784,2040.6077718099,26.2388892491659,7.37333342234294,7
"42",2787,2224.62841796875,35.25,5.33333301544189,2
"43",2866,1755.04577636719,16.1666660308838,11.3666667938232,2
"44",2867,1864.8550379136,17.3014703918906,10.7678922765395,15
"45",2870,2077.12817382812,28.8333339691162,7.83333349227905,1
"46",2947,1934.4036094264,33.7982467852141,8.72412320187217,4
"47",2948,2487.39744915879,35.8801163288585,5.27302634925173,14
"48",2949,1720.04135907707,18.3983048261222,11.1618640705691,15
"49",3035,1809.28442382812,18.1666660308838,10.6916666030884,3
"50",3118,2205.0923828125,31.383332824707,8.28499984741211,2
"51",3119,1923.27458190918,21.2604167461395,10.570833325386,3
"52",3120,1766.04113769531,23.25,12.2749996185303,5
"53",3300,66.2761535644531,114.75,16.8666667938232,1
"54",3364,1020.419921875,34.75,19.4333324432373,1
