"","Group.1","cells.1","Camp_out_0.5","DEM_0.5","LANDCVI_selected_0.5","MGVF_0.5","SLOPE_0.5","WC_Prec_0.5","WC_Temp_0.5","cells.2","CampPrecip_0.5","CampTemp_0.5","CampTemp"
"1",837,837,0.899999976158142,17.7027893066406,26.5970344543457,79.9999923706055,NA,11.5053396224976,-11.0482406616211,3399,5.53206427866826e-06,264.476379394531,-8.67362060546873
"2",838,838,0.860000014305115,15.9252738952637,22.2294425964355,93.5,NA,11.9329261779785,-11.0239133834839,3040,5.2058740038774e-06,264.341857910156,-8.80814208984373
"3",1003,1003,0.800000011920929,63.9422645568848,NA,72.5,0.091985784471035,12.3941459655762,-10.3880767822266,3391.5,5.5161585805763e-06,264.508361816406,-8.64163818359373
"4",1004,1004,1,38.4781188964844,NA,64.5000076293945,0.0868008658289909,12.9827156066895,-10.3969078063965,4473.5,6.02144655204029e-06,264.976150512695,-8.17384948730466
"5",3001,3001,0,924.883239746094,998.044311523438,91.2499923706055,0.443450838327408,33.1974678039551,-2.89110827445984,17450,8.04236969997874e-06,269.596862792969,-3.55313720703123
"6",3163,3163,0,1430.59204101562,1065.46887207031,49.5000228881836,0.332996547222137,49.7632102966309,-3.91131591796875,16721,7.14239968147012e-06,269.112121582031,-4.03787841796873
"7",5534,5534,0,918.759460449219,66.0851211547852,87.0000228881836,0.487349987030029,60.0345153808594,-0.831970751285553,27555,1.1172018275829e-05,271.437164306641,-1.71283569335935
"8",5881,5881,0.980000019073486,781.525207519531,110.97575378418,94.5,0.165332838892937,40.7170944213867,2.67259335517883,32857.6666666667,1.19834182138826e-05,272.471852620443,-0.678147379557288
"9",5882,5882,1,788.513549804688,127.015495300293,96.75,0.122823633253574,40.9918212890625,2.50121593475342,32978.5,1.19848259600985e-05,272.420196533203,-0.729803466796852
"10",5883,5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,-0.805090332031227
"11",5886,5886,0.970000028610229,657.69287109375,21.2176551818848,86.5000076293945,0.0719107165932655,40.7900161743164,2.34025883674622,32624,1.20334589155391e-05,271.813293457031,-1.33670654296873
