"","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10"
"8224",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8385",0,0,0,0,1,1,NA,NA,NA,NA
"8386",1,0,0,0,0,1,0,1,0,0
"8389",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8390",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8391",0,0,0,0,0,0,0,NA,NA,NA
"8392",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"8393",0,1,0,0,0,0,1,0,0,NA
"8557",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8726",0,1,1,NA,NA,NA,NA,NA,NA,NA
"8889",0,1,1,0,0,0,0,NA,NA,NA
"8890",0,0,0,0,0,0,0,NA,NA,NA
"8891",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9051",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9053",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"9066",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9232",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9555",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9557",0,0,0,0,0,0,0,0,0,0
"9720",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9722",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9723",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9887",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9890",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10056",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10188",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10384",0,0,0,0,0,0,0,NA,NA,NA
"10385",0,0,0,0,NA,NA,NA,NA,NA,NA
"10718",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10883",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"11045",0,0,0,0,0,0,NA,NA,NA,NA
"11051",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"11116",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11213",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11214",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"11383",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11542",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"11543",0,0,0,0,0,0,1,0,0,0
"11705",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"11706",0,0,0,0,NA,NA,NA,NA,NA,NA
