"","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10"
"8742",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8887",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"8889",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8894",0,0,0,0,1,NA,NA,NA,NA,NA
"8895",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"8898",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8900",0,0,1,0,0,1,0,0,0,1
"8901",0,0,0,1,1,0,0,1,1,0
"8902",0,0,0,1,0,0,NA,NA,NA,NA
"8907",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9053",0,0,1,NA,NA,NA,NA,NA,NA,NA
"9059",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9064",0,1,0,NA,NA,NA,NA,NA,NA,NA
"9065",0,0,0,0,0,0,0,0,0,0
"9066",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9067",1,0,0,0,0,0,1,1,1,1
"9068",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9070",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9071",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"9072",1,1,1,NA,NA,NA,NA,NA,NA,NA
"9222",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9223",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9229",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9230",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"9231",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9232",0,1,0,NA,NA,NA,NA,NA,NA,NA
"9233",1,1,1,0,1,1,0,NA,NA,NA
"9234",0,0,0,0,1,1,NA,NA,NA,NA
"9236",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"9237",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9385",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9389",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"9391",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9403",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9405",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9551",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9552",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"9554",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"9555",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9557",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9568",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9718",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9725",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9729",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9894",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9895",1,0,0,0,0,0,0,1,0,1
"9896",1,0,0,1,0,0,0,0,0,0
"10059",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"10060",1,1,0,0,NA,NA,NA,NA,NA,NA
"10062",0,0,0,0,0,0,0,0,1,0
"10223",1,0,0,NA,NA,NA,NA,NA,NA,NA
"10228",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10381",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10385",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"10387",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10389",1,0,0,0,1,0,0,0,1,0
"10394",1,1,1,0,NA,NA,NA,NA,NA,NA
"10725",0,0,1,NA,NA,NA,NA,NA,NA,NA
"10726",0,0,0,0,NA,NA,NA,NA,NA,NA
"10885",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10887",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10892",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11056",0,0,0,0,0,0,0,1,1,0
"11057",0,0,0,0,0,0,0,NA,NA,NA
"11058",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"11116",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11210",0,1,0,0,1,0,0,0,0,0
"11222",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11223",0,0,0,0,0,0,0,0,NA,NA
"11377",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"11389",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"11390",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11707",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11880",0,0,0,NA,NA,NA,NA,NA,NA,NA
"11882",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11887",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12021",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12046",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"12211",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12212",0,0,0,0,1,0,0,0,0,1
"12213",1,0,0,0,0,0,0,NA,NA,NA
"12380",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12932",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12933",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"13098",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13099",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13100",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13101",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13210",0,0,0,0,0,0,0,0,0,0
"13869",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"14037",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14211",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14381",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14545",0,0,0,0,1,1,1,1,NA,NA
"14546",1,0,0,1,0,0,0,0,1,1
"14712",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15048",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15375",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
