"","Group.1","cells.1","Maas_out_0.5","DEM_0.5","LANDCVI_selected_0.5","MGVF_0.5","SLOPE_0.5","WC_Prec_0.5","WC_Temp_0.5","cells","MaasPrecip_0.5","MaasTemp_0.5","colls_per_cell","MaasTemp"
"1",837,837,0.899999976158142,17.7027893066406,26.5970344543457,79.9999923706055,NA,11.5053396224976,-11.0482406616211,837,1.46973468417855e-06,264.902191162109,1,-8.247808837891
"2",1003,1003,0.800000011920929,63.9422645568848,NA,72.5,0.091985784471035,12.3941459655762,-10.3880767822266,1003,1.92430826473355e-06,264.93586730957,2,-8.21413269042949
"3",1004,1004,1,38.4781188964844,NA,64.5000076293945,0.0868008658289909,12.9827156066895,-10.3969078063965,1004,5.07069762534229e-06,265.487152099609,1,-7.662847900391
"4",2364,2364,0.370000004768372,269.674835205078,32.2771034240723,84.75,0.448416650295258,28.2843208312988,-6.564124584198,2364,6.11566292718635e-06,266.7119140625,1,-6.43808593749998
"5",2715,2715,0.28999999165535,256.878234863281,13.1662473678589,81.2500152587891,0.364708691835403,25.8557071685791,-5.28521203994751,2715,3.85533121516346e-06,262.527496337891,1,-10.622503662109
"6",6047,6047,0.970000028610229,923.835815429688,37.0992202758789,96.5,0.356043756008148,46.3243522644043,2.63946485519409,6047,6.87909550833865e-06,270.246429443359,1,-2.903570556641
"7",6056,6056,1,1124.41918945312,20.5097846984863,95.75,0.258359789848328,46.2304649353027,1.58474338054657,6056,7.99497411207994e-06,271.05763244629,3,-2.09236755371046
"8",6557,6557,1,735.420593261719,110.702713012695,96.75,0.087174728512764,41.3530197143555,2.60645580291748,6557,8.95041466719704e-06,271.952362060547,1,-1.19763793945299
"9",6890,6890,0.990000009536743,810.288757324219,94.0891876220703,93.75,0.0947308912873268,38.6345329284668,2.84624719619751,6890,9.78577099886024e-06,272.776672363281,3,-0.373327636718614
"10",6892,6892,0.970000028610229,822.983032226562,793.646850585938,85.4999923706055,0.0782323777675629,34.6509475708008,2.77435231208801,6892,1.0054850463348e-05,272.829833984375,1,-0.320166015624977
"11",7056,7056,0.939999997615814,916.645751953125,84.6452789306641,93,0.108838088810444,34.7321624755859,3.17604374885559,7056,9.99109624899574e-06,273.014839172363,11,-0.135160827636696
"12",7057,7057,0.839999973773956,829.37744140625,595.396118164062,82.75,0.0687960088253021,33.4558067321777,3.17399787902832,7057,1.05272229120601e-05,273.478358677455,54,0.328358677455299
"13",7058,7058,0.939999997615814,830.659790039062,1174.22644042969,80.25,0.0500325560569763,31.9171924591064,3.03834748268127,7058,1.01541409094352e-05,273.221374511719,2,0.0713745117190001
"14",7059,7059,0.980000019073486,809.789184570312,1763.2099609375,90.75,0.0400360971689224,30.4240493774414,2.93273663520813,7059,1.03494739960297e-05,273.125427246094,1,-0.0245727539059999
"15",7223,7223,0.990000009536743,889.964782714844,724.0771484375,86,0.108705051243305,31.3305435180664,3.57049608230591,7223,1.11652789200889e-05,274.086903889974,9,0.936903889974019
"16",7389,7389,1,813.602416992188,803.757263183594,82.9999923706055,0.130296587944031,31.1711387634277,4.25327825546265,7389,1.10141222648963e-05,274.272369384766,2,1.12236938476553
"17",7391,7391,1,718.403930664062,1698.8330078125,89.5,0.00789243448525667,28.0006771087646,4.30157613754272,7391,1.07314772321843e-05,273.846221923828,1,0.696221923828034
"18",7554,7554,1,969.661804199219,928.587158203125,86,0.224924519658089,34.0849838256836,4.71296119689941,7554,1.16301653179107e-05,275.228271484375,1,2.07827148437502
"19",7717,7717,0,2036.83825683594,692.357666015625,87.75,0.220671460032463,59.5651168823242,1.68524706363678,7717,1.14378926809877e-05,275.133331298828,1,1.98333129882803
