"","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10"
"12212",1,1,1,0,1,0,0,1,0,0
"12213",0,0,1,0,0,0,1,1,0,1
"12217",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12379",0,0,0,0,0,0,0,0,0,0
"12380",0,0,0,1,0,0,1,0,0,NA
"12381",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"12543",0,1,0,NA,NA,NA,NA,NA,NA,NA
"12547",1,1,1,0,0,NA,NA,NA,NA,NA
"12769",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"12933",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"13082",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13210",0,0,0,0,0,0,NA,NA,NA,NA
"13415",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13534",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13701",1,1,0,0,NA,NA,NA,NA,NA,NA
"13706",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"13856",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13869",1,1,1,0,0,1,NA,NA,NA,NA
"14189",0,1,0,0,0,0,0,1,1,1
"14378",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14379",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14381",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14545",1,0,1,1,0,0,0,1,1,0
"14546",0,0,1,0,1,1,1,0,1,1
"14712",1,1,1,1,1,1,1,1,1,1
"14880",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15047",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15048",1,1,0,NA,NA,NA,NA,NA,NA,NA
"15215",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15546",1,0,0,NA,NA,NA,NA,NA,NA,NA
"15711",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15712",1,1,1,0,1,1,0,0,1,0
"15877",1,0,1,1,1,1,1,0,0,1
"15878",0,0,0,0,0,1,1,1,1,0
