"","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10"
"10059",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"10060",0,1,1,0,NA,NA,NA,NA,NA,NA
"10062",0,0,0,0,1,0,1,0,0,0
"10223",1,0,1,NA,NA,NA,NA,NA,NA,NA
"10228",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10381",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10385",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"10387",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10389",1,0,1,1,1,0,0,1,1,0
"10394",1,1,1,1,NA,NA,NA,NA,NA,NA
"10725",0,0,1,NA,NA,NA,NA,NA,NA,NA
"10726",1,1,0,0,NA,NA,NA,NA,NA,NA
"10885",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10887",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10892",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11056",1,0,0,0,1,0,1,1,1,1
"11057",1,1,1,0,1,1,1,NA,NA,NA
"11058",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"11116",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11210",0,0,1,0,0,0,1,0,0,0
"11222",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11223",0,0,0,0,0,0,0,0,NA,NA
"11377",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"11389",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"11390",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11707",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11880",0,0,0,NA,NA,NA,NA,NA,NA,NA
"11882",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11887",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12021",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12046",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"12211",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12212",0,0,0,0,0,1,1,1,1,0
"12213",1,0,1,0,1,0,0,NA,NA,NA
"12380",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12932",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12933",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"13098",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13099",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13100",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13101",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13210",1,1,1,1,0,0,0,0,1,0
"13869",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"14037",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14211",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14381",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14545",0,0,0,0,1,0,0,0,NA,NA
"14546",0,0,0,0,0,0,0,0,0,1
"14712",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15048",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15375",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
