"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","mean_plat","counting_colls$Coll_count","mean_Cpre","mean_Ctemp"
"1",837,22.657787322998,73.3333333333333,11.7569444179535,-10.8256944020589,30.06418800354,12.9622230529785,17.1019649505615,89.19,4,1.156536200142e-06,-9.49252929687498
"2",838,18.7396278381348,73,NA,NA,18.7396278381348,18.7396278381348,0,NA,1,NA,NA
"3",1003,46.42142607949,62.9090909090909,12.401515267112,-10.4310611378063,118.069877624512,16.9546642303467,101.115213394165,88.97,4,3.44123441209376e-06,-9.0753234863281
"4",1004,41.0084425608317,61.6666666666667,12.9722220102946,-10.1833333969116,48.2839050292969,27.4666385650635,20.8172664642334,NA,3,NA,NA
"5",5534,691.093444824219,90,47.4166679382324,1.40000009536743,691.093444824219,691.093444824219,0,72.08,1,9.14572319743456e-06,-2.55411376953123
"6",5879,1040.52270507812,96,51.4166679382324,2.43333339691162,1040.52270507812,1040.52270507812,0,NA,1,NA,NA
"7",5881,760.901847330729,91.0666666666667,40.766667175293,2.83055545488993,849.426879882812,681.076843261719,168.350036621094,67.3475,5,1.1981815305262e-05,-0.749533081054665
"8",5882,662.486879788912,93.2692307692308,42.0256416614239,2.81987186578604,687.771606445312,659.961303710938,27.810302734375,66.83,9,1.19979868031805e-05,-0.576452636718727
"9",5883,708.307197265625,83.6,39.9133329772949,2.39333331108093,746.045104980469,633.429748535156,112.615356445312,66.8436363636364,6,1.20552394946571e-05,-0.694982910156227
"10",6047,1063.57047526042,91.6666666666667,47.1944440205892,2.42222231626511,1388.63549804688,690.030212402344,698.605285644531,68.17,4,1.11754419170514e-05,-1.02671915690104
"11",6048,621.078063964844,94,42.5,3.375,621.078063964844,621.078063964844,0,67.32,2,1.19895066745812e-05,-0.864263916015602
"12",6222,674.596069335938,92,43.6666679382324,2.36666655540466,674.596069335938,674.596069335938,0,NA,1,NA,NA
"13",6891,813.795349121094,78,35.8333320617676,3.10833334922791,813.795349121094,813.795349121094,0,62.53,1,1.38713030537474e-05,2.34771118164065
"14",6898,642.45957438151,67.3333333333333,30.3749993642171,2.16388877232869,652.194580078125,640.512573242188,11.6820068359375,61.8033333333333,2,1.53982618940063e-05,1.5234313964844
"15",7057,800.531982421875,67,34.0833320617676,3.49999976158142,800.531982421875,800.531982421875,0,62.4,1,1.38713030537474e-05,2.34771118164065
"16",7066,580.051452636719,88,28.25,3.13333320617676,580.051452636719,580.051452636719,0,60.72,1,1.61427124112379e-05,2.20559082031252
"17",7228,761.083066742996,89.2413793103448,26.6896547120193,2.94712648720577,761.905517578125,758.924133300781,2.98138427734375,61.2524137931035,5,1.47338096212479e-05,2.01262817382815
"18",7391,671.893918124112,55.2012987012987,27.7458061986155,4.84531928656937,761.998962402344,639.776428222656,122.222534179688,60.9447847682119,218,1.46515115372212e-05,3.24428281468272
"19",7392,682.398427023816,55.7860696517413,27.5980516310355,4.86111116883767,780.565368652344,641.780151367188,138.785217285156,60.9199246231156,131,1.47443297464633e-05,3.38796386718752
"20",7393,770.759948730469,83,26.0833339691162,4.29166698455811,770.759948730469,770.759948730469,0,60.67,1,1.47443297464633e-05,3.38796386718752
