field_1,siteID,collection,lng,lat,objectid,id,dir,length,linkid,country,juriscode,jurisname,roadnum,roadname,admin,surface,lanes,speedlim,class,nhs,border,shape_Leng,n,distance,feature_x,feature_y,nearest_x,nearest_y
"323","7392","187581",-111.463999999999999,50.561999999999998,"63260","29490","0",45.340000000000003,01_29490,"1",01_48,Alberta,"1",Highway 1,Provincial,Paved,"4","100","1",1.000000000000000,"0",71005.866205162252299,"1",14509.378515041091305,-1035126.484658474684693,1330633.493395368335769,-1046903.732631263672374,1322158.914050045423210
"324","7724","64325",-111.421999999999997,49.985999999999997,"62869","29467","0",25.329999999999998,01_29467,"1",01_48,Alberta,"3",Highway 3,Provincial,Paved,"2","80","2",1.000000000000000,"0",39223.897914245040738,"1",14145.267734138393280,-1043284.528973530745134,1263494.093816341832280,-1041761.381949670845643,1249431.070584683213383
"325","7391","60877",-111.603999999999999,50.823000000000000,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",21922.514217786541849,-1039401.475828574271873,1362342.278322722762823,-1060059.555778055218980,1369679.877550665521994
"326","7391","22654",-111.525999999999996,50.728999999999999,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",28160.747098648971587,-1036048.168966424651444,1350623.126676527317613,-1062213.062028735876083,1361035.909599064383656
"327","7228","67881",-110.385999999999996,51.439000000000000,"63220","29846","0",26.270000000000000,01_29846,"1",01_48,Alberta,"41",Highway 41,Provincial,Paved,"2","80","2",0.000000000000000,"0",42225.209812089698971,"1",5812.833736736454739,-948019.823201536666602,1420777.371623449260369,-953766.513793223071843,1421651.776160471141338
"328","7391","155264",-111.524000000000001,50.771000000000001,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",27520.062505610825610,-1035113.611455381033011,1355456.673210237873718,-1061848.234057564986870,1361984.597430962603539
"329","7392","155265",-111.418999999999997,50.753000000000000,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",34727.961019310321717,-1028515.977312747971155,1352232.814560898113996,-1061859.187849496724084,1361941.655256922356784
"330","7391","60876",-111.603999999999999,50.823000000000000,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",21922.514217786541849,-1039401.475828574271873,1362342.278322722762823,-1060059.555778055218980,1369679.877550665521994
"331","7391","51863",-111.560000000000002,50.741999999999997,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",25610.148205064771901,-1038047.686999250669032,1352497.940220581833273,-1061897.942185525083914,1361827.732213706476614
"332","7558","191258",-111.099999999999994,50.399999999999999,"63260","29490","0",45.340000000000003,01_29490,"1",01_48,Alberta,"1",Highway 1,Provincial,Paved,"4","100","1",1.000000000000000,"0",71005.866205162252299,"1",18589.027323720623826,-1013982.935147087904625,1307950.426173175219446,-1029136.537219673977233,1297183.798053483013064
"333","7391","59115",-111.626999999999995,50.792999999999999,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",20548.037901604664512,-1041496.385858064168133,1359127.663646750617772,-1061829.536944674327970,1362091.584781813202426
"334","7391","65901",-111.519999999999996,50.768999999999998,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",27805.761057601001085,-1034887.478410489158705,1355181.803671699482948,-1061848.234057564986870,1361984.597430962603539
"335","7391","65903",-111.528000000000006,50.771999999999998,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",27244.232502018752712,-1035358.829287563450634,1355615.952398063149303,-1061848.234057564986870,1361984.597430962603539
"336","7392","65904",-111.435000000000002,50.762999999999998,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",33538.828208119273768,-1029383.873103997902945,1353562.697699175449088,-1061859.187849496724084,1361941.655256922356784
"337","7391","65908",-111.596000000000004,50.826999999999998,"63258","29525","0",12.859999999999999,01_29525,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",20426.334411487259786,"1",22285.148260522259079,-1038796.659235518542118,1362716.853699060389772,-1057680.990891925990582,1374549.429533774731681
"338","7391","65924",-111.519000000000005,50.743000000000002,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",28281.527581248006754,-1035317.885275618988089,1352165.183869321132079,-1061876.165705391205847,1361886.425710899988189
"339","7391","59137",-111.512000000000000,50.741999999999997,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",28764.240638792085520,-1034874.159076372394338,1351973.142827174626291,-1061876.165705391205847,1361886.425710899988189
"340","7391","59140",-111.581000000000003,50.793999999999997,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",23629.496437409659848,-1038439.140686853206716,1358738.606286853319034,-1061829.536944674327970,1362091.584781813202426
"341","7391","59141",-111.501000000000005,50.734999999999999,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",29648.318378448289877,-1034280.378135816776194,1351043.811839830363169,-1061897.942185525083914,1361827.732213706476614
"342","7391","58902",-111.504000000000005,50.737000000000002,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",29403.656110081090446,-1034440.603742992156185,1351307.772218910278752,-1061897.942185525083914,1361827.732213706476614
"343","7392","67870",-111.478999999999999,50.738000000000000,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",31024.437537119560147,-1032768.396058609359898,1351150.808789431583136,-1061876.165705391205847,1361886.425710899988189
"344","7391","67871",-111.507000000000005,50.729999999999997,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",29379.938782785164221,-1034772.554358504828997,1350531.217637040652335,-1062070.230579094262794,1361394.811694076750427
"345","7392","59226",-111.486999999999995,50.747000000000000,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",30313.204650140225567,-1033125.887956670834683,1352278.517221914604306,-1061876.165705391205847,1361886.425710899988189
"346","7391","58913",-111.620000000000005,50.807000000000002,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",21111.194784941650141,-1040765.052242660080083,1360668.753837782889605,-1061824.869665654841810,1362140.703347064554691
"347","7391","51861",-111.506000000000000,50.753000000000000,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",28949.056267958338140,-1034267.565119030303322,1353179.357750431867316,-1061876.165705391205847,1361886.425710899988189
"348","7392","64326",-111.489000000000004,50.741999999999997,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",30279.659351417092694,-1033353.416205936810002,1351722.246873962925747,-1061876.165705391205847,1361886.425710899988189
"349","7391","58954",-111.566999999999993,50.732999999999997,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",25375.894994608988782,-1038682.868558027548715,1351534.207106608431786,-1062260.282060889992863,1360917.256679772865027
"350","7391","11895",-111.564999999999998,50.723999999999997,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",25731.109654750453046,-1038723.003025637008250,1350471.866046033799648,-1062634.657866096124053,1359975.695108866319060
"351","7391","11896",-111.525000000000006,50.740000000000002,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",27954.433472106957197,-1035771.890242160065100,1351883.901935637230054,-1061897.942185525083914,1361827.732213706476614
"352","7392","58960",-111.453000000000003,50.770000000000003,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",32271.560587065658183,-1030440.572019990766421,1354567.563788180006668,-1061848.234057564986870,1361984.597430962603539
"353","7391","59007",-111.605999999999995,50.792000000000002,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",21951.682343614327692,-1040128.668639299110509,1358781.527908839052543,-1061837.371860701357946,1362038.606685907347128
"354","7391","60173",-111.575000000000003,50.814999999999998,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",23997.744226581482508,-1037640.465902876923792,1361100.022476779529825,-1060254.081928619882092,1369132.213846803409979
"355","7891","52927",-110.599999999999994,49.299999999999997,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"1",4565.177900769752341,-1000493.491103071020916,1175044.697346885222942,-1001210.663518597255461,1170536.203918689396232
"356","7391","59228",-111.855999999999995,50.822000000000003,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",5552.751717276048112,-1056051.441855510929599,1365011.872460848651826,-1061012.860735205933452,1367505.338789860950783
"357","7391","59038",-111.563000000000002,50.738000000000000,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",25513.085108548926655,-1038322.624806723790243,1352068.393132333410904,-1062027.505263778613880,1361502.170439054258168
"358","7392","59049",-111.483999999999995,50.734999999999999,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",30763.838099954686186,-1033156.190019828616641,1350858.437929847277701,-1061897.942185525083914,1361827.732213706476614
"359","7391","59050",-111.519999999999996,50.731999999999999,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",28478.649652447311382,-1035594.078855929663405,1350904.400739764096215,-1062054.343567836331204,1361434.732045219978318
"360","7391","175824",-111.558000000000007,50.728000000000002,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",26090.005675078282366,-1038183.484196455916390,1350857.604798841988668,-1062428.657407356193289,1360493.992716472828761
"361","7392","191251",-111.492999999999995,50.746000000000002,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",29935.341837935906369,-1033541.638736680848524,1352228.306203796062618,-1061876.165705391205847,1361886.425710899988189
"362","7392","46954",-111.489000000000004,50.741999999999997,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",30279.659351417092694,-1033353.416205936810002,1351722.246873962925747,-1061876.165705391205847,1361886.425710899988189
"363","7391","176227",-111.504999999999995,50.743000000000002,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",29203.815172995920875,-1034392.251307386439294,1352012.355120629072189,-1061876.165705391205847,1361886.425710899988189
"364","7560","47629",-110.290999999999997,50.408000000000001,"63205","29505","0",11.640000000000001,01_29505,"1",01_48,Alberta,"41",Highway 41,Provincial,Paved,"2","80","2",0.000000000000000,"0",18258.517987633706070,"1",11758.351494373322566,-959940.672655149362981,1300454.753650405909866,-951744.179528350709006,1292024.075724665075541
"365","7392","65906",-111.424999999999997,50.762999999999998,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",34206.056684163639147,-1028722.855738805141300,1353454.146309641888365,-1061859.187849496724084,1361941.655256922356784
"366","7392","47791",-111.375000000000000,50.764000000000003,"63256","29534","0",8.410000000000000,01_29534,"1",01_48,Alberta,"1",Highway 1,Provincial,Paved,"4","100","1",1.000000000000000,"0",13197.923511066590436,"1",37408.433122163340158,-1025398.677552994340658,1353028.065844830824062,-1049371.927960013272241,1324310.925778700970113
"367","7392","65925",-111.409000000000006,50.750999999999998,"63256","29534","0",8.410000000000000,01_29534,"1",01_48,Alberta,"1",Highway 1,Provincial,Paved,"4","100","1",1.000000000000000,"0",13197.923511066590436,"1",34938.908171589784615,-1027892.743382928776555,1351893.100122642237693,-1050279.734119155677035,1325068.671890173573047
"368","7392","58758",-111.468999999999994,50.750000000000000,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",31452.901060591248097,-1031878.698907776852138,1352429.313527290942147,-1061876.165705391205847,1361886.425710899988189
"369","7391","58760",-111.531999999999996,50.738999999999997,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",27518.710515372746158,-1036253.832036255160347,1351844.794615935068578,-1061897.942185525083914,1361827.732213706476614
"370","7391","58900",-111.522999999999996,50.737000000000002,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",28157.404331545309105,-1035696.957014944870025,1351515.225497046252713,-1061897.942185525083914,1361827.732213706476614
"371","7391","58907",-111.590999999999994,50.811000000000000,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",23026.113210241554043,-1038773.520206205197610,1360812.956564960535616,-1060478.427800102857873,1368500.535892110550776
"372","7392","187421",-111.138999999999996,50.835999999999999,"63258","29525","0",12.859999999999999,01_29525,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",20426.334411487259786,"1",51516.626451794072636,-1008452.947334122494794,1358822.714949414832518,-1057287.888798136496916,1375227.326897888677195
"373","7392","75476",-111.489000000000004,50.756999999999998,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",30015.980142264073947,-1033067.522867134772241,1353456.427420015214011,-1061859.187849496724084,1361941.655256922356784
"374","7392","59224",-111.483000000000004,50.747000000000000,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",30577.873607471414289,-1032861.428195822052658,1352234.930406787898391,-1061876.165705391205847,1361886.425710899988189
"375","7391","59225",-111.578000000000003,50.817999999999998,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",23738.240397630386724,-1037781.036488613695838,1361479.582315704319626,-1060150.116199205396697,1369424.916171300690621
"376","7392","64149",-111.465999999999994,50.756999999999998,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",31545.720007484273083,-1031547.139923322596587,1353205.969747936120257,-1061859.187849496724084,1361941.655256922356784
"377","7391","58950",-111.509000000000000,50.732999999999997,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",29173.922244693276298,-1034847.565810094354674,1350899.890742646995932,-1061953.826630042633042,1361687.307648484129459
"378","7391","58953",-111.566000000000003,50.761000000000003,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",24839.587670468885335,-1038080.445600883220322,1354759.974902512738481,-1061859.187849496724084,1361941.655256922356784
"379","7392","58957",-111.424999999999997,50.729999999999997,"63256","29534","0",8.410000000000000,01_29534,"1",01_48,Alberta,"1",Highway 1,Provincial,Paved,"4","100","1",1.000000000000000,"0",13197.923511066590436,"1",32274.677584282238968,-1029349.250278846244328,1349638.494696290232241,-1050029.144010658841580,1324859.535710684722289
"380","7391","94765",-111.518000000000001,50.741999999999997,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",28369.360984188060684,-1035270.864592938451096,1352038.654624664690346,-1061876.165705391205847,1361886.425710899988189
"381","7892","64400",-110.481999999999999,49.142000000000003,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"1",13968.474199953536299,-995297.852314260439016,1155441.237359462073073,-989788.237053768476471,1168277.218473351327702
"382","7892","86515",-110.450000000000003,49.067000000000000,"176670","29259","0",18.579999999999998,01_29259,"1",01_48,Alberta,"41",Highway 41,Provincial,Paved,"2","80","2",0.000000000000000,"1",28427.478658220854413,"1",13704.557143553662172,-994455.110540893976577,1146386.515888161025941,-980900.215355294523761,1144366.688418217003345
"383","7066","64402",-108.138999999999996,51.557000000000002,"253402","24780","0",29.370000000000001,01_24780,"1",01_47,Saskatchewan,"7",Highway 7,Provincial,Paved,"2","80","2",1.000000000000000,"0",47108.144752565618546,"1",3365.200977081838573,-799069.294253351399675,1413733.817773802671582,-797767.535437691374682,1410630.593385846819729
"384","7391","46318",-111.609999999999999,50.790999999999997,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",21682.360458269726223,-1040412.057095037656836,1358709.846821547718719,-1061837.371860701357946,1362038.606685907347128
"385","7391","53976",-111.594999999999999,50.814999999999998,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",22680.173465171141288,-1038960.875904727610759,1361319.076191175729036,-1060332.915263765491545,1368910.268590660067275
"386","7392","46332",-111.471999999999994,50.749000000000002,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",31270.859247031527048,-1032096.076573183876462,1352346.356040009530261,-1061876.165705391205847,1361886.425710899988189
"387","7391","59014",-111.599999999999994,50.819000000000003,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",22268.385000973426941,-1039214.205523287062533,1361836.157436615787446,-1060198.207318240776658,1369289.521725375438109
"388","7392","59015",-111.406999999999996,50.749000000000002,"63256","29534","0",8.410000000000000,01_29534,"1",01_48,Alberta,"1",Highway 1,Provincial,Paved,"4","100","1",1.000000000000000,"0",13197.923511066590436,"1",34805.146516590502870,-1027798.424642526544631,1351640.159076155163348,-1050099.708037338452414,1324918.426666267914698
"389","7392","22640",-111.325000000000003,50.814999999999998,"63258","29525","0",12.859999999999999,01_29525,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",20426.334411487259786,"1",39881.031946324073942,-1021131.463023280259222,1358385.359046069905162,-1057321.041544696083292,1375142.778762303059921
"390","7392","76030",-111.299999999999997,50.732999999999997,"63260","29490","0",45.340000000000003,01_29490,"1",01_48,Alberta,"1",Highway 1,Provincial,Paved,"4","100","1",1.000000000000000,"0",71005.866205162252299,"1",36986.826590802411374,-1021024.048158144694753,1348633.629631942836568,-1047130.764126700581983,1322433.157830938231200
"391","7392","59027",-111.483000000000004,50.740000000000002,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",30717.452263247487281,-1032994.796013284008950,1351425.624677866231650,-1061876.165705391205847,1361886.425710899988189
"392","7392","97762",-111.370000000000005,50.753000000000000,"63260","29490","0",45.340000000000003,01_29490,"1",01_48,Alberta,"1",Highway 1,Provincial,Paved,"4","100","1",1.000000000000000,"0",71005.866205162252299,"1",36468.671980307844933,-1025276.195634625386447,1351702.027804546523839,-1048634.361741112079471,1323695.597968720132485
"393","7391","46952",-111.515000000000001,50.740000000000002,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",28611.544813455901021,-1035110.695750889019109,1351774.676704933401197,-1061897.942185525083914,1361827.732213706476614
"394","7392","155263",-111.367999999999995,50.765999999999998,"63256","29534","0",8.410000000000000,01_29534,"1",01_48,Alberta,"1",Highway 1,Provincial,Paved,"4","100","1",1.000000000000000,"0",13197.923511066590436,"1",37848.646873416459130,-1024898.104759617825039,1353183.629725508857518,-1049153.466808601049706,1324128.553025879897177
"395","7394","46958",-110.016999999999996,50.756999999999998,"63206","29510","0",26.750000000000000,01_29510,"1",01_48,Alberta,"41",Highway 41,Provincial,Paved,"3","80","2",0.000000000000000,"0",42291.740753151236277,"1",3024.564649404889224,-935644.331835712655447,1338171.401249026646838,-938555.983242051093839,1337352.696536449249834
"396","7391","230000",-111.564999999999998,50.723999999999997,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",25731.109654750453046,-1038723.003025637008250,1350471.866046033799648,-1062634.657866096124053,1359975.695108866319060
"397","7392","155266",-111.406999999999996,50.749000000000002,"63256","29534","0",8.410000000000000,01_29534,"1",01_48,Alberta,"1",Highway 1,Provincial,Paved,"4","100","1",1.000000000000000,"0",13197.923511066590436,"1",34805.146516590502870,-1027798.424642526544631,1351640.159076155163348,-1050099.708037338452414,1324918.426666267914698
"398","7391","214293",-111.564999999999998,50.723999999999997,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",25731.109654750453046,-1038723.003025637008250,1350471.866046033799648,-1062634.657866096124053,1359975.695108866319060
"399","7392","152279",-111.442999999999998,50.771999999999998,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",32924.787201042650850,-1029741.655937950359657,1354690.130097220884636,-1061848.234057564986870,1361984.597430962603539
"400","7392","46957",-111.414000000000001,50.765000000000001,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",34920.394687717445777,-1027957.788727393723093,1353566.065464601386338,-1061848.234057564986870,1361984.597430962603539
"401","7391","191255",-111.516999999999996,50.747000000000000,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",28330.139428853894060,-1035109.277500726631843,1352605.774015178903937,-1061876.165705391205847,1361886.425710899988189
"402","7391","176228",-111.504000000000005,50.741999999999997,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",29291.044252743893594,-1034345.211939216242172,1351885.832821429008618,-1061876.165705391205847,1361886.425710899988189
"403","7726","133004",-110.343000000000004,49.960000000000001,"62906","29492","0",16.050000000000001,01_29492,"1",01_48,Alberta,"1",Highway 1,Provincial,Paved,"4","100","1",1.000000000000000,"0",24921.618972167663742,"1",350.553417333965626,-971330.264616634114645,1249013.859859465155751,-971579.410943316994235,1248767.255304955411702
"404","7391","65895",-111.516999999999996,50.741999999999997,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",28435.160583179182140,-1035204.747294798260555,1352027.734248120803386,-1061876.165705391205847,1361886.425710899988189
"405","7391","98677",-111.501999999999995,50.747999999999998,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",29302.271936915985862,-1034098.520161749911495,1352557.677203366765752,-1061876.165705391205847,1361886.425710899988189
"406","7391","67869",-111.516999999999996,50.740000000000002,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",28480.075016038554168,-1035242.935570828150958,1351796.516171289375052,-1061897.942185525083914,1361827.732213706476614
"407","7392","65926",-111.489999999999995,50.761000000000003,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",29895.390304525015381,-1033057.383938434417360,1353929.760791279142722,-1061859.187849496724084,1361941.655256922356784
"408","7392","65927",-111.403999999999996,50.752000000000002,"63256","29534","0",8.410000000000000,01_29534,"1",01_48,Alberta,"1",Highway 1,Provincial,Paved,"4","100","1",1.000000000000000,"0",13197.923511066590436,"1",35210.039307071667281,-1027543.192289031576365,1351954.522820262005553,-1050103.909410425694659,1324921.933026201091707
"409","7392","65928",-111.489000000000004,50.756000000000000,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",30030.605268369701662,-1033086.582064756308682,1353340.817556991009042,-1061859.187849496724084,1361941.655256922356784
