field_1,siteID,collection,lng,lat,objectid,id,dir,length,linkid,country,juriscode,jurisname,roadnum,roadname,admin,surface,lanes,speedlim,class,nhs,border,shape_Leng,n,distance,feature_x,feature_y,nearest_x,nearest_y
"21","14545","68015",-103.566000000000003,29.228999999999999,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",9549.657589163842204,-707766.730177537188865,-1229306.725011214148253,-701229.867862032959238,-1222345.016087507829070
"22","14545","222816",-103.551000000000002,29.251999999999999,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",6627.266539115210435,-706155.911905416520312,-1226780.171166691463441,-701250.276525464141741,-1222324.230940494919196
"23","14546","191055",-103.156000000000006,29.157000000000000,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",11651.028185163675516,-670112.727819381980225,-1240545.794075057143345,-663198.937754662241787,-1231167.843088169582188
"24","14545","212186",-103.566000000000003,29.297999999999998,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",3183.264511831383516,-707133.614561966853216,-1221390.908865182660520,-706799.913358638179488,-1218225.183599278796464
"25","14546","189814",-103.156000000000006,29.157000000000000,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",11651.028185163675516,-670112.727819381980225,-1240545.794075057143345,-663198.937754662241787,-1231167.843088169582188
"26","14545","200400",-103.561000000000007,29.279000000000000,"32724","468514","0",4.440000000000002,02_3763575,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",5102.742871857310092,"1",4791.373816731442275,-706841.532126299338415,-1223608.104501229943708,-703021.909466078039259,-1220715.398884478956461
"27","14545","189810",-103.632999999999996,29.199999999999999,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",11689.659502343416534,-714289.199767847196199,-1232130.488481418462470,-720266.970850802026689,-1222084.872912399703637
"28","14545","189813",-103.516999999999996,29.317000000000000,"32724","468514","0",4.440000000000002,02_3763575,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",5102.742871857310092,"1",991.010756549927578,-702390.374167389818467,-1219575.102106197737157,-703308.523371060495265,-1219948.069074435625225
"29","14545","189812",-103.638999999999996,29.222000000000001,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",9260.778065170563423,-714645.688883886439726,-1229561.984413643367589,-718958.962320489925332,-1221367.005302417092025
"30","14545","222815",-103.551000000000002,29.251999999999999,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",6627.266539115210435,-706155.911905416520312,-1226780.171166691463441,-701250.276525464141741,-1222324.230940494919196
