"","No.Cells","Occupied.cells","Naive.occ","Total.Colls","Mean.Colls","Min.Colls","Max.Colls","Median.Colls","No.Singleton.Cells.Removed.","No.Singleton.Targeted.Cells.Removed"
"Ceratopsidae.0.1",81,40,49.3827160493827,925,11.4197530864198,2,107,4,99,18
"Ceratopsidae.0.5",41,26,63.4146341463415,991,24.1707317073171,2,268,6,32,6
"Ceratopsidae.1",28,17,60.7142857142857,1004,35.8571428571429,2,337,6.5,19,4
"Tyrannosauridae.0.1",81,23,28.3950617283951,925,11.4197530864198,2,107,4,99,9
"Tyrannosauridae.0.5",41,14,34.1463414634146,991,24.1707317073171,2,268,6,32,4
"Tyrannosauridae.1",28,13,46.4285714285714,1004,35.8571428571429,2,337,6.5,19,2
"Hadrosauridae.0.1",81,54,66.6666666666667,925,11.4197530864198,2,107,4,99,34
"Hadrosauridae.0.5",41,32,78.0487804878049,991,24.1707317073171,2,268,6,32,11
"Hadrosauridae.1",28,24,85.7142857142857,1004,35.8571428571429,2,337,6.5,19,6
