"","siteID","mean_DEM","mean_prec","mean_temp","counting_colls$Coll_count"
"1",1534,998.208353678385,48.0277773539225,1.3555554151535,3
"2",1702,842.11666690602,39.2107842389275,3.05147056018605,3
"3",1703,813.795349121094,35.8333320617676,3.1083333492279,1
"4",1785,800.670654296875,34.7222222222222,3.29722226990594,7
"5",1786,779.603786621094,33.5244443766276,3.44322237968445,15
"6",1787,791.945251464844,31.5833339691162,2.61666679382324,1
"7",1868,909.062316894531,32.4166679382324,5.28333330154419,1
"8",1869,881.137084960938,30.3333339691162,3.95000004768372,1
"9",1874,809.149597167969,32.1666679382324,3.61666655540466,1
"10",1950,1359.69404296875,45.883332824707,4.01333339214325,4
"11",1951,1057.08619520399,37.7222230699327,5.42037047280206,5
"12",1952,985.407721268503,32.9407890721371,4.95043865003084,9
"13",1955,1020.56816794656,35.3371217901056,3.38106063279239,5
"14",1956,966.277912621359,30.3527507041264,3.86067968433343,11
"15",1957,927.791915893555,30.4166673024495,3.80208349227905,2
"16",1958,860.130357008714,29.6121788758498,4.77147436141968,5
"17",2034,1325.63525390625,39.3333320617676,4.53333330154419,1
"18",2035,1308.71591525608,30.7777783075968,5.43888886769613,6
"19",2037,846.919799804688,25.25,5.75833320617676,1
"20",2040,760.768127441406,26.8333339691162,5.16666650772095,1
"21",2041,642.563903808594,24.5,7.35000038146973,1
"22",2042,702.713012695312,26.5,6.7666666507721,2
"23",2122,864.67587890625,27.7833339691162,7.30833330154419,2
"24",2123,854.516003417969,26.7221461779451,6.71305931953535,44
"25",2124,771.114528378308,25.8906983732416,6.82789489470831,114
"26",2125,715.782836914062,26.5416660308838,6.88749980926514,2
"27",2126,710.526220703125,29.5714289528983,10.0785715648106,14
"28",2203,1804.19287109375,38.9166679382324,4.64166641235352,2
"29",2204,1307.4013671875,30,7.01666688919067,1
"30",2206,872.472290039062,28.3333339691162,7.93333339691162,5
"31",2207,839.240112304688,26.1666669845581,7.72499990463257,2
"32",2208,857.993591308594,29.3333339691162,8.36666679382324,1
"33",2209,867.68260464603,30.4035386908544,7.58458909923083,27
"34",2210,889.388132212113,31.8827946818605,7.3209750717189,86
"35",2212,672.374145507812,36.6666679382324,5.39166641235352,2
"36",2213,510.177220662435,32.2430556615194,6.37916684150696,3
"37",2286,1686.38244628906,38.5555559794108,5.40833330154419,3
"38",2287,1340.61340332031,28,7.16666650772095,1
"39",2288,1422.05798339844,22.9166660308838,6.78333330154419,1
"40",2289,914.174865722656,32.5833320617676,8.35833358764648,1
"41",2291,961.793647928441,29.5851066670519,7.96755302713272,6
"42",2292,991.401729460685,31.6774191907657,8.09623661861625,21
"43",2293,933.949024485118,32.4474506520513,7.35799126126873,40
"44",2294,755.351359049479,34.1527786254883,7.29305553436279,5
"45",2295,698.143563842773,35.483333492279,7.22145837545395,6
"46",2369,2679.19067382812,52,0.116666652262211,1
"47",2370,2073.63220214844,31.6805550257365,4.16527764002482,2
"48",2371,1488.06016540527,22.1145832538605,6.72916674613953,2
"49",2372,1540.06866455078,24.3333339691162,6.89999985694885,2
"50",2376,935.232815611596,44.361109939276,7.4794116674685,4
"51",2378,762,37.5833320617676,7.24166679382324,1
"52",2379,494,33.0833320617676,8.77499961853027,1
"53",2456,1528.64587402344,27.25,7.27916669845581,2
"54",2457,1324.81408691406,26.4166660308838,7.99166679382324,1
"55",2458,1304.07733938082,30.4690347994612,8.17075366661197,95
"56",2539,1958.62951660156,25.6833332061768,5.97166662216187,3
"57",2540,1548.63740234375,25.4000003814697,7.83000001907349,3
"58",2541,1367.05366067325,31.7529411764706,8.03901978661032,18
"59",2620,2061.71640014648,16.3541672229767,5.43541693687439,2
"60",2621,2193.00317382812,19.75,4.96666669845581,1
"61",2622,1974.41085476345,23.4675924058944,6.40076041600061,43
"62",2624,1312.70735677083,30.888888253106,8.96018505096436,4
"63",2789,1698.68259458189,37.6975309583876,9.98734580145942,20
"64",2790,1735.43811035156,33.5069454511007,9.69444465637207,9
"65",2873,1947.4013227983,33.2575758153742,8.53939377177845,8
"66",2949,2333.91748046875,28.0833339691162,6.65000009536743,1
"67",2956,1920.22814941406,30.9880946023124,9.30833339691162,3
"68",3035,1934.03979311343,21.1259259541829,10.1827779063472,38
"69",3036,1969.84934779576,20.8571425846645,10.0119049889701,7
"70",3039,1975.56921386719,34.5833320617676,9.60833358764648,1
"71",3119,2063.53491210938,20.3333339691162,8.85833358764648,1
"72",3285,1321.251953125,21.4166660308838,15.4333333969116,6
