Species,Longitude,Latitude
Ceratopsidae,-76.80055992,51.26010081
Ceratopsidae,-76.80055992,51.26010081
Ceratopsidae,-76.80055992,51.26010081
Ceratopsidae,-76.80055992,51.26010081
Ceratopsidae,-76.80055992,51.26010081
Ceratopsidae,-76.80055992,51.26010081
Ceratopsidae,-76.80055992,51.26010081
Ceratopsidae,-76.80055992,51.26010081
Ceratopsidae,-76.80055992,51.26010081
Ceratopsidae,-76.80055992,51.26010081
Ceratopsidae,-76.80055992,51.26010081
Ceratopsidae,-76.80055992,51.26010081
Ceratopsidae,-76.79781563,51.38661763
Ceratopsidae,-76.81488479,51.42124502
Ceratopsidae,-76.7874069,51.37205424
Ceratopsidae,-76.7874069,51.37205424
Ceratopsidae,-76.7874069,51.37205424
Ceratopsidae,-76.83500663,51.65788554
Ceratopsidae,-76.82918194,51.67192721
Ceratopsidae,-76.87143358,51.63840278
Ceratopsidae,-76.73626456,51.43851531
Ceratopsidae,-76.73626456,51.43851531
Ceratopsidae,-76.73626456,51.43851531
Ceratopsidae,-76.73626456,51.43851531
Ceratopsidae,-76.73626456,51.43851531
Ceratopsidae,-76.87143358,51.63840278
Ceratopsidae,-76.90757974,51.71427498
Ceratopsidae,-75.83297071,51.54188777
Ceratopsidae,-76.88507596,51.71068674
Ceratopsidae,-76.90174634,51.72831642
Ceratopsidae,-76.90174634,51.72831642
Ceratopsidae,-76.81905688,51.58058639
Ceratopsidae,-76.81905688,51.58058639
Ceratopsidae,-76.81905688,51.58058639
Ceratopsidae,-76.87924204,51.72472802
Ceratopsidae,-76.87924204,51.72472802
Ceratopsidae,-76.87924204,51.72472802
Ceratopsidae,-76.87924204,51.72472802
Ceratopsidae,-76.87924204,51.72472802
Ceratopsidae,-76.87924204,51.72472802
Ceratopsidae,-76.87924204,51.72472802
Ceratopsidae,-76.87924204,51.72472802
Ceratopsidae,-76.80747703,51.60857677
Ceratopsidae,-76.80747703,51.60857677
Ceratopsidae,-76.80747703,51.60857677
Ceratopsidae,-76.80747703,51.60857677
Ceratopsidae,-76.80747703,51.60857677
Ceratopsidae,-76.80747703,51.60857677
Ceratopsidae,-77.02773759,51.20620397
Ceratopsidae,-78.60026346,53.37557407
Ceratopsidae,-78.62595626,53.35497396
Ceratopsidae,-77.10260058,50.72512448
Ceratopsidae,-79.66326791,53.2516648
Ceratopsidae,-79.77167156,53.31548198
Ceratopsidae,-78.81157389,53.20175561
Ceratopsidae,-78.77662869,53.28238993
Ceratopsidae,-73.42661624,50.77308314
Ceratopsidae,-77.43145785,52.42108917
Ceratopsidae,-78.16578645,51.71555475
Ceratopsidae,-78.73405508,53.34527137
Ceratopsidae,-76.83597005,50.27176599
Ceratopsidae,-79.54778545,53.32985101
Ceratopsidae,-79.54778545,53.32985101
Ceratopsidae,-78.7031543,50.89800908
Ceratopsidae,-79.81529477,53.30148564
Ceratopsidae,-78.60026346,53.37557407
Ceratopsidae,-78.80633789,53.15474863
Ceratopsidae,-77.01968887,51.09585843
Ceratopsidae,-76.8985473,51.72996555
Ceratopsidae,-79.81529477,53.30148564
Ceratopsidae,-80.01143284,53.4453524
Ceratopsidae,-79.61351954,53.33457283
Ceratopsidae,-79.71391849,53.27513473
Ceratopsidae,-78.3590326,51.12916608
Ceratopsidae,-78.35043414,51.14671413
Ceratopsidae,-84.30325816,58.51895075
Ceratopsidae,-84.18651182,58.38545734
Ceratopsidae,-78.46342353,48.71587235
Ceratopsidae,-83.67024445,47.73827362
Ceratopsidae,-78.68333254,48.63064919
Ceratopsidae,-78.73084624,48.60387579
Ceratopsidae,-78.71175573,48.44666629
Ceratopsidae,-78.66572935,48.67924219
Ceratopsidae,-78.68914172,48.61446242
Ceratopsidae,-78.71175573,48.44666629
Ceratopsidae,-78.71175573,48.44666629
Ceratopsidae,-76.93247535,53.10325219
Ceratopsidae,-88.29787768,44.33176361
Ceratopsidae,-78.81809922,48.58301234
Ceratopsidae,-78.76172507,47.3324444
Ceratopsidae,-78.76172507,47.3324444
Ceratopsidae,-78.76172507,47.3324444
Ceratopsidae,-79.00506265,47.19306685
Ceratopsidae,-78.56970943,48.78346576
Ceratopsidae,-83.71670755,47.73003385
Ceratopsidae,-78.94230891,47.65685004
Ceratopsidae,-78.71346944,48.60913156
Ceratopsidae,-78.79936581,48.65782872
Ceratopsidae,-78.7912861,48.69619712
Ceratopsidae,-78.76632002,48.69965653
Ceratopsidae,-78.70306499,48.6316286
Ceratopsidae,-74.16577326,50.54736475
Ceratopsidae,-79.62640575,48.22922672
Ceratopsidae,-78.72691925,48.73083164
Ceratopsidae,-78.79300486,48.75097125
Ceratopsidae,-78.8853744,48.61727217
Ceratopsidae,-81.79717317,47.67951125
Ceratopsidae,-78.78138748,48.76445765
Ceratopsidae,-78.75572809,48.71650689
Ceratopsidae,-78.81125119,48.66799633
Ceratopsidae,-78.6860323,48.66793393
Ceratopsidae,-78.6860323,48.66793393
Ceratopsidae,-78.69474756,48.66357888
Ceratopsidae,-78.69474756,48.66357888
Ceratopsidae,-78.71346944,48.60913156
Ceratopsidae,-78.73327351,48.58576324
Ceratopsidae,-78.62891803,48.60286802
Ceratopsidae,-78.63430725,48.59613453
Ceratopsidae,-78.60247657,48.64453044
Ceratopsidae,-78.60487795,48.62850753
Ceratopsidae,-78.61782109,48.62542076
Ceratopsidae,-78.70399003,48.60818127
Ceratopsidae,-78.51641197,48.73653824
Ceratopsidae,-78.6629628,48.62772207
Ceratopsidae,-78.65828301,48.94088421
Ceratopsidae,-78.46253115,48.71744545
Ceratopsidae,-78.76002099,48.52284222
Ceratopsidae,-78.76032933,48.57428834
Ceratopsidae,-78.77924584,48.73148082
Ceratopsidae,-78.6481135,48.72787082
