Species,Longitude,Latitude
Ceratopsidae,-78.27637443,55.69288819
Ceratopsidae,-78.30772471,55.70071862
Ceratopsidae,-78.36631023,55.70918934
Ceratopsidae,-78.3713747,55.70956586
Ceratopsidae,-78.28135572,55.70096426
Ceratopsidae,-78.35029786,55.77815539
Ceratopsidae,-78.35765621,55.76012146
Ceratopsidae,-78.37686301,55.70823262
Ceratopsidae,-78.64668512,55.83020517
Ceratopsidae,-78.38467355,55.79144124
Ceratopsidae,-77.8634684,53.9861121
Ceratopsidae,-78.32710299,55.68665943
Ceratopsidae,-78.31211036,55.69943984
Ceratopsidae,-78.30347964,55.72657744
Ceratopsidae,-78.31103392,55.7306487
Ceratopsidae,-78.21426678,55.70784114
Ceratopsidae,-78.20342667,55.70618828
Ceratopsidae,-78.36163125,55.79420535
Ceratopsidae,-78.31382661,55.70102724
Ceratopsidae,-78.19106549,55.6922422
Ceratopsidae,-78.27497534,55.71425127
Ceratopsidae,-78.18536153,55.69152812
Ceratopsidae,-78.27648369,55.70858729
Ceratopsidae,-78.35298119,55.75995844
Ceratopsidae,-78.26033255,55.70431817
Ceratopsidae,-78.25754123,55.7043328
Ceratopsidae,-78.28710151,55.69120276
Ceratopsidae,-78.31355922,55.69798592
Ceratopsidae,-78.27208281,55.6903269
Ceratopsidae,-78.30686672,55.68682981
Ceratopsidae,-78.31472726,55.71444157
Ceratopsidae,-78.03683669,55.76540682
Ceratopsidae,-78.14708834,55.69234774
Ceratopsidae,-78.03683845,55.76540294
Ceratopsidae,-78.28659035,55.67830844
Ceratopsidae,-78.26683013,55.67556197
Ceratopsidae,-76.77335454,56.19759969
Ceratopsidae,-76.77461951,56.19499603
Ceratopsidae,-76.76374219,56.22504736
Ceratopsidae,-74.98273005,56.98153868
Ceratopsidae,-78.2343404,55.72050018
Ceratopsidae,-78.30347158,55.71168092
Ceratopsidae,-78.38945249,55.79484288
Ceratopsidae,-78.27528082,55.70996184
Ceratopsidae,-78.04760643,52.86484848
Ceratopsidae,-77.96726259,55.73174983
Ceratopsidae,-78.06779929,55.74194992
Ceratopsidae,-78.34818267,55.71004724
Ceratopsidae,-77.85893985,53.90799107
Ceratopsidae,-78.14765172,55.6878825
Ceratopsidae,-78.36028923,55.67365958
Ceratopsidae,-78.2599848,55.69977031
Ceratopsidae,-79.31187587,57.22369582
