"","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10"
"170",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",1,0,0,NA,NA,NA,NA,NA,NA,NA
"601",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"694",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1530",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1534",0,0,0,NA,NA,NA,NA,NA,NA,NA
"1619",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1702",1,1,0,NA,NA,NA,NA,NA,NA,NA
"1703",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1785",1,0,0,0,0,0,1,1,0,0
"1786",1,0,0,0,0,1,1,0,0,0
"1787",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1868",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1869",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1870",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950",1,0,0,0,NA,NA,NA,NA,NA,NA
"1951",1,0,1,1,0,NA,NA,NA,NA,NA
"1952",1,0,1,0,0,1,0,1,0,NA
"1955",0,0,0,0,NA,NA,NA,NA,NA,NA
"1956",1,0,0,0,0,0,0,0,0,1
"1957",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1958",0,0,0,1,NA,NA,NA,NA,NA,NA
"1959",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2034",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2035",0,0,0,0,1,1,NA,NA,NA,NA
"2037",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2040",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2041",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2042",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"2122",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"2123",0,1,0,0,1,1,0,0,0,0
"2124",1,0,0,1,1,0,0,0,0,0
"2125",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2126",0,0,0,0,0,0,0,0,NA,NA
"2203",0,1,1,NA,NA,NA,NA,NA,NA,NA
"2204",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2206",0,0,0,0,1,NA,NA,NA,NA,NA
"2207",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"2208",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2209",0,1,1,0,0,0,0,1,0,0
"2210",1,0,0,1,1,0,1,0,0,0
"2212",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"2213",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"2286",0,0,1,NA,NA,NA,NA,NA,NA,NA
"2287",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2288",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2289",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2291",1,1,0,1,0,0,NA,NA,NA,NA
"2292",0,0,0,0,0,0,0,1,0,0
"2293",1,1,0,1,1,0,0,0,1,0
"2294",0,1,0,NA,NA,NA,NA,NA,NA,NA
"2295",1,1,1,0,1,1,NA,NA,NA,NA
"2369",0,0,0,0,NA,NA,NA,NA,NA,NA
"2370",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"2371",0,0,0,NA,NA,NA,NA,NA,NA,NA
"2372",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"2377",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2378",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2379",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2452",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
