"","collection_no","collection_name","accepted_name","identified_rank","family","genus","formation","member","cells.1","Camp_out_1","DEM_1","LANDCVI_selected_1","MGVF_1","SLOPE_1","WC_Prec_1","WC_Temp_1","cells.2","CampPrecip_1","CampTemp_1"
"630",67885,"Unity BB","Ceratopsidae","family","Ceratopsidae","","Dinosaur Park","",1706,0.699999988079071,654.070495605469,980.617980957031,82.0000076293945,0.0316856503486633,31.9937305450439,2.18501043319702,10199,1.53982618940063e-05,274.673431396484
"631",67885,"Unity BB","Hadrosauridae","family","Hadrosauridae","","Dinosaur Park","",1706,0.699999988079071,654.070495605469,980.617980957031,82.0000076293945,0.0316856503486633,31.9937305450439,2.18501043319702,10199,1.53982618940063e-05,274.673431396484
"632",67885,"Unity BB","Multituberculata","order","","","Dinosaur Park","",1706,0.699999988079071,654.070495605469,980.617980957031,82.0000076293945,0.0316856503486633,31.9937305450439,2.18501043319702,10199,1.53982618940063e-05,274.673431396484
"633",67885,"Unity BB","Saurornitholestes","genus","Dromaeosauridae","Saurornitholestes","Dinosaur Park","",1706,0.699999988079071,654.070495605469,980.617980957031,82.0000076293945,0.0316856503486633,31.9937305450439,2.18501043319702,10199,1.53982618940063e-05,274.673431396484
"634",67885,"Unity BB","Theropoda","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Dinosaur Park","",1706,0.699999988079071,654.070495605469,980.617980957031,82.0000076293945,0.0316856503486633,31.9937305450439,2.18501043319702,10199,1.53982618940063e-05,274.673431396484
"635",47629,"White Rock Coulee","Parasaniwa","species","NO_FAMILY_SPECIFIED","Parasaniwa","Dinosaur Park","",1871,1,692.675415039062,1405.29577636719,69.7500076293945,0.0723277106881142,27.5258102416992,4.23375463485718,10556,1.51391968756798e-05,276.211151123047
"636",47629,"White Rock Coulee","Stegoceras validum","species","Pachycephalosauridae","Stegoceras","Dinosaur Park","",1871,1,692.675415039062,1405.29577636719,69.7500076293945,0.0723277106881142,27.5258102416992,4.23375463485718,10556,1.51391968756798e-05,276.211151123047
"637",45396,"xiphisternal, Dinosaur Provincial Park (PROXY)","Nodosauridae","family","Nodosauridae","","Dinosaur Park","",1870,1,753.948059082031,1515.00378417969,87.25,0.0480313152074814,27.9522876739502,4.56723642349243,10555,1.47443297464633e-05,276.537963867188
"638",201610,"Black Creek","Eusuchia","suborder","","","Donoho Creek","",3230,0.239999994635582,43.5821723937988,6.25027275085449,96.5,NA,101.045669555664,16.729040145874,19218,4.74404187116306e-05,297.671203613281
"639",68256,"NMMNH L-4669, Adobe Canyon","Crittendenceratops krzyzanowskii","species","Ceratopsidae","Crittendenceratops","Fort Crittenden","""shale""",3448,0.300000011920929,1597.62438964844,8300.5458984375,62.5,0.159041315317154,37.0951652526855,17.4521713256836,17024,2.7217616661801e-05,295.694396972656
"640",68256,"NMMNH L-4669, Adobe Canyon","Crittendenceratops krzyzanowskii","species","Ceratopsidae","Crittendenceratops","Fort Crittenden","""shale""",3448,0.300000011920929,1597.62438964844,8300.5458984375,62.5,0.159041315317154,37.0951652526855,17.4521713256836,17024,2.7217616661801e-05,295.694396972656
"641",68255,"NMMNH L-4479, Adobe Canyon","Adocus","genus","Adocidae","Adocus","Fort Crittenden","""shale""",3448,0.300000011920929,1597.62438964844,8300.5458984375,62.5,0.159041315317154,37.0951652526855,17.4521713256836,17024,2.7217616661801e-05,295.694396972656
"642",68255,"NMMNH L-4479, Adobe Canyon","Crocodylia","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Fort Crittenden","""shale""",3448,0.300000011920929,1597.62438964844,8300.5458984375,62.5,0.159041315317154,37.0951652526855,17.4521713256836,17024,2.7217616661801e-05,295.694396972656
"643",68255,"NMMNH L-4479, Adobe Canyon","Trionychidae","family","Trionychidae","","Fort Crittenden","""shale""",3448,0.300000011920929,1597.62438964844,8300.5458984375,62.5,0.159041315317154,37.0951652526855,17.4521713256836,17024,2.7217616661801e-05,295.694396972656
"644",68255,"NMMNH L-4479, Adobe Canyon","Alligatoroidea","superfamily","","","Fort Crittenden","""shale""",3448,0.300000011920929,1597.62438964844,8300.5458984375,62.5,0.159041315317154,37.0951652526855,17.4521713256836,17024,2.7217616661801e-05,295.694396972656
