"","collection_no","collection_name","accepted_name","identified_rank","family","genus","formation","member","cells.1","Maas_out_1","DEM_1","LANDCVI_selected_1","MGVF_1","SLOPE_1","WC_Prec_1","WC_Temp_1","cells.2","MaasPrecip_1","MaasTemp_1"
"22",150883,"Rattlesnake Mountain (vertebrates, general)","Testudines","order","","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"23",189791,"1 km southwest of Black Gap","Hadrosauridae","family","Hadrosauridae","","Aguja","",3622,0.00999999977648258,938.553161621094,8850.6865234375,30.0000019073486,0.235077157616615,27.0677738189697,19.2522220611572,17750,6.24153326498345e-05,293.847900390625
"24",189792,"3.2 km north of Grapevine Hills","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"25",189793,"south of Glenn Spring","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"26",189794,"WPA Quarry L2, Glenn Spring","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"27",189795,"BB-II-38, Talley Mountain","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"28",189796,"BB-III-38, Talley Mountain","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"29",189797,"BB-IV-38, Talley Mountain","Lambeosaurinae","subfamily","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"30",189798,"McKinney Spring","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"31",189799,"AMNH No. 1, Smallpox Spring","Ornithischia","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
