"","Group.1","cells.1","Camp_out_1","DEM_1","LANDCVI_selected_1","MGVF_1","SLOPE_1","WC_Prec_1","WC_Temp_1","cells.2","CampPrecip_1","CampTemp_1","CampTemp"
"1",170,170,0.430000007152557,NA,20.283763885498,0,NA,11.6786603927612,-11.067193031311,800,5.78448043597746e-06,264.442199707031,-8.70780029296873
"2",253,253,0.610000014305115,87.3199996948242,NA,64.5000152587891,NA,13.754298210144,-10.1873769760132,916.333333333333,5.87510370072171e-06,264.694163004557,-8.45583699544267
"3",752,752,0,1024.09204101562,883.049621582031,89.4999923706055,0.389222741127014,46.2339706420898,-3.40762186050415,4041,7.40629775464186e-06,269.093780517578,-4.05621948242185
"4",754,754,0,1426.40173339844,994.018188476562,11.4999837875366,0.241615831851959,34.1584396362305,-3.32363438606262,4405,8.23126629256876e-06,269.742431640625,-3.40756835937498
"5",1356,1356,0,825.434020996094,127.281242370605,100,0.0678737834095955,59.3111419677734,-0.706641018390656,6938,1.12734178401297e-05,271.595489501953,-1.55451049804685
"6",1447,1447,0.639999985694885,826.456420898438,174.38298034668,90.75,0.154719695448875,40.3948631286621,2.19596791267395,8269.33333333333,1.1982078225022e-05,272.534647623698,-0.615352376302042
"7",1448,1448,0.560000002384186,705.311279296875,111.946197509766,97,0.141662552952766,39.6709861755371,2.1300208568573,8391,1.20552394946571e-05,272.455017089844,-0.694982910156227
"8",1449,1449,0.5,575.257202148438,46.8151473999023,87.25,0.0875969380140305,39.644947052002,2.02073550224304,8032,1.19999913295032e-05,271.694915771484,-1.4550842285156
"9",1530,1530,0.680000007152557,1363.46228027344,38.8154106140137,95.25,0.258570194244385,50.8286170959473,2.09327292442322,8028.5,1.20202817015524e-05,272.451782226562,-0.698217773437477
"10",1619,1619,0.990000009536743,671.213256835938,206.284118652344,42.0000076293945,0.0630411058664322,39.845458984375,2.36388397216797,9294,1.30333487504686e-05,274.05517578125,0.905175781250023
"11",1702,1702,0.389999985694885,862.625854492188,57.916130065918,98.25,0.113488584756851,39.6688194274902,2.70570707321167,9473,1.32880095407018e-05,274.832214355469,1.68221435546877
"12",1703,1703,0.980000019073486,755.893920898438,388.141021728516,92.75,0.0625346153974533,36.4164047241211,2.72168040275574,9835,1.38694322231459e-05,275.128173828125,1.97817382812502
"13",1706,1706,0.699999988079071,654.070495605469,980.617980957031,82.0000076293945,0.0316856503486633,31.9937305450439,2.18501043319702,10199,1.53982618940063e-05,274.673431396484,1.5234313964844
"14",1785,1785,0.150000005960464,907.862854003906,291.393646240234,88.5000076293945,0.166625931859016,35.4629936218262,3.24328398704529,9833,1.38731738843489e-05,275.867248535156,2.71724853515627
"15",1786,1786,0.910000026226044,865.446166992188,966.711303710938,88.25,0.0730009824037552,31.9535617828369,3.35583186149597,10014,1.39908424898749e-05,275.839477539062,2.68947753906252
"16",1788,1788,1,756.711608886719,1550.67687988281,81.75,0.0163369122892618,28.2707710266113,2.9841423034668,10197,1.47338096212479e-05,275.162628173828,2.01262817382815
"17",1790,1790,1,726.373718261719,1028.89465332031,72.4999923706055,0.0463630221784115,28.9741878509521,2.95203232765198,10559,1.61427124112379e-05,275.355590820312,2.20559082031252
"18",1870,1870,1,753.948059082031,1515.00378417969,87.25,0.0480313152074814,27.9522876739502,4.56723642349243,10374.5,1.43777635912556e-05,276.35425567627,3.20425567626955
"19",1871,1871,1,692.675415039062,1405.29577636719,69.7500076293945,0.0723277106881142,27.5258102416992,4.23375463485718,10556,1.51324902617489e-05,276.215779622396,3.06577962239584
"20",1940,1940,0,NA,120.723754882812,0,NA,145.545379638672,7.53460216522217,11613,2.70579839707352e-05,271.242248535156,-1.90775146484373
