FID,POINTID,record_type,flags,lng,lat,lng_rot,lat_rot
70,71,Hadrosaurinae,Early Campanian,-88.49250000,33.51250100,-60.07549567,35.12994070
71,72,Tyrannosauridae,Early Campanian,-112.18277700,47.81250000,-80.22601821,52.95627862
72,73,Tyrannosauridae,Early Campanian,-108.93599700,47.78748700,-76.73461037,52.42769683
73,74,Tyrannosauridae,Early Campanian,-105.20054600,38.37305500,-75.82933943,42.64791469
74,75,Tyrannosauridae,Early Campanian,-113.75000000,48.63000100,-81.54267497,53.97946927
75,76,Tyrannosauridae,Early Campanian,-107.03694200,38.83250000,-77.62875126,43.37228153
76,77,Tyrannosauridae,Early Campanian,-112.27610800,47.99000200,-80.25993562,53.14337825
77,78,Tyrannosauridae,Early Campanian,-112.58283200,47.63467800,-80.66022971,52.83024995
78,79,Tyrannosauridae,Early Campanian,-113.75000000,48.63330100,-81.54136180,53.98267765
79,80,Tyrannosauridae,Early Campanian,-112.58283200,47.63467800,-80.66022971,52.83024995
80,81,Tyrannosauridae,Early Campanian,-112.89910900,37.59166700,-84.15621659,43.03016387
81,82,Tyrannosauridae,Early Campanian,-108.66702300,35.39835700,-80.22013799,40.24909168
82,83,Tyrannosauridae,Early Campanian,-78.49730700,34.57168200,-49.94001310,34.46260001
83,84,Tyrannosauridae,Early Campanian,-111.64666700,37.19111300,-82.92437199,42.45382556
84,85,Tyrannosauridae,Early Campanian,-110.93019100,38.06769900,-81.94168542,43.20950332
85,86,Tyrannosauridae,Early Campanian,-110.93714900,38.05400100,-81.95260098,43.19707996
86,87,Tyrannosauridae,Early Campanian,-111.00469200,38.08388500,-82.01655514,43.23642841
87,88,Tyrannosauridae,Early Campanian,-111.90000200,37.59999800,-83.09082256,42.89282164
88,89,Tyrannosauridae,Early Campanian,-111.00000000,49.59999800,-78.23589649,54.51156562
89,90,Tyrannosauridae,Early Campanian,-113.75000000,48.63330100,-81.54136180,53.98267765
90,91,Tyrannosauridae,Early Campanian,-106.94114700,35.32031600,-78.43158625,39.91082543
91,92,Tyrannosauridae,Early Campanian,-85.31720000,32.12580100,-57.25591311,33.23175209
92,93,Tyrannosauridae,Early Campanian,-113.75000000,48.63330100,-81.54136180,53.98267765
93,94,Ceratopsidae,Middle Campanian,-103.33333600,29.66666800,-76.02274483,33.80696587
94,95,Ceratopsidae,Middle Campanian,-110.70111100,45.63722200,-79.41436269,50.60873677
95,96,Ceratopsidae,Middle Campanian,-111.13897700,50.06868400,-78.19064232,54.98803130
96,97,Ceratopsidae,Middle Campanian,-110.87247500,49.12765500,-78.29105074,54.03305964
97,98,Ceratopsidae,Middle Campanian,-110.87452700,49.12788000,-78.29318043,54.03359739
98,99,Ceratopsidae,Middle Campanian,-111.35694100,49.50722100,-78.66125399,54.47694459
99,100,Ceratopsidae,Middle Campanian,-113.88710000,53.34489800,-79.70553604,58.58553634
100,101,Ceratopsidae,Middle Campanian,-109.90000200,46.20000100,-78.35604411,51.03337506
101,102,Ceratopsidae,Middle Campanian,-109.61916400,47.74027600,-77.48549881,52.48903111
102,103,Ceratopsidae,Middle Campanian,-108.94694500,47.77222100,-76.75220153,52.41457877
103,104,Ceratopsidae,Middle Campanian,-109.00000000,47.89860900,-76.76039086,52.54579383
104,105,Ceratopsidae,Middle Campanian,-109.61916400,47.74027600,-77.48549881,52.48903111
105,106,Ceratopsidae,Middle Campanian,-109.58969900,47.80820100,-77.42784519,52.55047388
106,107,Ceratopsidae,Middle Campanian,-109.90000200,46.20000100,-78.35604411,51.03337506
107,108,Ceratopsidae,Middle Campanian,-109.90000200,46.20000100,-78.35604411,51.03337506
108,109,Ceratopsidae,Middle Campanian,-109.66333000,46.40000200,-78.03050095,51.19138758
109,110,Ceratopsidae,Middle Campanian,-109.11000100,46.09999800,-77.54583466,50.81272090
110,111,Ceratopsidae,Middle Campanian,-109.50000000,49.09999800,-76.82128722,53.79148751
111,112,Ceratopsidae,Middle Campanian,-110.56207300,48.94516800,-78.02900216,53.80745976
112,113,Ceratopsidae,Middle Campanian,-107.83333600,50.50000000,-74.44231357,54.88412615
113,114,Ceratopsidae,Middle Campanian,-110.56207300,48.94516800,-78.02900216,53.80745976
114,115,Ceratopsidae,Middle Campanian,-110.61666900,48.95000100,-78.08605576,53.82066320
115,116,Ceratopsidae,Middle Campanian,-109.67548400,48.61456300,-77.20526569,53.34765878
116,117,Ceratopsidae,Middle Campanian,-108.00109900,46.76002500,-76.12260317,51.28090721
117,118,Ceratopsidae,Middle Campanian,-108.00109900,46.76002500,-76.12260317,51.28090721
118,119,Ceratopsidae,Middle Campanian,-111.80000300,50.73000000,-78.62588445,55.73212215
119,120,Ceratopsidae,Middle Campanian,-110.72221400,49.15910000,-78.11573874,54.04021077
120,121,Ceratopsidae,Middle Campanian,-110.71945200,49.16178900,-78.11166051,54.04239211
121,122,Ceratopsidae,Middle Campanian,-110.70282000,49.07584400,-78.12847264,53.95632596
122,123,Ceratopsidae,Middle Campanian,-112.20555900,49.28638800,-79.67381216,54.39350186
123,124,Ceratopsidae,Middle Campanian,-110.93898800,49.09802200,-78.37502573,54.01461830
124,125,Ceratopsidae,Middle Campanian,-110.93966700,49.10004800,-78.37494206,54.01669192
125,126,Ceratopsidae,Middle Campanian,-110.94104000,49.10184900,-78.37570051,54.01865486
126,127,Ceratopsidae,Middle Campanian,-110.84006500,49.08196300,-78.27445520,53.98363442
127,128,Ceratopsidae,Middle Campanian,-110.84845700,49.13797000,-78.26088236,54.03934214
128,129,Ceratopsidae,Middle Campanian,-111.53141800,50.75544000,-78.32224349,55.71506354
129,130,Ceratopsidae,Middle Campanian,-110.59750400,49.20010000,-77.96423056,54.06059021
130,131,Ceratopsidae,Middle Campanian,-111.49940500,50.76209300,-78.28449235,55.71653286
131,132,Ceratopsidae,Middle Campanian,-111.51153600,50.75238400,-78.30193460,55.70900902
132,133,Ceratopsidae,Middle Campanian,-110.07540900,50.73262000,-76.75246280,55.46513497
133,134,Ceratopsidae,Middle Campanian,-110.08892100,50.73003000,-76.76821118,55.46475286
134,135,Ceratopsidae,Middle Campanian,-111.40825700,50.75122100,-78.19004991,55.69181006
135,136,Ceratopsidae,Middle Campanian,-110.86268600,49.12089900,-78.28319119,54.02497448
136,137,Ceratopsidae,Middle Campanian,-111.39306600,50.75865900,-78.17027495,55.69665413
137,138,Ceratopsidae,Middle Campanian,-110.86268600,49.12089900,-78.28319119,54.02497448
138,139,Ceratopsidae,Middle Campanian,-112.65000200,48.96659900,-80.20773035,54.13544194
139,140,Ceratopsidae,Middle Campanian,-112.65000200,48.96659900,-80.20773035,54.13544194
140,141,Ceratopsidae,Middle Campanian,-112.70839700,48.96460000,-80.27210086,54.14263307
141,142,Ceratopsidae,Middle Campanian,-112.66439800,48.96460000,-80.22421056,54.13575240
142,143,Ceratopsidae,Middle Campanian,-113.75000000,48.63000100,-81.54267497,53.97946927
143,144,Ceratopsidae,Middle Campanian,-112.65000200,48.96659900,-80.20773035,54.13544194
144,145,Ceratopsidae,Middle Campanian,-112.65000200,48.96659900,-80.20773035,54.13544194
145,146,Ceratopsidae,Middle Campanian,-112.64240300,48.93550100,-80.21210026,54.10405039
146,147,Ceratopsidae,Middle Campanian,-112.64240300,48.93550100,-80.21210026,54.10405039
147,148,Ceratopsidae,Middle Campanian,-111.62879200,37.52536800,-82.82153440,42.77971075
148,149,Ceratopsidae,Middle Campanian,-110.44999700,48.99972200,-77.88597070,53.84297147
