FID,POINTID,record_type,flags,lng,lat,lng_rot,lat_rot
64,65,Hadrosauridae,Early Maastrichtian,-108.09536000,36.28742200,-84.61737014,42.47859223
65,66,Hadrosauridae,Early Maastrichtian,-108.09536000,36.28742200,-84.61737014,42.47859223
66,67,Hadrosauridae,Early Maastrichtian,-108.06639900,36.34389900,-84.57110905,42.52929778
67,68,Hadrosauridae,Early Maastrichtian,-108.09536000,36.28742200,-84.61737014,42.47859223
68,69,Hadrosauridae,Early Maastrichtian,-108.26580000,36.68280000,-84.69288303,42.89334667
69,70,Hadrosauridae,Early Maastrichtian,-108.89250200,36.23694200,-85.48571739,42.55627220
70,71,Hadrosauridae,Early Maastrichtian,-108.16694600,36.26944400,-84.69889608,42.47244043
71,72,Hadrosauridae,Early Maastrichtian,-151.57823200,70.07136500,-126.29806010,80.73179044
72,73,Hadrosauridae,Early Maastrichtian,-106.38330100,49.36666900,-78.22314318,54.93788724
75,76,Hadrosauridae,Early Maastrichtian,-76.85965000,38.91471500,-51.86314900,39.45944941
76,77,Hadrosauridae,Early Maastrichtian,-76.70833600,38.96389000,-51.69984066,39.47885887
77,78,Hadrosauridae,Early Maastrichtian,-113.36460100,49.97119900,-85.72833576,56.66994900
78,79,Hadrosauridae,Early Maastrichtian,-113.36460100,49.97119900,-85.72833576,56.66994900
79,80,Hadrosauridae,Early Maastrichtian,-112.80000300,48.90000200,-85.55760323,55.54159378
80,81,Hadrosauridae,Early Maastrichtian,-112.83139800,48.42929800,-85.79124852,55.08958134
81,82,Hadrosauridae,Early Maastrichtian,-113.30606100,49.19161200,-86.00426299,55.90460927
82,83,Hadrosauridae,Early Maastrichtian,-74.27417000,40.25999800,-48.91938353,40.28115541
83,84,Tyrannosauridae,Early Maastrichtian,-103.51648700,29.30055000,-81.52261074,34.88353143
84,85,Tyrannosauridae,Early Maastrichtian,-103.56562000,29.22855400,-81.59049963,34.82094693
85,86,Tyrannosauridae,Early Maastrichtian,-112.98190300,51.81909900,-84.42310685,58.39690593
86,87,Tyrannosauridae,Early Maastrichtian,-112.93479900,51.92829900,-84.31518301,58.49478724
87,88,Tyrannosauridae,Early Maastrichtian,-112.88333100,51.99583400,-84.22281471,58.55171325
88,89,Tyrannosauridae,Early Maastrichtian,-112.88333100,51.99583400,-84.22281471,58.55171325
89,90,Tyrannosauridae,Early Maastrichtian,-112.86560100,51.54999900,-84.42309475,58.11831295
90,91,Tyrannosauridae,Early Maastrichtian,-112.87860900,51.53889100,-84.44331604,58.10966787
91,92,Tyrannosauridae,Early Maastrichtian,-113.54536400,53.44781100,-84.22479975,60.05802324
92,93,Tyrannosauridae,Early Maastrichtian,-112.67337800,51.45554400,-84.25065220,57.99618520
93,94,Tyrannosauridae,Early Maastrichtian,-112.88333100,51.99583400,-84.22281471,58.55171325
94,95,Tyrannosauridae,Early Maastrichtian,-112.88333100,51.99583400,-84.22281471,58.55171325
95,96,Tyrannosauridae,Early Maastrichtian,-112.88333100,51.99583400,-84.22281471,58.55171325
96,97,Tyrannosauridae,Early Maastrichtian,-103.15957600,29.43875700,-81.11816392,34.96017774
97,98,Tyrannosauridae,Early Maastrichtian,-103.15957600,29.43875700,-81.11816392,34.96017774
98,99,Tyrannosauridae,Early Maastrichtian,-151.57823200,70.07136500,-126.29806010,80.73179044
99,100,Tyrannosauridae,Early Maastrichtian,-112.98529800,49.91299800,-85.32449123,56.55339846
100,101,Ceratopsidae,Late Maastrichtian,-104.86528000,39.92055500,-80.11702821,45.50736868
101,102,Ceratopsidae,Late Maastrichtian,-104.82000000,39.98527900,-80.04850436,45.56295739
102,103,Ceratopsidae,Late Maastrichtian,-105.22358700,39.74570500,-80.55405453,45.39650913
103,104,Ceratopsidae,Late Maastrichtian,-105.14140300,39.70029800,-80.48022266,45.33848458
104,105,Ceratopsidae,Late Maastrichtian,-105.04215200,39.73079700,-80.36477127,45.35170348
105,106,Ceratopsidae,Late Maastrichtian,-105.01110800,39.81083300,-80.30685721,45.42464729
106,107,Ceratopsidae,Late Maastrichtian,-105.01916500,39.79388800,-80.32071073,45.40945241
107,108,Ceratopsidae,Late Maastrichtian,-104.38333100,38.85889100,-79.92814881,44.39023533
108,109,Ceratopsidae,Late Maastrichtian,-104.69833400,38.67194400,-80.31953810,44.26031852
109,110,Ceratopsidae,Late Maastrichtian,-105.20027900,39.79138900,-80.51503023,45.43722300
110,111,Ceratopsidae,Late Maastrichtian,-105.11027500,39.86750000,-80.39526215,45.49651043
