collection_no,siteID,bin_assignment,lat,lng,Distance
14572,8398,teyen,47.8,-106.1,365.3869433
14573,12212,teyeo,36.3,-108.2,561.5447265
14574,8397,teyen,47.533,-106.917,2400.574488
14575,8398,teyen,47.65,-106.2,333.903474
14576,8398,teyen,47.8,-106.1,365.3869433
14577,9895,teyen,43.233,-104.583,1803.287512
14578,10062,teyen,43,-104.5,636.100931
14579,10062,teyen,43,-104.5,636.100931
14580,8398,teyen,47.8,-106.1,365.3869433
14582,8563,teyen,47.067,-106.917,1619.323923
14583,8398,teyen,47.633,-106.2,333.8679436
14584,7894,teyen,49.5,-109.2,1160.756759
14585,9895,teyen,43.116,-104.637,391.6712946
14586,9896,teyen,43.188,-104.459,1002.671754
14587,9895,teyen,43.116,-104.637,391.6712946
14588,9895,teyen,43.118,-104.641,420.836459
14589,9895,teyen,43.107,-104.583,447.3799746
14590,10062,teyen,43,-104.5,636.100931
14591,9895,teyen,43.203,-104.615,1418.495922
14592,9895,teyen,43.162,-104.619,932.960834
14593,10062,teyen,43,-104.5,636.100931
14594,8397,teyen,47.6,-107,3301.471327
14595,8398,teyen,47.8,-106.1,365.3869433
14596,9895,teyen,43.15,-104.567,918.3390125
14597,8567,teyen,47.1,-104.8,4.040647358
14598,9729,teyen,43.8,-104.617,619.7800061
14599,11377,teyeo,39,-111,1123.909762
14600,8397,teyen,47.7,-106.55,2797.721491
14601,10062,teyen,43,-104.5,636.100931
14602,7894,teyen,49.2,-109.2,546.0181992
14603,11377,teyeo,39,-111,1123.909762
14604,9234,teyen,45.5,-103.1,38.44355583
14605,8398,teyen,47.733,-106.5,2454.93336
14606,9895,teyen,43.14,-104.577,777.6688725
14607,11210,teyeo,39.167,-111.267,1316.96388
14608,9229,teyen,45.4,-105.6,933.6378488
14609,9895,teyen,43.233,-104.533,1692.2166
14610,8902,teyen,46.1,-103.3,807.517314
14611,8567,teyen,47.1,-104.8,4.040647358
14613,8396,teyen,47.6,-107.233,3977.23381
14614,8397,teyen,47.517,-107,2350.959468
14615,8397,teyen,47.533,-106.883,2362.553506
14616,8398,teyen,47.676,-106.427,1929.1653
14617,8398,teyen,47.633,-106.2,333.8679436
14618,8398,teyen,47.8,-106.1,365.3869433
14619,12212,teyeo,36.3,-108.2,561.5447265
14620,8740,teyen,46.9,-101.5,456.5787059
14621,8740,teyen,46.9,-101.5,456.5787059
14622,8398,teyen,47.8,-106.1,365.3869433
14623,8398,teyen,47.633,-106.2,333.8679436
14624,8398,teyen,47.633,-106.2,333.8679436
14625,10062,teyen,43,-104.5,636.100931
14626,10062,teyen,43,-104.5,636.100931
14627,8398,teyen,47.8,-106.1,365.3869433
14628,8398,teyen,47.8,-106.1,365.3869433
14629,8398,teyen,47.633,-106.2,333.8679436
14630,7057,teyen,51.8,-113,1584.052272
14631,7057,teyen,51.8,-113,1584.052272
14632,7057,teyen,51.8,-113,1584.052272
14633,7057,teyen,51.8,-113,1584.052272
14634,7057,teyen,51.8,-113,1584.052272
14635,7057,teyen,51.8,-113,1584.052272
14636,7057,teyen,51.8,-113,1584.052272
14637,7057,teyen,51.8,-113,1584.052272
14638,7057,teyen,51.8,-113,1584.052272
14639,8396,teyen,47.517,-107.05,2474.320192
14640,10892,teyeo,40.386,-104.492,201.573429
14641,10062,teyen,43,-104.5,636.100931
14642,10062,teyen,43,-104.5,636.100931
14643,9896,teyen,43.2,-104.467,1102.036079
14644,10062,teyen,43,-104.5,636.100931
14645,8398,teyen,47.8,-106.1,365.3869433
14646,8398,teyen,47.8,-106.1,365.3869433
14647,8398,teyen,47.617,-106.183,213.3331929
14648,8398,teyen,47.8,-106.1,365.3869433
14649,8398,teyen,47.617,-106.183,213.3331929
14650,8398,teyen,47.617,-106.183,213.3331929
14651,8398,teyen,47.617,-106.183,213.3331929
14652,8567,teyen,47.1,-104.8,4.040647358
14653,8398,teyen,47.6,-106.283,922.3928008
14654,8398,teyen,47.6,-106.267,808.9364688
14655,7896,teyen,49.3,-108.4,34.05883336
14656,10062,teyen,43,-104.5,636.100931
14674,8398,teyen,47.8,-106.1,365.3869433
22638,9896,teyen,43.349,-104.482,1486.89228
22640,7392,teyep,50.815,-111.325,3988.103195
22652,8051,teyeq,48.63,-113.75,679.9077674
22653,8051,teyeq,48.633,-113.75,668.334613
22654,7391,teyep,50.729,-111.526,2816.07471
22655,7392,teyep,50.736,-111.494,3008.373571
22656,7391,teyep,50.734,-111.514,2882.151496
22657,7391,teyep,50.727,-111.525,2827.622969
22659,7392,teyep,50.751,-111.485,3037.509375
22689,8051,teyeq,48.633,-113.75,668.334613
22690,8051,teyeq,48.633,-113.75,668.334613
22691,8219,teyeq,48.479,-112.701,431.1447503
22692,8053,teyeq,48.911,-112.641,506.9749996
22693,8053,teyeq,48.967,-112.65,718.7380964
22694,8053,teyeq,48.967,-112.65,718.7380964
22695,7392,teyep,50.755,-111.399,3568.301123
22696,7392,teyep,50.781,-111.326,4070.943171
22697,7391,teyep,50.809,-111.632,2033.623566
22698,7391,teyep,50.75,-111.515,2840.511676
22699,5882,teyep,55.064,-119.108,1226.144726
23549,8393,teyep,47.733,-108.95,1658.700671
23551,8393,teyep,47.717,-108.9,1291.816501
24790,9236,teyen,45.136,-102.497,1336.297456
24851,8900,teyen,46.466,-104.021,1530.880053
24891,7726,teyep,49.95,-110.267,48.30766228
24893,7392,teyep,50.733,-111.3,3698.682659
24924,12380,teyeq,35.7,-107.2,2236.794611
25658,8053,teyeq,48.65,-112.967,1124.043465
26626,9554,teyen,44.24,-109.02,1042.371919
26760,8568,teyen,47.479,-104.484,1001.817309
26775,8386,teyeq,47.768,-112.288,520.4309149
26779,8057,teyep,48.95,-110.617,2651.895075
28548,7057,teyeo,51.84,-112.783,403.3438655
34373,6889,teyeo,52.267,-113.8,75.02137283
34375,7391,teyeq,50.755,-111.617,2156.883585
34494,9405,teyen,44.767,-100.7,3457.943663
34743,7720,teyeo,49.971,-113.365,1250.539446
34744,7057,teyeo,51.55,-112.866,938.1354638
34745,7392,teyep,50.809,-111.327,3994.688131
34750,7392,teyep,50.743,-111.492,3006.108326
34826,12212,teyep,36.286,-108.227,379.3403379
34827,12212,teyep,36.271,-108.209,532.3519307
34828,12212,teyep,36.315,-108.084,1441.778823
35251,7894,teyen,49.5,-109.1,817.0879502
35379,7391,teyeq,50.63,-111.62,1559.553098
35510,8398,teyen,47.722,-106.231,547.5336918
35511,7391,teyep,50.73,-111.8,1018.567222
35518,12212,teyep,36.269,-108.167,721.0228977
36264,7391,teyep,50.819,-111.574,2398.110693
36269,12212,teyep,36.269,-108.167,721.0228977
36449,12212,teyep,36.486,-108.486,1942.934001
36542,12211,teyep,36.488,-108.535,1612.460593
36543,12212,teyep,36.271,-108.209,532.3519307
36570,7392,teyep,50.662,-111.477,2363.863188
36608,8386,teyeq,47.812,-112.183,1.5409421
36934,8386,teyeq,47.812,-112.183,1.5409421
38544,8396,teyen,47.536,-107.083,2777.426927
39229,12213,teyep,36.155,-107.977,1489.797013
39231,12213,teyep,36.186,-107.889,1493.143553
45098,9067,teyen,45.949,-103.962,3722.018285
45099,9067,teyen,45.949,-103.962,3722.018285
45100,9067,teyen,45.949,-103.962,3722.018285
45101,9067,teyen,45.949,-103.962,3722.018285
45102,9067,teyen,45.978,-103.754,2502.2351
45103,8901,teyen,46.007,-103.754,2501.059208
45104,8901,teyen,46.026,-103.767,2524.773816
45105,8901,teyen,46.026,-103.767,2524.773816
45106,8901,teyen,46.026,-103.767,2524.773816
45107,8901,teyen,46.026,-103.767,2524.773816
45108,8901,teyen,46.026,-103.767,2524.773816
45109,8901,teyen,46.026,-103.767,2524.773816
45110,8901,teyen,46.026,-103.767,2524.773816
45111,8901,teyen,46.026,-103.767,2524.773816
45112,8901,teyen,46.026,-103.767,2524.773816
45113,8901,teyen,46.026,-103.767,2524.773816
45114,8901,teyen,46.026,-103.767,2524.773816
45115,8901,teyen,46.026,-103.767,2524.773816
45116,8901,teyen,46.026,-103.767,2524.773816
45117,8901,teyen,46.026,-103.767,2524.773816
45118,8901,teyen,46.026,-103.767,2524.773816
45119,8901,teyen,46.026,-103.767,2524.773816
45120,8901,teyen,46.026,-103.767,2524.773816
45121,8901,teyen,46.149,-103.81,1183.533969
45122,8901,teyen,46.18,-103.837,847.4645298
45123,8901,teyen,46.305,-103.981,52.80964053
45124,8901,teyen,46.137,-103.795,1324.420535
45125,8901,teyen,46.137,-103.795,1324.420535
45126,8901,teyen,46.137,-103.795,1324.420535
45127,8901,teyen,46.137,-103.795,1324.420535
45128,8901,teyen,46.406,-103.94,1263.703024
45129,8901,teyen,46.421,-103.94,1438.873779
45130,8901,teyen,46.382,-103.964,963.4109915
45131,8901,teyen,46.209,-103.775,473.579505
45132,8901,teyen,46.209,-103.775,473.579505
45133,8901,teyen,46.209,-103.775,473.579505
45134,8901,teyen,46.209,-103.775,473.579505
45135,8901,teyen,46.209,-103.775,473.579505
45136,8901,teyen,46.382,-103.964,963.4109915
45137,8900,teyen,46.45,-104.023,1361.191846
45138,8902,teyen,46.45,-103.023,663.0802501
45139,8902,teyen,46.45,-103.023,663.0802501
45140,8900,teyen,46.45,-104.002,1447.8014
45141,8900,teyen,46.464,-104.023,1503.212737
45142,8900,teyen,46.464,-104.023,1503.212737
45143,8900,teyen,46.464,-104.023,1503.212737
45144,8901,teyen,46.334,-103.898,429.4926451
45145,8901,teyen,46.334,-103.898,429.4926451
45146,8901,teyen,46.334,-103.898,429.4926451
45147,8901,teyen,46.334,-103.898,429.4926451
45238,7392,teyep,50.737,-111.495,2999.476333
45240,7391,teyeq,50.752,-111.512,2856.819049
