"","Taxon","DIC","Res","Bin.type","Model.type"
"1","Ankylosauridae",792.146242746247,1,"scotese","sp"
"2","Hadrosauridae",1914.75500880008,1,"scotese","sp"
"3","Ceratopsidae",1495.64893738382,1,"scotese","sp"
"4","Tyrannosauridae",1005.52371960331,1,"scotese","sp"
