"","Taxon","DIC","Res","Bin.type","Model.type"
"1","Ankylosauridae",526.565798513841,0.5,"formation","sp"
"2","Hadrosauridae",1382.27929906848,0.5,"formation","sp"
"3","Ceratopsidae",1092.25923504019,0.5,"formation","sp"
"4","Tyrannosauridae",564.157281999689,0.5,"formation","sp"
