"","Taxon","DIC","Res","Bin.type","Model.type"
"1","Ankylosauridae",853.824610099716,1,"scotese","hc.rw"
"2","Hadrosauridae",2147.76763387372,1,"scotese","hc.rw"
"3","Ceratopsidae",1723.1760551858,1,"scotese","hc.rw"
"4","Tyrannosauridae",1116.80649682083,1,"scotese","hc.rw"
