"","Taxon","DIC","Res","Bin.type","Model.type"
"1","Ankylosauridae",538.474523873364,0.5,"formation","sp"
"2","Hadrosauridae",1435.50858850855,0.5,"formation","sp"
"3","Ceratopsidae",1142.83122660025,0.5,"formation","sp"
"4","Tyrannosauridae",598.447101128823,0.5,"formation","sp"
