"","Taxon","DIC","Res","Bin.type","Model.type"
"1","Ankylosauridae",762.376010802268,0.5,"scotese","hc.rw"
"2","Hadrosauridae",1854.40227138312,0.5,"scotese","hc.rw"
"3","Ceratopsidae",1567.39519479039,0.5,"scotese","hc.rw"
"4","Tyrannosauridae",993.274023782314,0.5,"scotese","hc.rw"
