"","Taxon","DIC","Res","Bin.type","Model.type"
"1","Ankylosauridae",775.544350411301,0.5,"scotese","sp"
"2","Hadrosauridae",1844.41132001142,0.5,"scotese","sp"
"3","Ceratopsidae",1500.12379924082,0.5,"scotese","sp"
"4","Tyrannosauridae",958.089732003182,0.5,"scotese","sp"
