"","Taxon","DIC","Res","Bin.type","Model.type"
"1","Ankylosauridae",573.807402288878,1,"formation","sp"
"2","Hadrosauridae",1599.88454057079,1,"formation","sp"
"3","Ceratopsidae",1266.40958385543,1,"formation","sp"
"4","Tyrannosauridae",679.984932472908,1,"formation","sp"
