"","Taxon","DIC","Res","Bin.type","Model.type"
"1","Ankylosauridae",582.819511773581,1,"formation","hc.rw"
"2","Hadrosauridae",1626.64787240244,1,"formation","hc.rw"
"3","Ceratopsidae",1265.70686355029,1,"formation","hc.rw"
"4","Tyrannosauridae",678.511580826135,1,"formation","hc.rw"
