"","cells","mean_max_ptemp","mean_min_ptemp","mean_max_pprec","mean_min_pprec","mean_PDEM","plat"
"1",5881,-524.707694498698,-568.012487792969,16598787276.8,8873002393.6,501.333333333333,63.5618466666667
"2",5882,-524.592538686899,-568.197488638071,16617918936.6154,8760813568,480,63.4285807692308
"3",5883,-524.522065429687,-568.572270507813,16787270778.88,8588700262.4,268.8,63.438604
"4",6047,-524.43056233724,-567.541463216146,16058979669.3333,8626367573.33333,920,63.19845
"5",6048,-524.519836425781,-567.898864746094,16355893248,8697865216,480,63.3596
"6",6222,-523.28125,-567.218872070312,16423908352,7517288448,240,61.7067
"7",6891,-522.01171875,-564.790771484375,16361321472,7919670272,360,59.2588
"8",6898,NA,NA,NA,NA,-360,58.7025666666667
"9",7057,-521.939453125,-564.734252929688,16205116416,7884847616,360,59.1266
"10",7066,NA,NA,NA,NA,-360,57.6416
"11",7228,-521.471801757812,-564.368574471309,15194759627.0345,7659608717.24138,760,58.0674620689655
"12",7391,-520.872769937887,-563.900137071486,13900505829.4026,7371080373.19481,680,57.7018246753247
"13",7392,-520.908619743081,-563.927402173702,13979714035.2637,7388739471.9204,679.203980099502,57.673560199005
"14",7393,-519.847351074219,-562.659301757812,12660154368,7095229952,560,57.4445
"15",7394,-519.668887867647,-562.3432078642,12666668694.5882,7096948163.76471,480,57.4007735294118
"16",7557,-519.950103759766,-562.841278076172,12656404992,7094241024,360,57.14915
"17",7558,-519.794840494792,-562.566330418442,12662070923.6364,7095735249.45455,408.484848484848,57.0628424242424
"18",7559,-519.678771972656,-562.360778808594,12666307584,7096852480,560,56.8583
"19",7560,-519.65684000651,-562.321868896484,12667108352,7097063680,533.333333333333,57.1241333333333
"20",7718,-519.757934570312,-562.059448242188,11597377536,7757668864,760,57.3442
"21",7720,-519.893798828125,-562.691528320312,12270682112,7273531904,360,57.1888
"22",7723,-519.801127115885,-562.577412923177,12661841920,7095675050.66667,360,56.8742
"23",7724,-519.732645670573,-562.456115722656,12664341845.3333,7096334165.33333,493.333333333333,56.7852666666667
"24",7725,-519.559387207031,-562.149291992188,12670665728,7098001920,760,56.4923
"25",7726,-519.574010213216,-562.175170898438,12670131370.6667,7097861120,560,56.6566416666667
"26",7887,-519.504157571232,-562.075888241039,12344731166.1176,7143537212.23529,374.117647058824,56.5098352941177
"27",7888,-519.536743164062,-562.122436523438,12521688064,7115373568,400,56.47214
"28",7890,-519.576965332031,-562.180358886719,12670024704,7097832960,760,56.469
