"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","counting_colls$Coll_count","Camp_terr_outcrop","Camp_all_outcrop","Cret_outcrop"
"1",5881,760.901847330729,91.0666666666667,40.766667175293,2.83055545488993,849.426879882812,681.076843261719,168.350036621094,5,0,0,0.560000002384186
"2",5882,662.486879788912,93.2692307692308,42.0256416614239,2.81987186578604,687.771606445312,659.961303710938,27.810302734375,9,0,0,0.600000023841858
"3",5883,708.307197265625,83.6,39.9133329772949,2.39333331108093,746.045104980469,633.429748535156,112.615356445312,6,0,0,0.579999983310699
"4",6047,1063.57047526042,91.6666666666667,47.1944440205892,2.42222231626511,1388.63549804688,690.030212402344,698.605285644531,4,0.870000004768372,0.870000004768372,1
"5",6048,621.078063964844,94,42.5,3.375,621.078063964844,621.078063964844,0,2,0.490000009536743,0.490000009536743,1
"6",6222,674.596069335938,92,43.6666679382324,2.36666655540466,674.596069335938,674.596069335938,0,1,0,0,0.910000026226044
"7",6891,813.795349121094,78,35.8333320617676,3.10833334922791,813.795349121094,813.795349121094,0,1,0,0,0.0900000035762787
"8",6898,642.45957438151,67.3333333333333,30.3749993642171,2.16388877232869,652.194580078125,640.512573242188,11.6820068359375,2,0.310000002384186,1,1
"9",7057,800.531982421875,67,34.0833320617676,3.49999976158142,800.531982421875,800.531982421875,0,1,0,0,0.170000001788139
"10",7066,580.051452636719,88,28.25,3.13333320617676,580.051452636719,580.051452636719,0,1,0,0.899999976158142,0.899999976158142
"11",7228,761.083066742996,89.2413793103448,26.6896547120193,2.94712648720577,761.905517578125,758.924133300781,2.98138427734375,5,0.25,1,1
"12",7391,671.893918124112,55.2012987012987,27.7458061986155,4.84531928656937,761.998962402344,639.776428222656,122.222534179688,218,0.759999990463257,1,1
"13",7392,682.398427023816,55.7860696517413,27.5980516310355,4.86111116883767,780.565368652344,641.780151367188,138.785217285156,131,0.759999990463257,1,1
"14",7393,770.759948730469,83,26.0833339691162,4.29166698455811,770.759948730469,770.759948730469,0,1,0.75,1,1
"15",7394,675.833079618566,70.3235294117647,25.45097990597,4.43799031482023,730.135437011719,625.058227539062,105.077209472656,7,0.930000007152557,1,1
"16",7557,737.031005859375,87.5,28,5.34166669845581,748.27783203125,725.7841796875,22.49365234375,2,1,1,1
"17",7558,744.363040808475,60.969696969697,26.5681822805694,5.42348483114532,777.550048828125,736.613037109375,40.93701171875,8,0.949999988079071,1,1
"18",7559,693.816101074219,85,26.9166660308838,5.55833339691162,693.816101074219,693.816101074219,0,1,0.990000009536743,1,1
