"","No.Cells","Occupied.cells","Naive.occ","Total.Colls","Mean.Colls","Min.Colls","Max.Colls","Median.Colls","No.Singleton.Cells.Removed.","No.Singleton.Targeted.Cells.Removed"
"Ceratopsidae.0.1",34,19,55.8823529411765,150,4.41176470588235,2,14,3,65,21
"Ceratopsidae.0.5",29,15,51.7241379310345,192,6.62068965517241,2,58,3,23,5
"Ceratopsidae.1",24,13,54.1666666666667,202,8.41666666666667,2,75,4.5,13,3
"Tyrannosauridae.0.1",34,14,41.1764705882353,150,4.41176470588235,2,14,3,65,6
"Tyrannosauridae.0.5",29,8,27.5862068965517,192,6.62068965517241,2,58,3,23,2
"Tyrannosauridae.1",24,8,33.3333333333333,202,8.41666666666667,2,75,4.5,13,1
"Hadrosauridae.0.1",34,22,64.7058823529412,150,4.41176470588235,2,14,3,65,15
"Hadrosauridae.0.5",29,15,51.7241379310345,192,6.62068965517241,2,58,3,23,6
"Hadrosauridae.1",24,14,58.3333333333333,202,8.41666666666667,2,75,4.5,13,3
