"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","counting_colls$Coll_count","Maas_terr_outcrop","Maas_all_outcrop","Cret_outcrop"
"1",145626,579.575561523438,93,39.5,2.64166665077209,579.575561523438,579.575561523438,0,1,0,0,0.340000003576279
"2",162265,678.025939941406,69,40.0833320617676,3.25,678.025939941406,678.025939941406,0,1,0,0,0
"3",163092,682.657836914062,88,40.5833320617676,2.54166674613953,682.657836914062,682.657836914062,0,1,0,0,0
"4",163922,722.855407714844,90,41.5,2.75,727.819458007812,717.891357421875,9.9281005859375,3,0.0599999986588955,0.0599999986588955,0.0599999986588955
"5",170579,702.583190917969,84,34.75,3.06666660308838,702.583190917969,702.583190917969,0,1,0,0.0700000002980232,0.0700000002980232
"6",172222,853.725158691406,68,38.5833320617676,3.30833339691162,853.725158691406,853.725158691406,0,1,0,0,0
"7",172239,825.144287109375,84,34.8333320617676,2.65833330154419,825.144287109375,825.144287109375,0,1,0,0,0
"8",174720,812.679321289062,84,33.5833320617676,3.64166641235352,812.679321289062,812.679321289062,0,1,0.360000014305115,0.360000014305115,0.360000014305115
"9",174721,774.59518093533,76.7777777777778,33.9166666666667,3.520370165507,800.531982421875,761.439636230469,39.0923461914062,5,0.479999989271164,0.479999989271164,0.479999989271164
"10",174722,831.097677541334,85.8604651162791,34.4825581395349,3.0687983867734,831.994201660156,793.443664550781,38.550537109375,5,0.150000005960464,0.150000005960464,0.150000005960464
"11",175550,769.272216796875,84,34.0833320617676,3.33333349227905,769.272216796875,769.272216796875,0,1,0.430000007152557,0.430000007152557,0.430000007152557
"12",175551,815.934256417411,78,33.5833326067243,3.42857153075082,833.3154296875,812.499450683594,20.8159790039062,5,0.870000004768372,0.870000004768372,0.870000004768372
"13",175553,819.5419921875,33,33,3.03333330154419,819.5419921875,819.5419921875,0,1,0,0,0
"14",176380,841.223876953125,93,34.0833320617676,3.29166650772095,841.223876953125,841.223876953125,0,2,0.899999976158142,0.899999976158142,0.899999976158142
"15",176381,737.832596628289,72.7894736842105,32.5526323820415,3.73947392011944,790.057556152344,726.226440429688,63.8311157226562,14,0.639999985694885,0.639999985694885,0.639999985694885
"16",177211,752.056696111506,78.3636363636364,32.3787881677801,3.65606063062494,801.909484863281,722.961303710938,78.9481811523438,8,0.479999989271164,0.479999989271164,0.479999989271164
"17",177212,744.647225516183,73.8571428571429,32.1309514726911,3.6345237323216,792.089660644531,715.222534179688,76.8671264648438,7,0.189999997615814,0.189999997615814,0.189999997615814
"18",178042,753.275589425223,70.9142857142857,31.9119051252093,3.74880951472691,824.909057617188,702.39892578125,122.510131835938,13,0,0,0
"19",178046,856.757385253906,80,32,3.19166660308838,856.757385253906,856.757385253906,0,2,0.0599999986588955,0.0599999986588955,0.0599999986588955
"20",178869,821.946655273438,71,31.6666660308838,3.77500009536743,821.946655273438,821.946655273438,0,1,0.850000023841858,0.850000023841858,0.850000023841858
"21",178872,758.567939758301,78.5,31.3125002384186,3.88958337903023,765.857055664062,751.490173339844,14.3668823242188,5,0.0700000002980232,0.0700000002980232,0.0700000002980232
"22",178873,714.059143066406,50.3333333333333,30.6777776082357,3.92555548350016,775.468505859375,697.550170898438,77.9183349609375,5,0,0,0
"23",178874,727.459448242187,63.4,30.5833339691162,3.98833341598511,755.991821289062,684.660888671875,71.3309326171875,2,0,0,0
"24",178875,756.832214355469,67,30.0833339691162,3.96666669845581,756.832214355469,756.832214355469,0,1,0,0,0
"25",179703,829.083312988281,89,31.9166660308838,3.52500009536743,829.083312988281,829.083312988281,0,1,0,0,0
"26",179705,741.792419433594,80,29.9166660308838,3.875,741.792419433594,741.792419433594,0,1,0,0.00999999977648258,0.00999999977648258
"27",183032,713.072570800781,84,27.6666660308838,4.375,713.072570800781,713.072570800781,0,1,0,0.140000000596046,1
"28",183864,642.892517089844,74,27.4166660308838,4.80833339691162,642.892517089844,642.892517089844,0,1,0,0,1
"29",184695,671.23046875,59,27.9166660308838,4.69999980926514,671.23046875,671.23046875,0,1,0,0,1
"30",185511,948.611450195312,86,33.0833320617676,4.39166641235352,948.611450195312,948.611450195312,0,1,0,0,0
"31",189660,909.062316894531,92,32.4166679382324,5.28333330154419,909.062316894531,909.062316894531,0,1,1,1,1
"32",191317,975.273193359375,83,35.4166679382324,5.17500019073486,975.273193359375,975.273193359375,0,1,1,1,1
"33",191320,970,14,32.4166679382324,5.17500019073486,970,970,0,1,0.970000028610229,1,1
"34",191321,979.557715521918,80.1111111111111,32.9374995761447,4.91134264734056,981.74853515625,973.828857421875,7.919677734375,7,0.310000002384186,1,1
"35",192138,1338.64196777344,93,45.75,3.85000014305115,1338.64196777344,1338.64196777344,0,1,0.769999980926514,0.769999980926514,0.939999997615814
"36",192965,1890.90856933594,94,57.3333320617676,1.11666667461395,1890.90856933594,1890.90856933594,0,1,0,0,0.330000013113022
"37",192982,912.090148925781,50,32,6.38333320617676,912.090148925781,912.090148925781,0,1,0,0.819999992847443,1
"38",193799,1181.39184570312,97,42.75,4.94999980926514,1181.39184570312,1181.39184570312,0,1,0.850000023841858,1,1
"39",193883,698.682556152344,82,30.7083330154419,5.5625,700.921142578125,696.443969726562,4.4771728515625,2,0.800000011920929,1,1
"40",195470,998.63525390625,94,35.5,5.875,998.63525390625,998.63525390625,0,1,1,1,1
"41",197957,1154.33740234375,84,40.6666679382324,5.25,1154.33740234375,1154.33740234375,0,1,0.850000023841858,1,1
"42",198791,1275.78210449219,89,34,4.93333339691162,1275.78210449219,1275.78210449219,0,1,0.769999980926514,0.769999980926514,0.769999980926514
"43",199617,1325.63525390625,94,39.3333320617676,4.53333330154419,1325.63525390625,1325.63525390625,0,1,0.0399999991059303,0.0399999991059303,0.129999995231628
"44",199622,1306.5712890625,87,30.8333339691162,4.98333311080933,1306.5712890625,1306.5712890625,0,1,0.980000019073486,1,1
"45",200453,1252.09301757812,24,30.9166660308838,5.53333330154419,1252.09301757812,1252.09301757812,0,1,0.389999985694885,0.959999978542328,0.959999978542328
"46",202111,1319.11682128906,85,31,5.55833339691162,1319.11682128906,1319.11682128906,0,1,0.28999999165535,0.28999999165535,0.28999999165535
"47",202116,1151.56665039062,65,27.8333339691162,6.05833339691162,1151.56665039062,1151.56665039062,0,1,0,0,1
"48",203772,1350.79431152344,78,31.0833339691162,5.78333330154419,1350.79431152344,1350.79431152344,0,1,0.170000001788139,0.170000001788139,0.230000004172325
