"","siteID","AllOut_1","COut_1","COut_all_1","DEM_1","LANDCVI_binary_1","LANDCVI_multiple_1","MGVF_1","MOut_1","MOut_all_1","Relief_1","SLOPE_1","WC_Prec_1","WC_Temp_1","mean_ptemp","mean_pprec","mean_pDEM","mean_psed"
"1",1447,0.419999986886978,0,0.129999995231628,826.456420898438,NA,1,90.75,0.28999999165535,0.28999999165535,307.753234863281,0.154719695448875,39.4135284423828,2.26833462715149,25.5648210572033,4.41926539234999,686.829268292683,3597.14634146341
"2",1448,0.360000014305115,0,0.119999997317791,705.311279296875,NA,3,97,0.239999994635582,0.239999994635582,444.977508544922,0.141662552952766,39.2029304504395,2.22263550758362,26.9992455754961,6.8864327115672,897.857142857143,4486.53571428571
"3",1530,0.800000011920929,0.560000002384186,0.569999992847443,1363.46228027344,NA,3,95.25,0.790000021457672,0.790000021457672,1460.43249511719,0.258570194244385,49.7465286254883,2.26528406143188,26.016753938463,5.634079085456,795.555555555556,4071.66666666667
"4",1619,0.170000001788139,0.109999999403954,0.129999995231628,671.213256835938,NA,1,42.0000076293945,0.0399999991059303,0.0599999986588955,273.704071044922,0.0630411058664322,39.9841842651367,2.45625638961792,28.9707841873169,2.80776399374008,60,2861.33333333333
"5",1703,0.0500000007450581,0,0.0299999993294477,755.893920898438,NA,1,92.75,0.0199999995529652,0.0500000007450581,227.837554931641,0.0625346153974533,36.4984359741211,2.73754453659058,29.2424740791321,3.3534255027771,440,3799
"6",1706,1,0.610000014305115,1,654.070495605469,NA,1,82.0000076293945,0,0.389999985694885,204.751342773438,0.0316856503486633,32.1091079711914,2.20399188995361,30.590705871582,3.43778208891551,613.333333333333,4228
"7",1785,0.25,0,0,907.862854003906,NA,1,88.5000076293945,0.25,0.25,331.094696044922,0.166625931859016,34.2514419555664,3.29515814781189,28.7421010335286,2.72836955388387,-20,2815
"8",1786,0.170000001788139,0,0.0399999991059303,865.446166992188,NA,1,88.25,0.129999995231628,0.170000001788139,289.677520751953,0.0730009824037552,31.5264530181885,3.32338762283325,29.3473450155819,2.87944875324474,88.187134502924,3360.72815533981
"9",1788,1,0.170000001788139,1,756.711608886719,NA,1,81.75,0,0.8299999833107,149.316131591797,0.0163369122892618,27.5284900665283,2.8954029083252,30.1278322811784,2.88737415445262,451.034482758621,3899.86206896552
"10",1870,1,0.850000023841858,1,753.948059082031,NA,1,87.25,0,0.150000005960464,185.588287353516,0.0480313152074814,27.479305267334,4.68221282958984,29.0599675654032,2.57982139340762,344.864864864864,3609.48824082785
"11",1871,1,0.810000002384186,1,692.675415039062,NA,1,69.7500076293945,0,0.180000007152557,218.815475463867,0.0723277106881142,26.7156829833984,4.52275562286377,28.1824356576671,3.62168556710948,453.913043478261,3840.72093023256
"12",1951,0.810000002384186,0.129999995231628,0.200000002980232,1183.86206054688,NA,3,99.25,0.740000009536743,0.769999980926514,1201.90576171875,0.181896105408669,42.7021942138672,4.90039873123169,29.7867040634155,3.83644533157349,620,4228
"13",1952,1,0.72000002861023,0.930000007152557,929.643127441406,NA,1,85.2499923706055,0.0500000007450581,0.259999990463257,598.56982421875,0.1800187677145,33.0816535949707,5.62536001205444,28.8083085219065,3.7569092263778,567.5,4211.47916666667
"14",1953,1,0.889999985694885,1,848.218994140625,NA,1,84.2499923706055,0,0,326.199401855469,0.0669811517000198,30.0335655212402,5.64670038223267,28.1533558185284,2.71052697988657,360,3608
"15",1954,0.959999978542328,0.52999997138977,0.910000026226044,1104.982421875,NA,1,86.2500076293945,0.0500000007450581,0.430000007152557,650.60693359375,0.0613560490310192,29.6589126586914,4.40191793441772,28.399801310682,3.61834023091357,580.11090573013,3954.45101663586
"16",2034,0.0199999995529652,0.0199999995529652,0.0199999995529652,1595.60815429688,NA,3,97,0,0,1379.80358886719,0.103430017828941,51.9793510437012,2.80001330375671,28.566036605835,4.49725027084351,608,4228
"17",2035,0.610000014305115,0.419999986886978,0.550000011920929,1207.40490722656,NA,1,66.2500076293945,0.0799999982118607,0.109999999403954,1167.81359863281,0.261865496635437,29.6714000701904,5.79519033432007,28.5495197724323,4.48553640745124,619.183673469388,4228
