"","year","value","Data","group","rhat_threshold","lower95CI","upper95CI","new_bins","Target"
"53",1,0.697662970491594,"Mean detection (LL4)","occ.det",NA,0.598355844420909,0.785554166355106,80.75,"Ceratopsidae"
"54",2,0.54136717379457,"Mean detection (LL4)","occ.det",NA,0.463542412804625,0.618153462877791,74.95,"Ceratopsidae"
"55",3,0.677384788757258,"Mean detection (LL4)","occ.det",NA,0.566159924699121,0.775578778415377,69.75,"Ceratopsidae"
"56",4,0.765664781154869,"Mean detection (LL4)","occ.det",NA,0.682390446694825,0.838725097859088,66.75,"Ceratopsidae"
"57",1,0.948889531810324,"Mean occupancy","occ.det","Good (<1.1)",0.732142857142857,1,80.75,"Ceratopsidae"
"58",2,0.971959695969597,"Mean occupancy","occ.det","Good (<1.1)",0.857142857142857,1,74.95,"Ceratopsidae"
"59",3,0.82944008686583,"Mean occupancy","occ.det","Good (<1.1)",0.482142857142857,1,69.75,"Ceratopsidae"
"60",4,0.911815288671724,"Mean occupancy","occ.det","Good (<1.1)",0.660714285714286,1,66.75,"Ceratopsidae"
"61",4,0.354545454545455,"Naive occupancy","Naive",NA,NA,NA,66.75,"Tyrannosauridae"
"62",3,0.25,"Naive occupancy","Naive",NA,NA,NA,69.75,"Tyrannosauridae"
"63",2,0.324675324675325,"Naive occupancy","Naive",NA,NA,NA,74.95,"Tyrannosauridae"
"64",1,0.425925925925926,"Naive occupancy","Naive",NA,NA,NA,80.75,"Tyrannosauridae"
"65",1,0.110511285171278,"Mean detection (LL1)","occ.det",NA,0.0691037445596242,0.163581027098924,80.75,"Tyrannosauridae"
"66",2,0.0368907210987216,"Mean detection (LL1)","occ.det",NA,0.0256357871965522,0.0504055550715577,74.95,"Tyrannosauridae"
"67",3,0.0738250428858473,"Mean detection (LL1)","occ.det",NA,0.0420752640634941,0.118685752398008,69.75,"Tyrannosauridae"
"68",4,0.0873430373361749,"Mean detection (LL1)","occ.det",NA,0.0548652986817629,0.128669702966877,66.75,"Tyrannosauridae"
"69",1,0.253701837636673,"Mean detection (LL2)","occ.det",NA,0.157205771214161,0.369586930538947,80.75,"Tyrannosauridae"
"70",2,0.095418911587022,"Mean detection (LL2)","occ.det",NA,0.0631066634312609,0.134204650227691,74.95,"Tyrannosauridae"
"71",3,0.179145533869693,"Mean detection (LL2)","occ.det",NA,0.101112141722206,0.283414120660885,69.75,"Tyrannosauridae"
"72",4,0.207342953782758,"Mean detection (LL2)","occ.det",NA,0.132878572250928,0.298602859389441,66.75,"Tyrannosauridae"
"73",1,0.568773644141092,"Mean detection (LL4)","occ.det",NA,0.441064993262496,0.690478998475565,80.75,"Tyrannosauridae"
"74",2,0.293306372056056,"Mean detection (LL4)","occ.det",NA,0.223496303251446,0.368014898588123,74.95,"Tyrannosauridae"
"75",3,0.457755802816272,"Mean detection (LL4)","occ.det",NA,0.319897380178803,0.600670895680174,69.75,"Tyrannosauridae"
"76",4,0.505128420043331,"Mean detection (LL4)","occ.det",NA,0.395159537758829,0.617510504016005,66.75,"Tyrannosauridae"
"77",1,0.943679189347506,"Mean occupancy","occ.det","Good (<1.1)",0.732142857142857,1,80.75,"Tyrannosauridae"
"78",2,0.938397411169688,"Mean occupancy","occ.det","Good (<1.1)",0.732142857142857,1,74.95,"Tyrannosauridae"
"79",3,0.882401633020445,"Mean occupancy","occ.det","Good (<1.1)",0.517857142857143,1,69.75,"Tyrannosauridae"
"80",4,0.932278049233495,"Mean occupancy","occ.det","Good (<1.1)",0.642857142857143,1,66.75,"Tyrannosauridae"
