"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","mean_plat","counting_colls$Coll_count","mean_Cpre","mean_Ctemp"
"1",24105,22.657787322998,73.3333333333333,11.7569444179535,-10.8256944020589,30.06418800354,12.9622230529785,17.1019649505615,89.19,4,1.156536200142e-06,-9.49252929687498
"2",24106,18.7396278381348,73,NA,NA,18.7396278381348,18.7396278381348,0,NA,1,NA,NA
"3",24935,16.9546642303467,70,11.9166669845581,-10.6833333969116,16.9546642303467,16.9546642303467,0,NA,1,NA,NA
"4",24939,27.4666385650635,64,12.5833330154419,-10.6916666030884,27.4666385650635,27.4666385650635,0,NA,1,NA,NA
"5",25765,19.9244842529297,58,12.25,-10.4583339691162,19.9244842529297,19.9244842529297,0,88.97,1,3.44123441209376e-06,-9.0753234863281
"6",28252,118.069877624512,72,12.9166669845581,-10.2833337783813,118.069877624512,118.069877624512,0,NA,2,NA,NA
"7",28256,47.7793445587158,60.5,13.1666665077209,-9.92916679382324,48.2839050292969,47.2747840881348,1.00912094116211,NA,2,NA,NA
"8",138060,691.093444824219,90,47.4166679382324,1.40000009536743,691.093444824219,691.093444824219,0,72.08,1,9.14572319743456e-06,-2.55411376953123
"9",147275,717.510228937322,82.6818181818182,40.0416662042791,2.32651512189345,746.045104980469,701.410278320312,44.6348266601562,66.8436363636364,4,1.20552394946571e-05,-0.694982910156227
"10",148082,1040.52270507812,96,51.4166679382324,2.43333339691162,1040.52270507812,1040.52270507812,0,NA,1,NA,NA
"11",148921,849.426879882812,94,41.5,3.09166646003723,849.426879882812,849.426879882812,0,NA,3,NA,NA
"12",148925,683.442443847656,88.5,40.1250009536743,2.60208332538605,690.539245605469,681.076843261719,9.46240234375,67.3475,2,1.1981815305262e-05,-0.749533081054665
"13",148926,687.771606445312,92,41.4166679382324,3.07500004768372,687.771606445312,687.771606445312,0,NA,1,NA,NA
"14",148927,660.733947753906,92,42,2.875,660.733947753906,660.733947753906,0,NA,4,NA,NA
"15",148929,659.961303710938,95,42.1666679382324,2.70833349227905,659.961303710938,659.961303710938,0,66.83,4,1.19979868031805e-05,-0.576452636718727
"16",148931,644.512573242188,96,39.25,2.71666669845581,644.512573242188,644.512573242188,0,NA,1,NA,NA
"17",148933,633.429748535156,79,38.4166679382324,3.21666669845581,633.429748535156,633.429748535156,0,NA,1,NA,NA
"18",149755,690.030212402344,91,41.3333320617676,3.19166684150696,690.030212402344,690.030212402344,0,68.75,1,1.07376345113153e-05,-1.27399291992185
"19",149756,621.078063964844,94,42.5,3.375,621.078063964844,621.078063964844,0,67.32,2,1.19895066745812e-05,-0.864263916015602
"20",151411,835.455932617188,92,43.75,3.54999995231628,835.455932617188,835.455932617188,0,NA,1,NA,NA
"21",153075,1388.63549804688,92,52.25,1.53333342075348,1388.63549804688,1388.63549804688,0,67.01,2,1.20510567285237e-05,-0.532171630859352
"22",156437,674.596069335938,92,43.6666679382324,2.36666655540466,674.596069335938,674.596069335938,0,NA,1,NA,NA
"23",170609,642.45957438151,67.3333333333333,30.3749993642171,2.16388877232869,652.194580078125,640.512573242188,11.6820068359375,61.8033333333333,2,1.53982618940063e-05,1.5234313964844
"24",173891,813.795349121094,78,35.8333320617676,3.10833334922791,813.795349121094,813.795349121094,0,62.53,1,1.38713030537474e-05,2.34771118164065
"25",174721,800.531982421875,67,34.0833320617676,3.49999976158142,800.531982421875,800.531982421875,0,62.4,1,1.38713030537474e-05,2.34771118164065
"26",178089,580.051452636719,88,28.25,3.13333320617676,580.051452636719,580.051452636719,0,60.72,1,1.61427124112379e-05,2.20559082031252
"27",178897,761.083066742996,89.2413793103448,26.6896547120193,2.94712648720577,761.905517578125,758.924133300781,2.98138427734375,61.2524137931035,5,1.47338096212479e-05,2.01262817382815
"28",183032,713.072570800781,84,27.6666660308838,4.375,713.072570800781,713.072570800781,0,61.15,4,1.43068809848046e-05,2.68306884765627
"29",183862,701.729858398438,77,27.6666660308838,4.63333320617676,701.729858398438,701.729858398438,0,61.09,1,1.41103819260024e-05,3.0312438964844
"30",183863,721.139404296875,83,27.6666660308838,4.78333330154419,721.139404296875,721.139404296875,0,61.1,1,1.43068809848046e-05,2.68306884765627
"31",183864,667.238621567235,48.8636363636364,27.7575755552812,4.68964639576999,686.582092285156,639.776428222656,46.8056640625,61.0215625,29,1.43068809848046e-05,2.68306884765627
"32",183865,679.233264679604,46.6170212765957,27.790780006571,4.72535454973261,696.988159179688,652.441101074219,44.5470581054688,61.011914893617,19,1.43068809848046e-05,2.68306884765627
"33",183867,706.311231825087,61.7111111111111,27.0796298133002,4.8790740331014,723.588012695312,687.903442382812,35.6845703125,60.9513333333333,7,1.47443297464633e-05,3.38796386718752
"34",183868,753.227600097656,82,27.9166660308838,4.46666669845581,753.227600097656,753.227600097656,0,60.92,1,1.47443297464633e-05,3.38796386718752
"35",183869,685.939910888672,75.25,26.7291669845581,4.84999990463257,736.08544921875,662.058959960938,74.0264892578125,60.9275,3,1.47443297464633e-05,3.38796386718752
"36",184692,726.812072753906,94,27.6666660308838,4.40833330154419,726.812072753906,726.812072753906,0,60.875,3,1.45468957271078e-05,3.55135498046877
"37",184694,673.725614659926,61.8235294117647,27.7867647058824,4.72843116872451,699.013732910156,655.963623046875,43.0501098632812,60.9844117647059,16,1.47185974663658e-05,3.3464994542739
"38",184695,664.276540024021,52.8270142180095,27.7217614323042,4.94081760469771,710.189514160156,641.811096191406,68.37841796875,60.935,122,1.47443297464633e-05,3.38796386718752
"39",184696,674.257053388917,53.0645161290323,27.5794507713728,4.91675634623428,731.650024414062,641.780151367188,89.869873046875,60.9201086956522,100,1.47443297464633e-05,3.38796386718752
"40",184697,695.97978446853,60.6197183098592,28.0199528009119,4.65000006850337,780.565368652344,650.972595214844,129.5927734375,60.902,18,1.47443297464633e-05,3.38796386718752
"41",184706,697.818603515625,80,25.1666660308838,4.21666669845581,697.818603515625,697.818603515625,0,60.69,1,1.51391968756798e-05,3.0611511230469
"42",184709,625.058227539062,51,25.75,4.66666650772095,625.058227539062,625.058227539062,0,60.52,1,1.51391968756798e-05,3.0611511230469
"43",184710,660.194412231445,63.0625,25.6979162693024,4.63072940707207,730.135437011719,643.309631347656,86.8258056640625,60.53,5,1.51860402866077e-05,3.02203521728518
"44",185524,739.448403751149,93.8823529411765,27.8333332959343,4.35490198696361,753.261413574219,731.820678710938,21.4407348632812,60.7358823529412,14,1.47443297464633e-05,3.38796386718752
"45",185526,748.892395019531,84,28.6666660308838,4.54999971389771,748.892395019531,748.892395019531,0,60.85,1,1.47443297464633e-05,3.38796386718752
"46",185531,770.759948730469,83,26.0833339691162,4.29166698455811,770.759948730469,770.759948730469,0,60.67,1,1.47443297464633e-05,3.38796386718752
"47",186353,757.006469726562,90,27.9166660308838,4.53333330154419,757.006469726562,757.006469726562,0,60.84,1,1.43494617077522e-05,3.71474609375002
"48",186354,761.998962402344,87,28.1666660308838,4.47499990463257,761.998962402344,761.998962402344,0,60.6425,7,1.47443297464633e-05,3.38796386718752
"49",186355,761.110168457031,87,28.1666660308838,4.25,761.110168457031,761.110168457031,0,60.77,1,1.47443297464633e-05,3.38796386718752
"50",186356,762,73,28.25,4.26666688919067,762,762,0,60.75,1,1.47443297464633e-05,3.38796386718752
"51",187187,752.419738769531,79,27.3333339691162,4.68333339691162,752.419738769531,752.419738769531,0,60.66,1,1.47443297464633e-05,3.38796386718752
"52",187189,777.550048828125,84,26.9166660308838,4.44999980926514,777.550048828125,777.550048828125,0,60.56,1,1.47443297464633e-05,3.38796386718752
"53",187190,762.784423828125,82,26.25,4.59166669845581,762.784423828125,762.784423828125,0,60.51,5,1.47443297464633e-05,3.38796386718752
"54",187197,710.286173502604,76,26.4444446563721,4.49722226460775,731.020385742188,668.817749023438,62.20263671875,60.38,2,1.51391968756798e-05,3.0611511230469
"55",187198,785.404174804688,90,27.8333339691162,4.125,785.404174804688,785.404174804688,0,60.29,1,1.51391968756798e-05,3.0611511230469
"56",189673,748.27783203125,92,28,5.33333349227905,748.27783203125,748.27783203125,0,60.43,1,1.43494617077522e-05,3.71474609375002
"57",189674,725.7841796875,83,28,5.34999990463257,725.7841796875,725.7841796875,0,60.43,1,1.43494617077522e-05,3.71474609375002
"58",190509,736.613037109375,52,26.5833339691162,5.78333330154419,736.613037109375,736.613037109375,0,60.22,1,1.47443297464633e-05,3.38796386718752
"59",190513,693.816101074219,85,26.9166660308838,5.55833339691162,693.816101074219,693.816101074219,0,60.1,1,1.47443297464633e-05,3.38796386718752
"60",191334,714.912292480469,73,28,5.98333311080933,714.912292480469,714.912292480469,0,60.25,1,1.43494617077522e-05,3.71474609375002
"61",191336,739.951843261719,81,27.3333330154419,5.72083330154419,757.457275390625,722.446411132812,35.0108642578125,60.205,2,1.43494617077522e-05,3.71474609375002
