"","p(Int)","psi(Int)","p(LAND)","p(MGVF)","p(OUTa)","p(RAIN)","p(SEDf)","p(TEMP)","psi(PDEM)","psi(Ppre)","psi(Ptem)","df","logLik","AIC","delta","weight"
"120",0.437093269438456,1.77409056522168,"+",-0.420991986332314,-0.602239067671987,NA,-0.406546489437373,-0.0314958970883347,0.269171934467274,NA,NA,9,-171.116532526189,360.233065052378,4.04954459786399,0.00293862438475662
"480",0.224624163435955,1.94688343739976,"+",-0.476816073248255,-0.548661993438082,0.297851345402878,-0.398641204372716,NA,-0.00825563921910399,0.297805224958796,-0.767040652294063,11,-169.119238172283,360.238476344565,4.05495589005102,0.00293068425360593
"296",0.446801489983986,1.83060526760552,"+",-0.301675905846167,-0.438530114009354,NA,NA,-0.0667004911363707,NA,NA,-0.734669993635359,8,-172.139694551249,360.279389102498,4.09586864798354,0.00287134209805746
"390",0.0262643919085556,1.807570290498,"+",NA,-0.410146148198478,NA,NA,NA,NA,0.189769164773324,-0.716206251957894,7,-173.160165508754,360.320331017508,4.1368105629935,0.00281316052403439
"14",-0.0160307975871168,1.74683885692895,"+",NA,-0.340293471715067,0.182312290972239,NA,NA,NA,NA,NA,6,-174.165348923308,360.330697846616,4.14717739210118,0.00279861647331775
"47",-0.381918292213442,1.81762246829253,NA,-0.260280070165048,-0.168627256992822,0.557058408165088,NA,0.0242507261591807,NA,NA,NA,6,-174.165587719404,360.331175438808,4.14765498429387,0.00279794825441598
"59",-0.854653376871808,1.85558838668245,NA,-0.270044972053087,NA,0.724087567049581,-0.149810117053782,0.100698227423524,NA,NA,NA,6,-174.175057543232,360.350115086464,4.16659463195015,0.00277157723887581
"304",-0.355460708892791,1.87913237202703,"+",-0.307588785439628,-0.321228656615999,0.474532870930161,NA,0.0630960901954508,NA,NA,-0.814024203625846,9,-171.183336632474,360.366673264948,4.18315281043346,0.00274872582853359
"342",0.12486156199924,1.76209201217353,"+",NA,-0.504642068298884,NA,-0.258792244575015,NA,-0.00491759675017763,NA,-0.714569417209057,8,-172.191393258957,360.382786517914,4.19926606339999,0.00272666934097476
"316",-1.19842380563052,1.94742481239235,"+",-0.328647191336077,NA,0.75988108607118,-0.272272902904499,0.196012294859925,NA,NA,-0.850905958889131,9,-171.207325271493,360.414650542986,4.23113008847162,0.00268357223427958
"107",-0.83680596186976,1.99101632263316,NA,-0.235136257626906,NA,0.737498034720695,NA,0.0919710868999327,0.333220311968316,NA,NA,6,-174.208048798809,360.416097597617,4.23257714310313,0.00268163129870889
"326",0.0214621441743848,1.76734160027417,"+",NA,-0.396540234638521,NA,NA,NA,-0.104457574994133,NA,-0.772184655844794,7,-173.214408067186,360.428816134371,4.24529567985672,0.00266463219381524
"266",-0.205496569151898,1.95917780138925,"+",NA,NA,0.305425862114954,NA,NA,NA,NA,-0.776483126265542,6,-174.220344711161,360.440689422321,4.25716896780682,0.00264886008417825
"134",0.0377419027168006,1.78433564561155,"+",NA,-0.418669299517208,NA,NA,NA,NA,0.371588223648377,NA,6,-174.230722719218,360.461445438437,4.27792498392245,0.00262151234585742
"294",0.023077539116479,1.76787406503658,"+",NA,-0.401228877773626,NA,NA,-0.000103783198403729,NA,NA,-0.721811299030594,7,-173.23740976572,360.474819531441,4.29129907692663,0.00260404065301228
"95",-0.166133093763728,1.80975147915158,NA,-0.347918216596166,-0.29062488683501,0.563387440692287,-0.222484530647644,NA,0.337013940068881,NA,NA,7,-173.240041940963,360.480083881926,4.29656342741134,0.00259719537461371
"302",-0.850230979345936,1.85148854364558,"+",NA,-0.26344893492555,0.483241135270566,NA,0.13978513679095,NA,NA,-0.813372218966727,8,-172.247753807829,360.495507615659,4.31198716114426,0.00257724318286618
"86",0.132353946354207,1.73004667084189,"+",NA,-0.510569166196579,NA,-0.27005082031763,NA,0.249665629588194,NA,NA,7,-173.248083456696,360.496166913392,4.31264645887785,0.00257639373758852
"91",-0.267412847105866,1.95412452769465,NA,-0.335903569581987,NA,0.576012305480613,-0.125021982977996,NA,0.305642834350673,NA,NA,6,-174.252197672346,360.504395344691,4.32087489017675,0.00256581567329405
