"","p(Int)","psi(Int)","p(LAND)","p(MGVF)","p(OUTa)","p(RAIN)","p(SEDf)","p(TEMP)","psi(PDEM)","psi(Ppre)","psi(Ptem)","df","logLik","AIC","delta","weight"
"335",-0.809272540127263,1.54399498109532,NA,0.312303073008507,0.148352380458472,-0.273508985922104,NA,NA,-0.453997483066769,NA,0.477531663708996,7,-267.583754524518,549.167509049037,4.95856774846061,0.00278639183275744
"59",-0.36028230164609,1.51082747133547,NA,0.225347406017779,NA,-0.206917388052485,-0.0043176161149072,-0.0585280711753032,NA,NA,NA,6,-268.585749888819,549.171499777639,4.96255847706243,0.00278083750925829
"279",-0.7609075666145,1.47399683595889,NA,0.183398423003782,0.132632840097257,NA,-0.101616608673011,NA,NA,NA,0.400106051550362,6,-268.591928762287,549.183857524573,4.97491622399718,0.00276370804106157
"77",-0.789487185296887,1.53242908708433,NA,NA,0.100887059954072,-0.0159436888679205,NA,NA,-0.254354534360529,NA,NA,5,-269.608740271287,549.217480542574,5.00853924199828,0.00271763430807709
"203",-0.801072366862558,1.55881831673471,NA,0.264437524576619,NA,-0.250606724360534,NA,NA,-0.389781932771559,0.218658153757059,NA,6,-268.63375972894,549.26751945788,5.05857815730337,0.0026504841052353
"395",-0.784339061717235,1.47202632175703,NA,0.275930848139592,NA,-0.220171926359857,NA,NA,NA,-0.0670084705846678,0.262770792410669,6,-268.639319929491,549.278639858981,5.06969855840509,0.00263578777718141
"277",-0.775206492513876,1.46205341358965,NA,NA,0.101150089953702,NA,0.0611176025768111,NA,NA,NA,0.0973542071439879,5,-269.64741423669,549.294828473379,5.08588717280315,0.00261453901422318
"391",-0.765805407662878,1.46352360971162,NA,0.176565765353139,0.140434550827338,NA,NA,NA,NA,0.0370830590649131,0.253932844166186,6,-268.647959071024,549.295918142048,5.08697684147148,0.00261311491158546
"209",-0.774947278254461,1.53691115668061,NA,NA,NA,NA,0.100921007672573,NA,-0.458429678466431,0.25236771381135,NA,5,-269.649019768117,549.298039536235,5.08909823565853,0.00261034465765358
"269",-0.770270049139239,1.4580593703925,NA,NA,0.0984230994073108,0.0299956235286072,NA,NA,NA,NA,0.220235753417011,5,-269.653963275062,549.307926550125,5.09898524954883,0.00259747224435643
"389",-0.773913079818881,1.45425471862821,NA,NA,0.0924831461838594,NA,NA,NA,NA,-0.0829872421057173,0.231795663567719,5,-269.655496734376,549.310993468753,5.10205216817667,0.00259349217876493
"149",-0.775914059632466,1.4694261220913,NA,NA,0.103414296680994,NA,0.0804505920636291,NA,NA,-0.0279556084536637,NA,5,-269.658748220532,549.317496441063,5.10855514048706,0.0025850731694155
"29",-0.775642973133509,1.47155227900988,NA,NA,0.104823667173485,0.00542645935474236,0.0781307748410371,NA,NA,NA,NA,5,-269.661163342123,549.322326684247,5.11338538367067,0.0025788374364453
"91",-0.794027384442617,1.51817272615952,NA,0.252754544254102,NA,-0.248234126215003,0.0554677143918999,NA,-0.236381903418813,NA,NA,6,-268.668432430446,549.336864860891,5.12792356031491,0.00256015960699146
"4",-0.587928415553125,1.33755083787972,"+",0.151888110158815,NA,NA,NA,NA,NA,NA,NA,6,-268.705361828942,549.410723657884,5.20178235730759,0.00246733890763002
"89",-0.777840239064712,1.51216920481886,NA,NA,NA,-0.0511093058791656,0.10529414008255,NA,-0.298400376261536,NA,NA,5,-269.713165816411,549.426331632822,5.21739033224617,0.00244815876385591
"199",-0.783590174753242,1.54461297944306,NA,0.152562210811943,0.152208030567186,NA,NA,NA,-0.331592629493299,0.274510910106509,NA,6,-268.729046405299,549.458092810598,5.24915151002233,0.00240958763770397
"16",-0.601814794767172,1.45550981502261,"+",0.415768450031131,0.195841809076877,-0.334871324330646,NA,NA,NA,NA,NA,8,-266.730158605322,549.460317210644,5.25137591006796,0.00240690918404255
"303",-0.455837856941759,1.55326102550721,NA,0.290829969615922,0.150358595508061,-0.233197273106912,NA,-0.0477910499145765,NA,NA,0.244496845202634,7,-267.731812763255,549.463625526509,5.25468422593292,0.00240293106724683
"111",-0.261181182846568,1.68591748065264,NA,0.277522482071248,0.152497748912842,-0.21063625440249,NA,-0.0752224357236259,0.483091915288226,NA,NA,7,-267.732535531172,549.465071062343,5.25612976176717,0.00240119493325092
"109",0.131278317906244,1.63436476110073,NA,NA,0.10825996496403,0.0144230665200682,NA,-0.123886632701199,0.515249633674455,NA,NA,6,-268.741465858008,549.482931716016,5.27399041543981,0.00237984694184586
"229",0.134898238770131,1.63665948740482,NA,NA,0.106321915218518,NA,NA,-0.124823177323207,0.528149680727595,-0.0281166477051229,NA,6,-268.74501953866,549.49003907732,5.2810977767441,0.00237140473515131
"117",0.136016625051011,1.64023389647049,NA,NA,0.107181424440113,NA,0.000591582640366198,-0.12505726687798,0.505310575475252,NA,NA,6,-268.746286280789,549.492572561579,5.2836312610026,0.00236840267868494
"207",-0.832157208452745,1.67525427939005,NA,0.323956420205216,0.171278700813964,-0.279213793172391,NA,NA,-0.486779150843036,0.342668908313338,NA,7,-267.752958516081,549.505917032162,5.29697573158569,0.00235265274082379
"141",-0.777395422718519,1.4763030363538,NA,NA,0.102577795149907,0.018713689755743,NA,NA,NA,-0.00660992538498595,NA,5,-269.765164214656,549.530328429312,5.32138712873552,0.00232411150779782
"8",-0.593913822000848,1.39322766141586,"+",0.202493205550556,0.178973976063668,NA,NA,NA,NA,NA,NA,7,-267.779356490442,549.558712980885,5.34977168030866,0.00229136003502096
"421",0.0135303141334191,1.53216488389114,NA,NA,0.105863031694635,NA,NA,-0.107522051682106,NA,0.128409622154095,0.213872319772362,6,-268.78265919971,549.56531839942,5.35637709884372,0.00228380482220136
"151",-0.773672509216635,1.48881337262174,NA,0.171328134261303,0.148562476647804,NA,0.0119876219038081,NA,NA,0.0902679222945374,NA,6,-268.787191175974,549.574382351949,5.3654410513725,0.00227347809088016
"287",-0.803511657065343,1.56951305069677,NA,0.352428146698749,0.152278502315411,-0.258542091190173,-0.154734444975594,NA,NA,NA,0.438014357389359,7,-267.788377021724,549.576754043448,5.36781274287137,0.00227078369443469
"155",-0.789266570772011,1.48598139287984,NA,0.273887642295161,NA,-0.230199475669623,0.0135747743644994,NA,NA,-0.00890287668599531,NA,6,-268.789316368849,549.578632737698,5.36969143712201,0.0022686516418246
"227",-0.0453046825097259,1.58603134303194,NA,0.102694177933603,NA,NA,NA,-0.0971119313511935,0.635797235050997,-0.106248106007377,NA,6,-268.792241214815,549.58448242963,5.37554112905354,0.00226202587961269
"307",-0.238357673441887,1.45643834556272,NA,0.106572354472806,NA,NA,-0.101500949586202,-0.0690137604879088,NA,NA,0.4105464897745,6,-268.792916780697,549.585833561394,5.37689226081761,0.00226049824817009
"115",-0.0413969142838514,1.59394447984022,NA,0.104790751059099,NA,NA,-0.0218126457147906,-0.0977314874526078,0.557086669108593,NA,NA,6,-268.798671488959,549.597342977917,5.38840167734111,0.00224752709861319
"175",-0.423101950969664,1.60164932891287,NA,0.288673005906232,0.158274841901077,-0.233844497947916,NA,-0.0534128051165359,NA,0.140657978559727,NA,7,-267.801548069555,549.60309613911,5.39415483853429,0.00224107119568528
"355",-0.0438093634054031,1.58783256870229,NA,0.101849691606521,NA,NA,NA,-0.0974337316243719,0.519819399696661,NA,0.0376813585387003,6,-268.811093943868,549.622187887736,5.41324658715939,0.00221977999496634
"309",-0.0278028960723565,1.4969170897888,NA,NA,0.0982479774998627,NA,-0.0332482185796081,-0.101147656697745,NA,NA,0.287978458679983,6,-268.811579537127,549.623159074255,5.41421777367839,0.00221870234643382
"87",-0.770790219524346,1.46802526662963,NA,0.15600959274963,0.14303024448783,NA,0.0290524800514311,NA,-0.0588322237675171,NA,NA,6,-268.814983979269,549.629967958538,5.42102665796165,0.00221116174571842
"301",-0.0278637513849218,1.49906367616802,NA,NA,0.100142425555264,-0.00759270494037834,NA,-0.101611984753594,NA,NA,0.238912562380997,6,-268.823168918752,549.646337837504,5.43739653692808,0.00219313738541699
"357",-0.0979307386236061,1.47823393516677,NA,NA,0.0991354744491626,NA,NA,-0.0916364575034563,-0.102563195746915,NA,0.287408517059165,6,-268.831572394047,549.663144788094,5.45420348751816,0.00217478463104239
"201",-0.782940061126028,1.54075547531604,NA,NA,NA,-0.0343102877675313,NA,NA,-0.44537263477992,0.222402334882832,NA,5,-269.836655920237,549.673311840475,5.46437053989871,0.00216375710950752
"12",-0.591505266775418,1.39912562029905,"+",0.335994981182143,NA,-0.29866475053756,NA,NA,NA,NA,NA,7,-267.855526419588,549.711052839176,5.50211153859993,0.00212330877281623
"63",-0.490411957206734,1.56649791756205,NA,0.293572741608942,0.154908745870113,-0.242457992790916,-0.00144083023223781,-0.0439038492286334,NA,NA,NA,7,-267.858427063954,549.716854127909,5.50791282733258,0.00211715873303759
"419",-0.179002690336099,1.46267733666478,NA,0.0964412992549511,NA,NA,NA,-0.0779245592794758,NA,0.0861560141706445,0.277752824775875,6,-268.86300618152,549.726012363041,5.51707106246477,0.0021074861770798
