Tyranno,name,value
1,psi(Int),0.677451069
2,psi(Ppre),-0.492121737
3,p(Int),-1.047974358
4,p(OUTa),-0.207595235
5,psi(Plat),-0.026941342
6,psi(PDEM),-0.257691306
7,p(RELI),-0.126593928
8,psi(Ptem),-0.407197345
9,p(TEMP),-0.048758056
10,p(COLL),-0.067431233
11,p(MGVF),-0.073209952
12,p(RAIN),0.009186825
