Hadro,name,value
1,psi(Int),135.0630248
2,psi(PDEM),60.33973651
3,psi(Ppre),-73.94849294
4,psi(Ptem),67.37581003
5,p(Int),-0.718684977
6,p(MGVF),0.141199311
7,p(OUTa),0.171827945
8,p(TEMP),-0.055112766
9,p(RAIN),-0.098166172
10,p(RELI),0.022589933
11,p(COLL),-0.02864107
12,psi(Plat),33.90857234
