"","Estimate","5%","95%","SD","Bin"
"null.occ.prob",0.657628523333735,0.478734908708437,0.800687927742569,NA,"S.1"
"null.det.prob",0.235468788626028,0.177895574580725,0.30476726304805,NA,"S.1"
"PAO",0.654947195276662,0.25,1,NA,"S.1"
"mean.det.prob",0.240288763624935,NA,NA,0.0397175073033481,"S.1"
