"","Estimate","5%","95%","SD","Bin"
"null.occ.prob",0.77200129344686,0.67653928209294,0.845714846380435,NA,"S.1"
"null.det.prob",0.458241093796228,0.41015848313355,0.507114269521141,NA,"S.1"
"PAO",0.770289715896733,0.459876543209877,0.993827160493827,NA,"S.1"
"mean.det.prob",0.464265806970043,NA,NA,0.107866060904597,"S.1"
