"","Estimate","5%","95%","SD","Bin"
"null.occ.prob",0.999900216692189,2.6953244277072e-178,1,NA,"S.1"
"null.det.prob",0.272477897865396,0.242747413060856,0.304385986632695,NA,"S.1"
"PAO",0.96072276154076,0.959876543209877,0.969135802469136,NA,"S.1"
"mean.det.prob",0.282549147085068,NA,NA,0.0472326935209417,"S.1"
