Cera,name,value
1,psi(Int),1.180997072
2,psi(Ppre),-0.333678902
3,p(Int),-1.43305697
4,p(RELI),-0.109315667
5,p(TEMP),0.190277858
6,psi(PDEM),-0.131569135
7,p(RAIN),0.140950041
8,psi(Ptem),0.284620856
9,psi(Plat),-0.044401175
10,p(MGVF),0.106575721
11,p(COLL),-0.009413191
12,p(OUTa),-0.001117968
