"","name","value","2.5 %","97.5 %"
"1","p(Int)",0.157428090140524,-0.573401665933906,0.888257846214955
"2","p(LAND2)",0.173498381696764,-0.575833778151826,0.922830541545355
"3","p(LAND3)",-0.253983358533128,-1.72200389465358,1.21403717758733
"4","p(LAND4)",4.78750948039946,-105.543589463608,115.118608424407
"5","p(MGVF)",-0.0647187850522707,-0.402173978822215,0.272736408717673
"6","p(OUTa)",0.189456299966928,-0.0542102789975054,0.433122878931362
"7","p(RAIN)",-0.064324956843614,-0.387012745642092,0.258362831954864
"8","p(SEDf)",0.2118925927205,-0.125328817892219,0.549114003333219
"9","p(TEMP)",-0.165871060072458,-0.278389444791494,-0.0533526753534211
"10","psi(Int)",16.7137879821285,-107.559495234,140.987071198257
"11","psi(PDEM)",13.3414580259594,-57.1619143473854,83.8448303993041
"12","psi(Ppre)",2.62348588667207,-1.61982303354497,6.8667948068891
"13","psi(Ptem)",18.7813163767643,-85.4526438791524,123.015276632681
