"","name","value","2.5 %","97.5 %"
"1","p(Int)",-1.16012220268663,-2.46162340170687,0.141378996333609
"2","p(LAND2)",-0.371150570182149,-1.32996086335782,0.587659722993526
"3","p(LAND3)",0.0594257200922395,-1.00305056273283,1.12190200291731
"4","p(MGVF)",0.176016229403755,-0.342369193762865,0.694401652570374
"5","p(OUTa)",0.14994145879701,-0.192840231042635,0.492723148636656
"6","p(RAIN)",0.655761114031711,0.173990847621302,1.13753138044212
"7","p(SEDf)",-0.202644404455695,-0.765394502097268,0.360105693185877
"8","p(TEMP)",-0.137409403331249,-0.329690955899085,0.0548721492365875
"9","psi(Int)",18.6994730997829,-94.2282087609331,131.627154960499
"10","psi(PDEM)",30.0928247312462,-191.5857774841,251.771426946592
"11","psi(Ppre)",-10.6520742231373,-167.758429189871,146.454280743596
"12","psi(Ptem)",3.09860151434545,-66.7525690921572,72.9497721208481
