"","Parameter","Estimate","2.5%","97.5%","SE","Bin","Target","Res"
"1","Naive Occupancy",0.490196078431373,NA,NA,NA,"teyeo","Tyrannosauridae",1
"2","Null.occ.prob",0.769413510066904,0.4734041364484,0.925289707381896,NA,"teyeo","Tyrannosauridae",1
"3","Null.det.prob",0.203148131057287,0.143160660085456,0.280056005656531,NA,"teyeo","Tyrannosauridae",1
"4","PAO",0.902077939522097,0.901960784313726,0.901960784313726,NA,"teyeo","Tyrannosauridae",1
"5","Det.prob",0.194311819465204,NA,NA,0.0583851009067643,"teyeo","Tyrannosauridae",1
"6","Occ.prob",0.845796668962275,NA,NA,0.17499067284478,"teyeo","Tyrannosauridae",1
