"","cells","mean_max_ptemp","mean_min_ptemp","mean_max_pprec","mean_min_pprec","mean_PDEM","plat"
"1",5886,21.3703193664551,-18.8712520599365,2.16475057601929,1.16712212562561,360,64.1489
"2",6056,21.6729221343994,-18.6853815714518,2.17669868469238,1.22128311793009,320,63.2210666666667
"3",6557,22.6418647766113,-17.0224242210388,2.00615274906158,1.20867550373077,240,61.4658375
"4",6889,23.0642013549805,-15.2268562316895,2.05879306793213,1.20281875133514,320,60.4359
"5",6890,23.2689841775333,-15.5817990022547,1.94977946141187,1.23485506983364,240,60.3473705882353
"6",6892,23.6430187225342,-16.2460622787476,1.82244175672531,1.21414250135422,280,60.2328
"7",7056,23.5097439629691,-14.9771240779332,1.94319345269884,1.22339917932238,245.714285714286,59.9084857142857
"8",7057,23.6045670185274,-14.9610822779461,1.92390931347041,1.21932861122113,240,59.8141082524272
"9",7058,23.9386501312256,-14.9675092697144,1.84898138046265,1.21838629245758,240,59.5511
"10",7059,24.1549015045166,-15.9696655273438,1.751180768013,1.18412911891937,280,59.7184
"11",7222,23.7652397155762,-14.5266284942627,1.93748164176941,1.17324459552765,320,59.5687
"12",7223,23.9623592495918,-14.7442502975464,1.86939500272274,1.19447758793831,270,59.4579125
"13",7389,24.3298597335815,-13.9214420318604,1.87207037210464,1.09921783208847,320,58.86995
"14",7391,24.9781532287598,-14.7204258441925,1.67247158288956,1.17254516482353,250,58.6492
"15",7554,24.6512050628662,-13.3898305892944,1.84645044803619,1.03328275680542,320,58.3065
"16",7566,26.5350437164307,-16.067554473877,1.5843334197998,1.01029860973358,160,57.2127
"17",7717,22.6460247039795,-11.6693258285522,2.63879370689392,1.00186216831207,480,58.2828
"18",7718,24.3306932449341,-12.2436501979828,1.990428596735,0.891644760966301,400,58.018725
"19",7719,24.4425106048584,-12.3231163024902,1.96049773693085,0.900484025478363,400,57.9206
"20",7720,24.7003580729167,-13.0059480667114,1.8630385796229,0.985417326291402,360,58.1373666666667
"21",7721,24.8728047963735,-13.129320531278,1.81791178600208,0.999587271664594,320,58.0335135135135
"22",7729,26.9824683540746,-14.6281398973967,1.51187244841927,1.00854984710091,200,56.8428894736842
"23",7731,26.8168430328369,-15.6088743209839,1.53781354427338,1.01429545879364,200,57.0239
"24",7735,27.0369243621826,-15.3957109451294,1.61239469051361,0.958136439323425,240,56.31705
"25",7886,25.0967029571533,-12.4695356369019,1.81367082595825,0.916009080410004,344,57.51242
"26",7887,25.366605758667,-12.0473642349243,1.83946883678436,0.896001517772675,320,57.1863
"27",7894,26.9383355140686,-14.4514666080475,1.51204456686974,1.01328929960728,200,56.88047
"28",7896,27.2778047079063,-14.5105137652661,1.49384778378958,0.983918195747467,200,56.5564722891566
"29",7898,27.3036861419678,-14.9792699813843,1.50802850723267,0.973562717437744,160,56.4478
"30",7899,27.5950393676758,-14.5843067169189,1.51972079277039,0.945510268211365,160,55.95446
"31",7900,27.2797501881917,-15.0340444928124,1.55978640488216,0.957626234917414,120,56.1974666666667
"32",8052,25.1006450653076,-11.9385499954224,1.88328468799591,0.874326765537262,320,57.2107
"33",8053,25.5036256790161,-11.9352255821228,1.84007079601288,0.89428933262825,320,57.00759
"34",8054,25.9425277709961,-11.8496513366699,1.79870533943176,0.902690052986145,320,56.772
"35",8057,27.1486148834229,-13.067590713501,1.49703276157379,0.99761176109314,240,56.6949
"36",8064,27.6769618988037,-14.475733757019,1.47301244735718,0.949878990650177,160,56.0472
"37",8219,25.7528324127197,-11.2586441040039,1.91017711162567,0.859901547431946,320,56.5898285714286
"38",8232,28.5225620269775,-13.2875947952271,1.43556475639343,0.895766496658325,160,54.931
"39",8233,28.2371139526367,-13.6352863311768,1.50465607643127,0.910886347293854,120,55.0716
"40",8234,28.2952690124512,-13.4039793014526,1.546666264534,0.919949531555176,120,54.7684
"41",8396,28.881737176626,-12.5514757092014,1.41646855521056,0.891618384356879,160,54.6483748466258
"42",8397,28.8701319903862,-12.6541960692987,1.41740654561578,0.900845214506475,160,54.6190126829268
"43",8398,28.6908040037746,-12.879363333754,1.46846857214063,0.912285126619894,168.405253283302,54.5732485928705
"44",8399,28.5181245803833,-13.1056380271912,1.50270944833755,0.915175050497055,140,54.61655
"45",8401,28.3220882415771,-13.1353063583374,1.60469782352448,0.927347362041473,200,54.3358
"46",8560,29.0062965393066,-11.7752981185913,1.44848165512085,0.854787993431091,160,54.66412
"47",8562,29.0435767051501,-12.1197278683002,1.45408231172806,0.901172709770692,198.974358974359,54.3548205128205
"48",8563,29.1112785339355,-12.0295391082764,1.47088754177094,0.919825613498688,200,54.1269
"49",8564,28.8112564086914,-12.6689796447754,1.46406507492065,0.916476786136627,200,54.436
"50",8567,28.7850174676804,-12.2685257593791,1.58764543987456,0.931883275508881,200,53.7223333333333
"51",8568,28.4831161499023,-12.7843465805054,1.60693359375,0.926127970218658,200,54.0241
"52",8721,28.4702243804932,-10.016209602356,1.71170282363892,0.782772064208984,200,54.6819
"53",8735,29.0387325286865,-11.5380360285441,1.61620803674062,0.916284302870432,240,52.9769
"54",8740,28.4986267089844,-12.2458009719849,1.71730065345764,0.906781554222107,120,52.8512
"55",8742,28.6594524383545,-12.0705051422119,1.73048603534698,0.882292926311493,200,52.3932
"56",8887,28.2363224029541,-8.88046073913574,1.97297191619873,0.721192836761475,200,53.9622
"57",8889,29.6520137786865,-9.7961368560791,1.58862662315369,0.764169692993164,200,53.8866
"58",8894,29.5825843811035,-10.7450065612793,1.5661712884903,0.896742641925812,240,53.43
