"","siteID","AllOut_0.5","COut_0.5","COut_all_0.5","DEM_0.5","LANDCVI_binary_0.5","LANDCVI_multiple_0.5","MGVF_0.5","MOut_0.5","MOut_all_0.5","Relief_0.5","SLOPE_0.5","WC_Prec_0.5","WC_Temp_0.5","mean_ptemp","mean_pprec","mean_pDEM","mean_psed"
"1",5881,0.560000002384186,0,0,781.525207519531,NA,3,94.5,0.560000002384186,0.560000002384186,206.38215637207,0.165332838892937,39.6634254455566,2.56017374992371,23.0968571980794,2.40718483924866,381.333333333333,4038.4
"2",5882,0.600000023841858,0,0,788.513549804688,NA,1,96.75,0.600000023841858,0.600000023841858,236.761611938477,0.122823633253574,40.5250244140625,2.20988440513611,26.7398380132822,2.74618481672727,468.846153846154,4434
"3",5883,0.5799999833107,0,0,690,NA,4,67.5000228881836,0.5799999833107,0.5799999833107,415.1533203125,0.162746429443359,39.3708801269531,2.30882859230042,26.3651358400072,3.89153888395854,855.357142857143,4416.33928571429
"4",6047,1,0.870000004768372,0.870000004768372,923.835815429688,NA,3,96.5,1,1,765.123596191406,0.356043756008148,45.2921752929688,2.93393301963806,25.6594918568929,3.88581864039103,836.666666666667,4434
"5",6048,1,0.490000009536743,0.490000009536743,775.054016113281,NA,3,96.75,1,1,683.209838867188,0.270123422145844,46.442985534668,2.97525930404663,23.1928634643555,2.18351173400879,340,4434
"6",6557,0.170000001788139,0,0,735.420593261719,NA,1,96.75,0.170000001788139,0.170000001788139,254.362167358398,0.087174728512764,41.4235877990723,2.6854305267334,25.3637509346008,2.1438265144825,215,4434
"7",6892,0,0,0,822.983032226562,NA,1,85.4999923706055,0,0,193.710540771484,0.0782323777675629,34.7148399353027,2.80063199996948,30.4233684539795,2.00241285562515,305,4434
"8",7056,0.360000014305115,0,0,916.645751953125,NA,1,93,0.360000014305115,0.360000014305115,189.070449829102,0.108838088810444,34.7360877990723,3.1654953956604,25.1625717163086,2.18350417613983,216,4434
"9",7057,0.170000001788139,0,0,829.37744140625,NA,1,82.75,0.170000001788139,0.170000001788139,176.419586181641,0.0687960088253021,32.8781929016113,3.15306258201599,26.4330106482786,1.93920467618634,210.220588235294,4434
"10",7058,0.0799999982118607,0,0,830.659790039062,NA,1,80.25,0.0799999982118607,0.0799999982118607,250.878128051758,0.0500325560569763,31.7154865264893,3.00353455543518,31.9962844848633,2.6991138458252,410,4434
"11",7223,0.209999993443489,0,0,889.964782714844,NA,1,86,0.209999993443489,0.209999993443489,297.660400390625,0.108705051243305,31.4849758148193,3.55694699287415,26.0292202830315,1.9834796115756,210,4434
"12",7391,1,0.759999990463257,1,718.403930664062,1,2,89.5,0,0.239999994635582,107.520576477051,0.00789243448525667,27.8302307128906,4.38689804077148,29.8710374832153,2.10422086715698,302.5,4434
"13",7718,0.5799999833107,0.230000004172325,0.389999985694885,1498.27160644531,NA,1,97.5000076293945,0.419999986886978,0.419999986886978,806.090515136719,0.594227433204651,49.9637489318848,3.1731550693512,29.6615858078003,1.99100118875504,245,4434
"14",7720,0.990000009536743,0,0.0500000007450581,942.661071777344,NA,3,90.5,0.930000007152557,0.990000009536743,261.059753417969,0.250485152006149,35.3730773925781,5.55826854705811,32.490956624349,1.90258065859477,283.333333333333,4434
"15",7721,1,0.5799999833107,0.990000009536743,886.781066894531,NA,1,98,0.00999999977648258,0.419999986886978,191.705673217773,0.181064397096634,32.0373840332031,5.8222451210022,29.7130029008195,1.54094560404082,192.162162162162,4434
"16",7735,0.8299999833107,0,0.270000010728836,704.794250488281,NA,1,80.75,0.560000002384186,0.8299999833107,132.435211181641,0.120842330157757,31.1325931549072,4.64020824432373,24.064151763916,2.37213063240051,440,4434
"17",7886,1,0.119999997317791,0.150000005960464,1115.11279296875,NA,1,95.75,0.97000002861023,1,413.213104248047,0.365274846553802,39.5439567565918,5.07184505462646,30.8980193138123,2.04549813270569,247.5,4434
"18",8053,0.72000002861023,0.389999985694885,0.519999980926514,1288.67199707031,NA,1,85.7499923706055,0.280000001192093,0.409999996423721,260.321411132812,0.375703185796738,30.5011577606201,5.47783088684082,29.4012084960938,1.51510812044144,198,4434
"19",8396,0.879999995231628,0,0.430000007152557,887.358703613281,1,2,75.5,0.449999988079071,0.879999995231628,275.830596923828,0.0921251475811005,26.4310646057129,6.74605321884155,28.8913470826498,2.44043643663569,343.567073170732,4434.28963414634
"20",8397,0.689999997615814,0,0.340000003576279,685,1,4,0,0.349999994039536,0.689999997615814,174.030609130859,0.102452717721462,26.2569217681885,7.02686595916748,28.9470131737845,1.8505582116899,267.238095238095,4430.58571428571
"21",8398,0.600000023841858,0,0.0799999982118607,699.938049316406,1,2,65,0.519999980926514,0.600000023841858,180.05256652832,0.0745882540941238,25.5336799621582,6.84264373779297,30.2960192314932,2.30981707595219,346.373831775701,4432.15140186916
"22",8399,0.170000001788139,0,0,783.166320800781,1,2,76.7500076293945,0.170000001788139,0.170000001788139,217.875839233398,0.0506596863269806,27.6193523406982,6.8276686668396,29.6904697418213,2.15728050470352,300,4434
"23",8562,0.25,0,0.0299999993294477,887.451843261719,1,2,68.2500076293945,0.219999998807907,0.25,226.936645507812,0.0592619106173515,26.8087501525879,6.67457866668701,25.5282119029277,1.88943322606989,223.513513513514,4442.81081081081
"24",8567,0.119999997317791,0,0.0199999995529652,726.127868652344,1,2,63.0000076293945,0.100000001490116,0.119999997317791,248.988082885742,0.043542169034481,29.6263427734375,9.06861591339111,31.0639525822231,2.20512557029724,352.857142857143,4434
"25",8735,0,0,0,853.028442382812,1,2,89,0,0,203.109451293945,0.110311351716518,31.6086349487305,6.99983549118042,28.0734844207764,2.76683489481608,400,4434
"26",8740,0,0,0,614.139587402344,NA,1,94.5,0,0,174.872085571289,0.114434063434601,35.7586555480957,5.63634490966797,24.7459926605225,1.81701791286469,210,4434
"27",8887,0.0500000007450581,0,0.0500000007450581,1706.91467285156,NA,1,85,0,0,865.396606445312,0.214034408330917,37.0476379394531,4.46112060546875,24.7459926605225,1.81701791286469,210,4434
"28",8894,0.660000026226044,0.0500000007450581,0.340000003576279,858.407043457031,1,1,79.5000076293945,0.319999992847443,0.610000014305115,312.232879638672,0.0758739337325096,27.7080097198486,7.70848608016968,25.8220291137695,1.56358325481415,170,4434
"29",8895,0.610000014305115,0.100000001490116,0.300000011920929,824.210876464844,NA,1,65,0.310000002384186,0.400000005960464,363.534423828125,0.0798360332846642,27.1215744018555,7.70521974563599,27.3033933639526,1.83394461870193,230,4434
"30",8900,0.490000009536743,0,0.200000002980232,999.456787109375,1,2,77.9999923706055,0.28999999165535,0.490000009536743,187.060501098633,0.106833323836327,31.6193523406982,7.62903261184692,30.8037551331193,2.14831203140625,343.767123287671,4435.11643835616
"31",8901,0.259999990463257,0,0.0500000007450581,940.85205078125,1,2,92.5,0.209999993443489,0.259999990463257,185.057525634766,0.111326739192009,31.7989120483398,7.17275476455688,29.9139055885486,2.58748962852492,381.772388059702,4411.85820895522
"32",8902,0,0,0,880.394226074219,1,2,94.75,0,0,144.260192871094,0.0939024016261101,33.3363647460938,6.34557628631592,32.479564666748,2.30542811568902,394.285714285714,4434
"33",8907,0.639999985694885,0,0,548,1,2,95.2499923706055,0.639999985694885,0.639999985694885,223.124237060547,0.059853482991457,33.38037109375,6.2806134223938,32.2100156148275,2.28673240873549,358.888888888889,4434
"34",9053,0.0500000007450581,0,0.0500000007450581,2230.6376953125,NA,3,87.5,0,0,1184.74255371094,0.188774287700653,41.307430267334,4.89926385879517,24.7459926605225,1.81701791286469,210,4434
"35",9064,0.159999996423721,0,0,976.248168945312,1,2,78,0.159999996423721,0.159999996423721,225.803695678711,0.157868832349777,29.9754619598389,7.80632400512695,22.4979243558996,2.20406380120446,261.176470588235,3590.44117647059
"36",9065,0.72000002861023,0,0.25,1020.82562255859,1,2,81.25,0.469999998807907,0.72000002861023,343.068542480469,0.132299482822418,31.7762508392334,7.79223155975342,27.7635624076747,2.22319436525997,345.189873417722,4095.98734177215
"37",9067,0.759999990463257,0,0,974.230773925781,1,2,89.5,0.759999990463257,0.759999990463257,132.756851196289,0.108833223581314,31.6743278503418,7.36496067047119,29.6204168813212,2.10805742890685,304.755244755245,4427.08391608392
"38",9068,0.219999998807907,0,0,894.132751464844,1,2,85.75,0.219999998807907,0.219999998807907,256.237335205078,0.0750841125845909,33.2722206115723,7.05917596817017,32.5469781626826,1.90040167518284,236.086956521739,4469.4347826087
"39",9234,0.759999990463257,0,0.119999997317791,910.792114257812,1,2,65.0000076293945,0.639999985694885,0.759999990463257,239.497695922852,0.0581905171275139,37.0571060180664,7.24282169342041,29.0993084627039,2.98105942852357,414.558823529412,4434
"40",9236,0.72000002861023,0,0,710.391479492188,1,2,84.9999923706055,0.72000002861023,0.72000002861023,151.657760620117,0.141455888748169,33.5530776977539,7.22842597961426,29.1177317301432,2.42731789747874,363.333333333333,4434
"41",9400,0.75,0,0.680000007152557,878.996154785156,1,2,82.5,0.0700000002980232,0.75,222.686676025391,0.260942697525024,54.4121055603027,7.8831901550293,32.9297891235352,2.34170241355896,405.8,4434
"42",9552,0.100000001490116,0.00999999977648258,0.00999999977648258,2649.65502929688,NA,3,88.75,0.0900000035762787,0.0900000035762787,846.986938476562,0.419750839471817,50.8449058532715,0.614460647106171,29.2679615020752,2.10407439867655,276.666666666667,4434
"43",9718,0.230000004172325,0.0700000002980232,0.0700000002980232,2817.2822265625,NA,3,86,0.159999996423721,0.159999996423721,1142.81799316406,0.617261409759521,45.6567840576172,0.507393479347229,29.2817848750523,3.14844339234488,397.142857142857,4434
"44",9730,0.479999989271164,0,0.28999999165535,1198.77001953125,1,2,55.5,0.189999997615814,0.479999989271164,816.935546875,0.304821580648422,32.745231628418,7.42121267318726,25.4456176757812,2.10841965675354,210,4434
"45",9895,0.370000004768372,0,0.0299999993294477,1330.82836914062,1,2,48.5,0.340000003576279,0.370000004768372,277.097930908203,0.184484928846359,29.0722217559814,8.04656982421875,27.6751203536987,3.13233588139216,721.666666666667,4434
"46",10060,0,0,0,1572.86364746094,1,2,51.25,0,0,336.286468505859,0.359711557626724,26.211296081543,7.74143075942993,32.1836128234863,1.54831373691559,190,4434
"47",10384,0.349999994039536,0.189999997615814,0.349999994039536,1978.54553222656,1,2,20.0000038146973,0.0799999982118607,0.0799999982118607,419.530517578125,0.120400458574295,17.0326614379883,4.78862285614014,30.0693648202079,1.73721279416765,234.285714285714,4434
"48",10385,0.389999985694885,0.25,0.310000002384186,2106.30712890625,1,2,21.9999980926514,0.230000004172325,0.230000004172325,559.539794921875,0.0148142017424107,17.0609951019287,4.88603448867798,29.9996929168701,1.86162682374318,240,4434
"49",10389,0.430000007152557,0.100000001490116,0.189999997615814,2095.88989257812,1,2,41.9999961853027,0.239999994635582,0.239999994635582,1099.60925292969,0.127817898988724,24.4523143768311,5.48040056228638,28.7846164703369,3.48878526687622,580,4434
"50",10725,0.52999997138977,0,0,1598.01916503906,1,2,49.7500038146973,0.52999997138977,0.52999997138977,426.522521972656,0.335025131702423,30.882360458374,8.972580909729,32.441513299942,2.04729644954205,320,4434
"51",10726,0.46000000834465,0,0,1515.50830078125,1,2,58.25,0.46000000834465,0.46000000834465,231.987350463867,0.199004873633385,28.9789810180664,9.11437702178955,31.9165096282959,1.67712996006012,228,4434
"52",10883,0.349999994039536,0.230000004172325,0.349999994039536,1831.91381835938,1,2,44.5000038146973,0,0,926.360534667969,0.114339843392372,25.3545608520508,7.16877794265747,23.933069229126,2.31852912902832,390,4434
"53",11050,0,0,0,2231.87939453125,1,2,74.75,0,0,783.5322265625,0.380267798900604,33.3644218444824,6.09393501281738,21.6534385681152,3.17004561424255,540,4434
"54",11056,0.280000001192093,0,0.0199999995529652,1879.21862792969,1,2,80.75,0.259999990463257,0.259999990463257,1361.03527832031,1.03493010997772,38.5066452026367,7.36465311050415,26.1085944970449,1.90777192513148,244.583333333333,4434
"55",11057,0.310000002384186,0,0,1675.00817871094,1,2,58,0.310000002384186,0.310000002384186,402.284362792969,0.32879102230072,33.4098129272461,9.83447933197021,24.8446704319545,1.81989022663661,198.571428571429,4434
"56",11210,0.680000007152557,0.219999998807907,0.430000007152557,2542.27661132812,1,2,52.75,0.25,0.25,1474.06176757812,0.218056678771973,30.3315505981445,5.31870365142822,20.9580664967382,2.50240940271422,342.558139534884,3468
"57",11223,0.00999999977648258,0,0.00999999977648258,2103.57421875,NA,3,77,0,0.00999999977648258,968.122985839844,0.258957058191299,35.4742813110352,7.40022897720337,24.7459926605225,1.81701791286469,210,4434
"58",11377,0.00999999977648258,0,0.00999999977648258,2070.79956054688,1,2,19.0000019073486,0,0,790.057983398438,0.391791701316833,16.9536113739014,9.85465049743652,20.9222431182861,2.50902080535889,330,3445
"59",11378,0.0900000035762787,0,0.0900000035762787,1298.77600097656,1,2,13.0000019073486,0,0,510.815521240234,0.189661830663681,15.2290048599243,11.5015344619751,20.6000995635986,2.78180146217346,460,3445
"60",11389,0.180000007152557,0,0.100000001490116,1740.57775878906,1,2,64.4999923706055,0.0799999982118607,0.0799999982118607,1689.45776367188,0.476224541664124,33.5561790466309,8.21556282043457,24.7459926605225,1.81701791286469,210,4434
"61",11880,0.620000004768372,0.100000001490116,0.620000004768372,2293.40258789062,NA,3,84.2500076293945,0,0,1799.52844238281,0.587414503097534,41.4996757507324,7.42637729644775,28.9959285736084,3.35398206710815,584,4434
"62",12046,0.469999998807907,0.340000003576279,0.469999998807907,1638.93237304688,1,2,18.5000038146973,0,0,469.616271972656,0.233360111713409,22.2691898345947,10.8592157363892,29.7616882324219,2.99620056152344,435,4434
"63",12212,0.8299999833107,0.72000002861023,0.8299999833107,1782.29870605469,1,2,7.49999570846558,0,0,307.972045898438,0.260367304086685,19.1376628875732,10.8726253509521,29.3007143128593,2.50296310658725,375.660377358491,4275.38679245283
"64",12213,0.259999990463257,0.200000002980232,0.259999990463257,2078.55834960938,1,2,16.4999961853027,0,0,349.060943603516,0.232483401894569,21.7341899871826,9.54538631439209,32.3915519714355,2.40016508102417,410,4434
"65",13210,0.109999999403954,0.0799999982118607,0.109999999403954,1443.17395019531,1,2,13.9999980926514,0.0199999995529652,0.0199999995529652,679.742797851562,0.300449401140213,23.2590503692627,14.4710788726807,28.7846164703369,3.48878526687622,580,4434
