"","Estimate","5%","95%","SD","Bin"
"null.occ.prob",0.567205804553894,0.452002998978808,0.675573025299044,NA,"S.2"
"null.det.prob",0.321165567987947,0.259783472987574,0.389420992650067,NA,"S.2"
"PAO",0.662824209828582,0.315589353612167,1,NA,"S.2"
"mean.det.prob",0.268678882239832,NA,NA,0.0618778304031978,"S.2"
