"","Estimate","5%","95%","SD","Bin"
"null.occ.prob",0.409470620526299,0.315950337730153,0.510032906767243,NA,"S.2"
"null.det.prob",0.342772079680985,0.265449896350746,0.429449343375228,NA,"S.2"
"PAO",0.395383249279252,0.220532319391635,0.984790874524715,NA,"S.2"
"mean.det.prob",0.340291715897659,NA,NA,0.093999462156589,"S.2"
