"","Estimate","5%","95%","SD","Bin"
"null.occ.prob",0.846153031372401,0.738301194299593,0.914692537539401,NA,"S.2"
"null.det.prob",0.414897222592194,0.366662501177246,0.464820292523647,NA,"S.2"
"PAO",0.909421373733627,0.859315589353612,0.977186311787072,NA,"S.2"
"mean.det.prob",0.387627875238603,NA,NA,0.0633526417067015,"S.2"
