"","name","value","2.5 %","97.5 %"
"1","p(Int)",0.408534045551226,-1.14682381621696,1.96389190731941
"2","p(LAND2)",0.107692303813061,-0.733482365158684,0.948866972784806
"3","p(LAND3)",-0.94801557137379,-1.89664717508077,0.000616032333191407
"4","p(MGVF)",-0.161881034913278,-0.768661491607935,0.444899421781378
"5","p(OUTa)",0.199127261165601,-0.176710573217843,0.574965095549044
"6","p(RAIN)",0.491957589209934,-0.0648664172385686,1.04878159565844
"7","p(SEDf)",0.233694896724177,-0.115917151854267,0.58330694530262
"8","p(TEMP)",-0.177013068663298,-0.403628757820512,0.0496026204939163
"9","psi(Int)",13.6535951153207,-134.328477868547,161.635668099188
"10","psi(PDEM)",-7.60202681418402,-128.540199377428,113.33614574906
"11","psi(Ppre)",16.9576877727374,-119.471394816119,153.386770361594
"12","psi(Ptem)",-11.9927162448975,-177.253403626019,153.267971136224
