"","Parameter","Estimate","2.5%","97.5%","SE","Bin","Target","Res"
"1","Naive Occupancy",0.54,NA,NA,NA,"teyen","Tyrannosauridae",1
"2","Null.occ.prob",0.999655289303496,NA,NA,NA,"teyen","Tyrannosauridae",1
"3","Null.det.prob",0.153906727418246,0.116645567686697,0.200370684770201,NA,"teyen","Tyrannosauridae",1
"4","PAO",0.941361512093435,0.94,0.96,NA,"teyen","Tyrannosauridae",1
"5","Det.prob",0.165728192503392,NA,NA,0.05618339098452,"teyen","Tyrannosauridae",1
"6","Occ.prob",0.926272398613959,NA,NA,0.121595610553917,"teyen","Tyrannosauridae",1
