"","p(Int)","psi(Int)","p(LAND)","p(MGVF)","p(OUTa)","p(RAIN)","p(SEDf)","p(TEMP)","psi(PDEM)","psi(Ppre)","psi(Ptem)","df","logLik","AIC","delta","weight"
"252",-1.24329932707216,7.85879660300253,"+",0.111794752963399,NA,-0.203726501354596,-0.30483236358671,0.05477030350102,-4.46036937999403,-0.438052478425774,NA,10,-155.643145881195,331.28629176239,9.62796567324199,0.00026826778002852
"229",-0.744523085888957,7.96675306859987,NA,NA,0.0156434661160802,NA,NA,-0.0278977730253019,-4.29439998256614,-0.435473745311386,NA,6,-159.650094209709,331.300188419418,9.6418623302697,0.000266410228276532
"431",-0.611443987711738,76.0267358807727,NA,0.257686170982062,0.0143767731865536,-0.192417921918775,NA,-0.0557507613801892,NA,-53.4961230174651,29.9060755393562,8,-157.657318268419,331.314636536838,9.65631044768946,0.000264492600015721
"307",-0.669913663437017,8.50564872050108,NA,0.410809981828378,NA,NA,-0.13841533181849,-0.0550429106197055,NA,NA,4.16018273388022,6,-159.667872593302,331.335745186604,9.67741909745615,0.000261715738910086
"254",-1.31214803431326,7.84851987580215,"+",NA,0.0620215950381019,-0.172528260744672,-0.300399177925781,0.0708679770213366,-4.43753062753569,-0.4496739226102,NA,10,-155.670726153671,331.341452307342,9.68312621819371,0.000260969981787179
"162",-1.1987208080282,4.98575706713765,"+",NA,NA,NA,NA,0.0596826219008854,NA,-2.39270105839622,NA,6,-159.704591371004,331.409182742007,9.75085665285911,0.000252280148661195
"299",-0.562471150576288,9.22119072766085,NA,0.428463332931329,NA,-0.149027261553623,NA,-0.0704379363927645,NA,NA,4.50238691346067,6,-159.722940554732,331.445881109465,9.78755502031657,0.000247693225706165
"177",-0.72622556977291,4.53901338647502,NA,NA,NA,NA,-0.327367928155717,-0.0271060822541962,NA,-2.14258359262163,NA,5,-160.7297706677,331.459541335399,9.8012152462511,0.00024600721736151
"238",-1.30848176452167,7.86297465935038,"+",NA,0.0707931202447177,-0.156361082921342,NA,0.0712645360810176,-4.36818024832016,-0.458255714078053,NA,9,-156.733933686518,331.467867373037,9.80954128388873,0.000244985213472785
"59",-0.720196744061398,10.022712627669,NA,0.492925366858334,NA,-0.16505261771056,-0.133212876162841,-0.0541173401996099,NA,NA,NA,6,-159.737589038475,331.475178076951,9.81685198780264,0.000244091340997841
"178",-1.30869569437996,4.55961205938317,"+",NA,NA,NA,-0.298458655661654,0.0790453878705875,NA,-2.22619082740018,NA,7,-158.741750024368,331.483500048737,9.82517395958837,0.000243077790518369
"224",-1.0034872455485,7.80135590880718,"+",0.134060356996888,0.0422749281224579,-0.24100576210237,-0.303465023874029,NA,-4.39094761012495,-0.453707893435029,NA,10,-155.742081600633,331.484163201266,9.82583711211794,0.000242997205053389
"232",-1.34776873291006,21.9181261053347,"+",0.254339762537328,0.0176481596998152,NA,NA,0.0599443012487721,-9.28795945625899,-0.767935094182304,NA,9,-156.749331461378,331.498662922756,9.84033683360803,0.000241241879775617
"149",-0.907448260979638,4.37150114372158,NA,NA,0.0310917703827675,NA,-0.33182770954008,NA,NA,-2.07562767925335,NA,5,-160.769742537486,331.539485074972,9.8811589858239,0.00023636778537896
"140",-1.07792230714938,7.36803650565733,"+",0.354455931748977,NA,-0.174422752693652,NA,NA,NA,-3.11219367485521,NA,7,-158.779452367096,331.558904734193,9.90057864504439,0.000234083800952016
"28",-1.14214601410023,10.6539931727958,"+",0.464310372211914,NA,-0.146922731541274,-0.103910314212951,NA,NA,NA,NA,7,-158.780265012115,331.56053002423,9.90220393508213,0.000233893651189767
"134",-0.927621625810353,5.23388371919968,"+",NA,0.0452808358079568,NA,NA,NA,NA,-2.41533332057829,NA,6,-159.784946982083,331.569893964166,9.91156787501734,0.000232801127716081
"239",-0.847984574851453,17.3246208886677,NA,0.395872951599395,-0.0232894764395198,-0.206753657479053,NA,-0.0251787792047038,-7.61928417598183,-0.0937843038473692,NA,8,-157.80861435748,331.617228714959,9.95890262581105,0.000227356025836761
"44",-0.8585204857537,8.09365077408467,"+",0.422916762725061,NA,-0.189795018843585,NA,-0.0507658075825187,NA,NA,NA,7,-158.814603288219,331.629206576437,9.97088048728881,0.000225998475539944
"33",-0.289834420324446,17.3201855173261,NA,NA,NA,NA,NA,-0.106571704783445,NA,NA,NA,3,-162.821556035966,331.643112071933,9.98478598278444,0.000224432614972784
"155",-0.958778757462632,4.85020676462272,NA,0.270521864565584,NA,-0.195910534061591,-0.3188530475522,NA,NA,-2.32478365528283,NA,6,-159.83354214258,331.66708428516,10.008758196012,0.00022175859925471
"283",-1.07357755560638,7.97900195790505,NA,0.527775672319405,NA,-0.104848036556263,-0.145461957688599,NA,NA,NA,3.70569427241184,6,-159.838381839491,331.676763678983,10.0184375898346,0.000220687947751018
"268",-1.05968219527048,8.67605878730433,"+",0.403169531065292,NA,-0.122611714737717,NA,NA,NA,NA,3.95320915880654,7,-158.842304985297,331.684609970594,10.0262838814454,0.000219823852847928
"276",-1.04265410491385,8.13928969169407,"+",0.377438661828364,NA,NA,-0.103849133562045,NA,NA,NA,3.79620175845386,7,-158.865211663639,331.730423327279,10.0720972381304,0.000214845653243734
"258",-0.832395450037861,7.86267262695687,"+",NA,NA,NA,NA,NA,NA,NA,3.6863018244358,5,-160.880741545429,331.761483090859,10.1031570017103,0.000211534899988703
"16",-1.15752018969048,11.9518142305829,"+",0.42607417542334,0.0593361726799156,-0.150969678831375,NA,NA,NA,NA,NA,7,-158.886451435146,331.772902870293,10.1145767811445,0.000210330500803948
"172",-0.871081217325935,149.328200804451,"+",0.365747604646213,NA,-0.202251817095452,NA,-0.0422923440455086,NA,-70.3451792097278,NA,8,-157.89111131971,331.78222263942,10.123896550272,0.000209352665020333
"148",-0.952174939342038,4.79274092600154,"+",0.084740374995851,NA,NA,-0.286024770045312,NA,NA,-2.25424445629039,NA,7,-158.926962313962,331.853924627925,10.1955985387764,0.00020198011018191
"264",-1.05648925982174,8.41769210379337,"+",0.3369101508076,0.0726154191964257,NA,NA,NA,NA,NA,4.01474659727989,7,-158.936087123362,331.872174246724,10.2138481575759,0.000200145463305197
"150",-0.937521030011707,4.74996565722169,"+",NA,0.0429527621291816,NA,-0.29117486484724,NA,NA,-2.25409909627354,NA,7,-158.946669960682,331.893339921364,10.2350138322159,0.000198038524784602
"279",-1.06460757121568,7.78574909996777,NA,0.468349324020506,0.042280417162157,NA,-0.136479249660451,NA,NA,NA,3.71437155419759,6,-159.947670976153,331.895341952306,10.2370158631581,0.000197840384344786
"448",-0.857350916281838,57.7000407788807,"+",0.197087602763044,0.0582970315569091,-0.213874761927831,-0.291995195936233,-0.0374255330313672,NA,-40.3402186236753,22.5648262929694,11,-154.953821274016,331.907642548031,10.2493164588829,0.000196627341164022
"253",-0.74583480882569,7.78451517158827,NA,NA,0.0119760253670968,-0.15931566253283,-0.337272871655795,-0.021963937832501,-4.38067682552865,-0.454085768321608,NA,8,-157.989422380628,331.978844761257,10.3205186721087,0.000189750331145421
"295",-0.670294771203298,8.62811492966457,NA,0.368645157097449,0.0349749300963423,NA,NA,-0.0538116313326251,NA,NA,4.24131944556619,6,-159.992318042658,331.984636085316,10.3263099961683,0.000189201673063936
"432",-0.89892216934029,75.8074765391208,"+",0.182361887980102,0.0751840086741598,-0.203415649426845,NA,-0.027858019843707,NA,-53.1736039215871,29.6298603489653,10,-155.99713009144,331.99426018288,10.3359340937315,0.000188293412433445
"34",-0.65411099951186,8.91894363127102,"+",NA,NA,NA,NA,-0.0489666833639438,NA,NA,NA,5,-160.997660728816,331.995321457633,10.3369953684847,0.000188193523415805
"292",-0.88354332192024,8.52556970981428,"+",0.325041262888076,NA,NA,NA,-0.024601470086211,NA,NA,4.02608621581447,7,-159.012669273929,332.025338547857,10.3670124587093,0.000185390102686869
"47",-0.680984182110125,11.1490650760425,NA,0.451056661274797,-0.0061546782686987,-0.165615359932028,NA,-0.0579936906253213,NA,NA,NA,6,-160.058367706188,332.116735412377,10.4584093232288,0.000177108729667592
"171",-0.688481130315862,10.9315787236338,NA,0.45020761287625,NA,-0.163768035736696,NA,-0.057006034417968,NA,-1.29889730658905,NA,6,-160.059265406018,332.118530812036,10.4602047228882,0.000176949810532635
"31",-1.1056310202611,10.0469748166532,NA,0.540572138762183,0.0136620229480651,-0.130176444090621,-0.138152230005818,NA,NA,NA,NA,6,-160.063818057937,332.127636115875,10.4693100267264,0.000176146050645897
"52",-1.00107804415228,11.5426124159072,"+",0.377608638345594,NA,NA,-0.103518954531124,-0.0203374876331162,NA,NA,NA,7,-159.071340500423,332.142681000846,10.4843549116982,0.000174825973438178
"24",-1.12912113114731,10.9495726941192,"+",0.384336618896992,0.0347464736385794,NA,-0.0940113058974626,NA,NA,NA,NA,7,-159.073341643492,332.146683286984,10.488357197836,0.000174476471471522
"247",-0.974169435495665,7.8151641653126,NA,0.163518968079622,0.00858851318972532,NA,-0.32349787658487,0.00373582815652074,-4.3909154771723,-0.45279247577079,NA,8,-158.076710073139,332.153420146279,10.4950940571306,0.000173889748474586
"133",-0.933728635477951,4.77483999051836,NA,NA,0.0493945135724037,NA,NA,NA,NA,-2.25048090786542,NA,4,-162.089720363832,332.179440727664,10.521114638516,0.000171642045637301
"248",-1.45486083617088,7.95366494990795,"+",0.019565833807554,0.0573474808581348,NA,-0.297076576015696,0.0969977950865503,-4.49946137494116,-0.459610148409724,NA,10,-156.104951014156,332.209902028312,10.551575939164,0.000169047633106878
"55",-0.783897963123362,8.34829643438871,NA,0.42692611037598,-0.0180735990994228,NA,-0.137806293948128,-0.0437966182630273,NA,NA,NA,6,-160.106619033372,332.213238066743,10.5549119775948,0.00016876589344544
"179",-0.807359760055982,10.0144608854892,NA,0.426351585131992,NA,NA,-0.133218251257839,-0.0406716548500717,NA,-2.21500976269497,NA,6,-160.110845532107,332.221691064214,10.5633649750656,0.000168054109846028
"271",-1.06523528169856,8.21240662615576,NA,0.478115217315737,0.0621661797735298,-0.103386579833713,NA,NA,NA,NA,3.89539774624658,6,-160.132443055312,332.264886110623,10.6065600214748,0.000164463471329264
"10",-0.901058727603956,7.04000579703949,"+",NA,NA,0.0433849754404372,NA,NA,NA,NA,NA,5,-161.150460925827,332.300921851653,10.642595762505,0.000161526726194391
"6",-0.925674507358816,5.44152907120131,"+",NA,0.041987989292266,NA,NA,NA,NA,NA,NA,5,-161.151391914879,332.302783829758,10.6444577406097,0.000161376416559808
"136",-1.08688667974529,9.17379085642509,"+",0.307943755559737,0.03908137224868,NA,NA,NA,NA,-3.6549232889554,NA,7,-159.159411642759,332.318823285517,10.660497196369,0.000160087397313313
"18",-0.898110512004993,7.79497076461192,"+",NA,NA,NA,0.0328464666321302,NA,NA,NA,NA,5,-161.161643175675,332.32328635135,10.6649602622017,0.000159730555317125
"40",-1.05203187032718,11.2768962439905,"+",0.341664323303655,0.0444080999699878,NA,NA,-0.0113134109644719,NA,NA,NA,7,-159.21233840386,332.424676807719,10.7663507185711,0.000151834807669189
"17",-0.898736074565861,2.58134273251858,NA,NA,NA,NA,-0.334957426837872,NA,NA,NA,NA,3,-163.24283802854,332.485676057079,10.8273499679312,0.000147273810924431
"164",-1.00057228575701,7.75617832975723,"+",0.33280033679282,NA,NA,NA,-0.0149602643323203,NA,-1.85266445880747,NA,7,-159.253318497228,332.506636994456,10.8483109053083,0.000145738372472094
"240",-1.20009233885101,25.1833852691815,"+",0.336544230346555,0.017518082721646,-0.197630319826964,NA,0.0239281129133983,-11.8767641155161,0.751123891014194,NA,10,-156.265143012664,332.530286025328,10.8719599361802,0.000144025235306354
"156",-0.985404529422125,4.98868309342529,"+",0.161073163796485,NA,-0.217271510323442,-0.29598665439752,NA,NA,-2.42551906429607,NA,8,-158.270235027264,332.540470054528,10.88214396538,0.000143293720727476
"143",-1.06691797707585,8.22179196240827,NA,0.455875250954546,0.0224870020417625,-0.150284337179762,NA,NA,NA,-3.34763784184211,NA,6,-160.302623238615,332.60524647723,10.9469203880814,0.000138727045826345
"183",-0.756737871926432,186.45838105539,NA,0.372829792412893,-0.030554976805663,NA,-0.12559148608349,-0.0435373542271008,NA,-87.8197394188138,NA,7,-159.306832751735,332.61366550347,10.9553394143219,0.000138144299905621
"151",-0.968798080182613,4.62354559846275,NA,0.211658584801837,0.015884097962128,NA,-0.304047880177996,NA,NA,-2.12521696148491,NA,6,-160.338809795777,332.677619591554,11.0192935024061,0.000133796735132283
"413",-0.893766428895918,6.31276685710283,NA,NA,0.0631081677292897,-0.0735629602332195,-0.334928079024121,NA,NA,-4.28031890697182,2.3935801315285,7,-159.348318487554,332.696636975109,11.0383108859604,0.000132530532721663
"315",-0.592720989538888,9.1498905694213,NA,0.471485656028671,NA,-0.148250954047902,-0.137782136690203,-0.0676368169955052,NA,NA,4.48414708926044,7,-159.373134563332,332.746269126664,11.0879430375157,0.000129282118136322
"186",-1.17508105884598,4.83802894453956,"+",NA,NA,-0.159311968931622,-0.300157764475597,0.0534136340121076,NA,-2.40169897044059,NA,8,-158.376426749035,332.75285349807,11.0945274089223,0.000128857197238347
"237",-0.680516803585755,7.67716373222324,NA,NA,0.0191696461950404,-0.138605620206982,NA,-0.0348133004069835,-4.14905970593927,-0.470113062227682,NA,7,-159.386274881113,332.772549762226,11.1142236730781,0.000127594422731724
"255",-0.885590427936834,7.80208294798415,NA,0.236655441539319,0.000107678127596326,-0.223020245150227,-0.330063832975373,-0.00850779834456347,-4.39548573756818,-0.45094556426724,NA,9,-157.397604227697,332.795208455394,11.1368823662455,0.000126157019091154
"142",-0.933205258785522,5.1130581075035,"+",NA,0.0596830306086087,-0.161727656878207,NA,NA,NA,-2.46508390149685,NA,7,-159.429024399138,332.858048798276,11.1997227091273,0.000122254769625057
"158",-0.939225296259652,4.94259142390677,"+",NA,0.0517652879714765,-0.184083104750831,-0.295524070634458,NA,NA,-2.42152692115005,NA,8,-158.429722037876,332.859444075751,11.2011179866029,0.00012216950970566
"170",-1.11954508408444,5.05867653529081,"+",NA,NA,-0.141715199212121,NA,0.0446125906757606,NA,-2.48352424606472,NA,7,-159.432690299097,332.865380598194,11.207054509046,0.000121807416347235
"167",-0.776193803859737,12.0804312991327,NA,0.385938309010972,0.00208673905750823,NA,NA,-0.0436117189830733,NA,-2.20931626771315,NA,6,-160.433721428259,332.867442856518,11.2091167673701,0.000121681881900324
"419",-0.773825393673372,18.0882660762383,NA,0.386027554717646,NA,NA,NA,-0.0439328082879014,NA,-3.0225056586708,1.06716335563202,6,-160.433801301133,332.867602602267,11.2092765131184,0.000121672163206819
"185",-0.644912008406967,4.75907641860841,NA,NA,NA,-0.139307055486623,-0.329557532073258,-0.0372509632672137,NA,-2.30055910494381,NA,6,-160.446144855534,332.892289711067,11.2339636219191,0.000120179527408716
"157",-0.895350182672801,4.57008786545134,NA,NA,0.0317551902351226,-0.125498727358056,-0.335152812762414,NA,NA,-2.22443278097401,NA,6,-160.538025708355,333.076051416711,11.4177253275628,0.000109629427078146
"1",-1.03436189900984,15.0915001443683,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-164.559978918673,333.119957837346,11.4616317481973,0.000107248934539679
"256",-1.31736871673031,7.83010818289698,"+",0.106742822086326,0.0582314526150666,-0.204385318276529,-0.302210569864405,0.0619300840152083,-4.41464253288793,-0.45344212186295,NA,11,-155.57123965175,333.1424793035,11.4841532143514,0.000106048007265949
"60",-0.859714122397481,12.8742834306024,"+",0.469224829633889,NA,-0.197775894837196,-0.113050649804524,-0.0564209614028164,NA,NA,NA,8,-158.586350859472,333.172701718943,11.514375629795,0.000104457540997693
"166",-1.29564138805718,4.95120529314331,"+",NA,0.0647705634995932,NA,NA,0.0699120315403482,NA,-2.38279777370071,NA,7,-159.618801262367,333.237602524734,11.5792764355857,0.000101122259986884
"290",-0.528137208735346,8.60987593632859,"+",NA,NA,NA,NA,-0.0584303599680184,NA,NA,4.16350374356093,6,-160.622635507278,333.245271014556,11.5869449254075,0.000100735274848149
"284",-1.08579216018378,8.55564078888763,"+",0.446380289650942,NA,-0.124813047426722,-0.105905658268325,NA,NA,NA,3.90542671495663,8,-158.6453693578,333.2907387156,11.6324126264521,9.84710094220995e-05
"300",-0.773421254623524,9.21257373806561,"+",0.404046933492075,NA,-0.171779719782233,NA,-0.0553166890381059,NA,NA,4.29897450818446,8,-158.659747924625,333.31949584925,11.6611697601021,9.70652679256935e-05
"311",-0.682044149864183,8.52408242451501,NA,0.41078583343736,0.0138932451260131,NA,-0.135779388869574,-0.0534249613510024,NA,NA,4.18257161863636,7,-159.663453065694,333.326906131388,11.6685800422396,9.67062928524669e-05
"182",-1.38687969872326,4.52666935113766,"+",NA,0.0605528057986424,NA,-0.295761124251107,0.0861795149419618,NA,-2.20433910872732,NA,8,-158.663832397823,333.327664795646,11.6693387064974,9.66696160053127e-05
"272",-1.10293339917401,8.79603013327191,"+",0.406104534555676,0.0777856444088725,-0.12771747616272,NA,NA,NA,NA,4.12700679927267,8,-158.707405164287,333.414810328574,11.7564842394256,9.25479027262955e-05
"303",-0.586289646246731,9.2365864746821,NA,0.427956448323747,0.0256479151944237,-0.146418677807283,NA,-0.0672150250301103,NA,NA,4.53876489128637,7,-159.707682862963,333.415365725926,11.7570396367776,9.25222058643965e-05
"63",-0.688823874588353,11.152174899544,NA,0.493301175469249,-0.0266870362424622,-0.166766550376245,-0.138513889645964,-0.0582355200645261,NA,NA,NA,7,-159.720005366667,333.440010733335,11.7816846441864,9.13890963509463e-05
"180",-1.30881454661034,4.60456683312331,"+",0.0482518355987986,NA,NA,-0.296879460390414,0.0741989343186919,NA,-2.23843539930906,NA,8,-158.72121526798,333.442430535961,11.7841044468128,9.12785914267643e-05
"181",-0.747334248065874,4.52027458758065,NA,NA,0.0180283614074942,NA,-0.326575183857314,-0.0242949140307749,NA,-2.13116848562932,NA,6,-160.722109923096,333.444219846192,11.7858937570434,9.11969650871824e-05
"169",-0.531360998856374,5.11680939339576,NA,NA,NA,-0.112375819945493,NA,-0.058387320476535,NA,-2.3955251338551,NA,5,-161.729576369616,333.459152739232,11.8008266500839,9.0518583525895e-05
"32",-1.17302887027506,11.7998565370743,"+",0.465487151075546,0.0455180466520939,-0.152183588500577,-0.095510465747257,NA,NA,NA,NA,8,-158.733044688633,333.466089377267,11.8077632881185,9.02051800070934e-05
"144",-1.11235316693407,7.40717080021743,"+",0.362369903597932,0.0445778339702143,-0.176694791819764,NA,NA,NA,-3.09182205714602,NA,8,-158.735104077394,333.470208154789,11.8118820656405,9.00196036257458e-05
"48",-0.915483799926848,12.7527408585844,"+",0.425890217322334,0.0454091000753032,-0.190773793014105,NA,-0.0458209118360746,NA,NA,NA,8,-158.762306214377,333.524612428755,11.8662863396066,8.76038833721565e-05
"347",-1.07087694881126,7.9516549343534,NA,0.52957032621521,NA,-0.104996834812127,-0.146294433323425,NA,1.08150061019428,NA,3.15261127719713,7,-159.769093260057,333.538186520114,11.8798604309655,8.70113249491883e-05
"187",-0.785651067811336,4.91621774645195,NA,0.266326804192875,NA,-0.202119615583981,-0.307253585856419,-0.0261465777904781,NA,-2.3217644634663,NA,7,-159.775433208377,333.550866416753,11.8925403276051,8.64614226637477e-05
"262",-0.868119163337504,7.92600124093111,"+",NA,0.0657165481380789,NA,NA,NA,NA,NA,3.78012023902415,6,-160.782946519304,333.565893038609,11.9075669494603,8.58142453785347e-05
