"","name","value","2.5 %","97.5 %"
"1","p(Int)",-1.58782493464619,-2.66784068372576,-0.507809185566608
"2","p(LAND2)",0.542237938045124,-0.557145149439719,1.64162102552997
"3","p(LAND3)",0.960230082292282,-0.0958755879389968,2.01633575252356
"4","p(MGVF)",0.514774449599739,0.0149450381878377,1.01460386101164
"5","p(OUTa)",-0.0400857249790832,-0.395548240361391,0.315376790403225
"6","p(RAIN)",0.152193610791391,-0.328371650622724,0.632758872205507
"7","p(SEDf)",-0.287394654191784,-0.716351577648312,0.141562269264744
"8","p(TEMP)",-0.107235880911328,-0.314385392862856,0.0999136310402003
"9","psi(Int)",55.04255373904,-5980.15355266209,6090.23866014017
"10","psi(PDEM)",5.56197431140433,-5124.00331776572,5135.12726638852
"11","psi(Ppre)",32.7769176560581,-596.221811226291,661.775646538407
"12","psi(Ptem)",44.796024568929,-2216.82081478844,2306.4128639263
