"","p(Int)","psi(Int)","p(LAND)","p(MGVF)","p(OUTa)","p(RAIN)","p(SEDf)","p(TEMP)","psi(PDEM)","psi(Ppre)","psi(Ptem)","df","logLik","AIC","delta","weight"
"122",-1.09083233955065,3.27546672536407,"+",NA,NA,0.166965609195142,-0.126605080994335,-0.134856683383476,3.29292249191206,NA,NA,8,-117.049695291102,250.099390582205,7.18845386408776,0.000616917033880831
"333",-1.53045178074362,2.88136337701056,NA,NA,-0.0322487702620147,0.348141308575885,NA,NA,2.05905179573413,NA,0.734839929950896,6,-119.052713088108,250.105426176216,7.19448945809896,0.000615058109841766
"183",-1.43729767016635,12.3448816008295,NA,0.555930994954693,-0.161342147753679,NA,-0.318391819014421,-0.0541334916126613,NA,1.95065173819201,NA,7,-118.054410843438,250.108821686877,7.19788496875958,0.0006140147775694
"93",-1.53858690902151,3.11363947556602,NA,NA,-0.0511444378679244,0.365680903398626,-0.141761643815862,NA,3.12138135822133,NA,NA,6,-119.05461341552,250.109226831041,7.19829011292387,0.000613890407914775
"204",-1.99106499925956,4.12334048519647,"+",0.366721414218407,NA,0.088517038805828,NA,NA,3.48029540618186,0.349971489651473,NA,8,-117.056602065751,250.113204131502,7.20226741338533,0.000612670807694495
"80",-2.01170779046136,3.8571470237914,"+",0.373489894946092,0.0267249944436316,0.0864453601293014,NA,NA,3.3050827190362,NA,NA,8,-117.056625531208,250.113251062416,7.20231434429886,0.000612656431262823
"429",-1.07312367050252,4.64261707697411,NA,NA,-0.0634802512789421,0.264484352204009,NA,-0.0644662269890762,NA,3.65361439030225,2.72908655025872,7,-118.058934513837,250.117869027674,7.20693230955729,0.000611243450107595
"262",-1.80202685225026,4.9141254432892,"+",NA,-0.00109651531503364,NA,NA,NA,NA,NA,2.96685698842454,6,-119.06525617788,250.13051235576,7.21957563764317,0.000607391562365564
"486",-0.937321296006565,5.20842192902156,"+",NA,0.029912544740764,NA,NA,-0.165612404532018,1.91737214013295,3.40082070343898,2.14038235631257,9,-116.087396374128,250.174792748256,7.26385603013921,0.000594091569488886
"47",-1.44255294449695,9.59969297220152,NA,0.440517916668925,-0.126289515442377,0.0783380500436413,NA,-0.0482799047226999,NA,NA,NA,6,-119.093117926863,250.186235853725,7.27529913560849,0.000590702148865648
