"","Parameter","Estimate","2.5%","97.5%","SE","Bin","Target","Res"
"1","Naive Occupancy",0.72,NA,NA,NA,"teyen","Ceratopsidae",1
"2","Null.occ.prob",0.945557453344344,0.491403481989018,0.996807161030048,NA,"teyen","Ceratopsidae",1
"3","Null.det.prob",0.369466893509328,0.30730775619963,0.436280119634326,NA,"teyen","Ceratopsidae",1
"4","PAO",0.999966079652351,1,1,NA,"teyen","Ceratopsidae",1
"5","Det.prob",0.360923691961397,NA,NA,0.0704702704837642,"teyen","Ceratopsidae",1
"6","Occ.prob",0.938268214213788,NA,NA,0.0994354697674533,"teyen","Ceratopsidae",1
